filename,date,open,close,high,low,volume,PPO_RESULT
neceth,2019-07-11,2.86E-4,2.86E-4,2.86E-4,2.86E-4,1544.47222404,H0
omnusd,2019-07-11,1.82,1.82,1.82,1.82,9.625,H0
btcusd,2019-07-11,11344.0,11340.0,11345.0,11340.0,4.67197225,V2
dtabtc,2019-07-11,1.1E-7,1.1E-7,1.1E-7,1.1E-7,23024.99685614,H0
neojpy,2019-07-11,1548.09141421,1548.09141421,1548.09141421,1548.09141421,199.84263002,V2
yywusd,2019-07-11,0.02648,0.02648,0.02648,0.02648,1290.93063753,H0
gotusd,2019-07-11,0.58,0.57561744,0.58,0.57561744,107.868357,K1
pasusd,2019-07-11,0.004444,0.0047,0.0047,0.004444,31153.34,H0
csxusd,2019-07-11,0.066501,0.066501,0.066501,0.066501,281.069685,V2
tnbusd,2019-07-11,0.0050001,0.005,0.0050001,0.005,1357.0,K1
udcusd,2019-07-11,1.0,1.0,1.0,1.0,77500.80688811,H0
atobtc,2019-07-11,3.8530000000000004E-4,3.8530000000000004E-4,3.8530000000000004E-4,3.8530000000000004E-4,104.77,H0
btceur,2019-07-11,10079.0,10079.0,10079.0,10079.0,0.01,V2
enjusd,2019-07-11,0.095711,0.095711,0.095711,0.095711,30.0,H0
wprusd,2019-07-11,0.008501100000000001,0.0085,0.008501100000000001,0.0085,5584.41,V2
xvgbtc,2019-07-11,5.8E-7,5.8E-7,5.8E-7,5.8E-7,444.0,H0
genusd,2019-07-11,0.10998,0.10998,0.10998,0.10998,48.77577989,H0
rcnbtc,2019-07-11,1.95E-6,1.95E-6,1.95E-6,1.95E-6,138.0,H0
veeusd,2019-07-11,0.002764,0.002764,0.002764,0.002764,3916.9892446999997,V2
etheur,2019-07-11,238.85,238.85,238.85,238.85,5.33569942,H0
utnusd,2019-07-11,0.0031986999999999996,0.0031986999999999996,0.0031986999999999996,0.0031986999999999996,8396.75953058,H0
xrpbtc,2019-07-11,2.8999999999999997E-5,2.8999999999999997E-5,2.8999999999999997E-5,2.8999999999999997E-5,5990.0,H0
xvgeur,2019-07-11,0.005793100000000001,0.005793100000000001,0.005793100000000001,0.005793100000000001,45937.35283015,H0
dthbtc,2019-07-11,5.1E-7,5.1E-7,5.1E-7,5.1E-7,15956.688999999997,H0
qsheth,2019-07-11,4.3596E-4,4.3596E-4,4.3596E-4,4.3596E-4,517.3905063,H0
rbtbtc,2019-07-11,0.9977,0.9977,0.9977,0.9977,0.0109,H0
rrtusd,2019-07-11,0.059961,0.059961,0.059961,0.059961,349.23769,H0
sntbtc,2019-07-11,2.01E-6,2.01E-6,2.01E-6,2.01E-6,969.29830677,H0
ethjpy,2019-07-11,29145.0,29184.0,29184.0,29145.0,1.29666442,V2
eususd,2019-07-11,1.1224,1.1224,1.1224,1.1224,95.24843100000001,V2
rlcusd,2019-07-11,0.28176,0.28176,0.28176,0.28176,113.83320717,H0
zbtusd,2019-07-11,0.3349,0.33684000000000003,0.33684000000000003,0.3349,30.0,H0
cbtbtc,2019-07-11,6.99E-6,6.99E-6,6.99E-6,6.99E-6,266.81265,H0
essbtc,2019-07-11,8.0E-8,8.0E-8,8.0E-8,8.0E-8,4990.0,K1
paibtc,2019-07-11,3.08E-6,3.08E-6,3.08E-6,3.08E-6,661.5,H0
veebtc,2019-07-11,3.9E-7,3.9E-7,3.9E-7,3.9E-7,5856.07692307,H0
ncausd,2019-07-11,0.002215,0.002215,0.002215,0.002215,370.62476180000004,K1
zcneth,2019-07-11,2.1023E-4,2.1023E-4,2.1023E-4,2.1023E-4,2061.97410533,H0
batusd,2019-07-11,0.28546,0.29358,0.29358,0.28546,1212.58522075,V2
necusd,2019-07-11,0.077,0.077,0.077,0.077,44.32146087,H0
ampust,2019-07-11,1.3486,1.3486,1.3486,1.3486,35.694720000000004,H0
sanbtc,2019-07-11,8.956E-5,8.956E-5,8.956E-5,8.956E-5,55.0,H0
eosust,2019-07-11,4.6879,4.6879,4.6879,4.6879,241.31117285,H0
ethbtc,2019-07-11,0.023678,0.023678,0.023678,0.023678,0.0622,H0
gntusd,2019-07-11,0.07363099999999999,0.07363099999999999,0.07363099999999999,0.07363099999999999,976.0,H0
repeth,2019-07-11,0.055615,0.055615,0.055615,0.055615,0.51086143,H0
waxbtc,2019-07-11,4.79E-6,4.81E-6,4.81E-6,4.79E-6,999.0,H0
xlmgbp,2019-07-11,0.069043,0.069043,0.069043,0.069043,34.90234446,V2
lrcbtc,2019-07-11,4.33E-6,4.33E-6,4.33E-6,4.33E-6,143.25447663,H0
xtzbtc,2019-07-11,8.975E-5,8.975E-5,8.975E-5,8.975E-5,32.86439233,H0
onlusd,2019-07-11,0.0211,0.0211,0.0211,0.0211,192.544,K1
