,time,open,close,high,low,volume,the_date
0,1523139780000.0,1.989E-5,1.989E-5,1.989E-5,1.989E-5,350.85168426,2018-04-07
1,1523230260000.0,1.922E-5,1.922E-5,1.922E-5,1.919E-5,17693.13555557,2018-04-08
2,1523314920000.0,1.9E-5,1.9E-5,1.9E-5,1.9E-5,0.29355671,2018-04-09
3,1523398380000.0,1.791E-5,2.1E-5,2.1E-5,1.791E-5,10388.0,2018-04-10
4,1523479500000.0,2.079E-5,2.079E-5,2.079E-5,2.079E-5,1182.15343915,2018-04-11
5,1523575560000.0,2.499E-5,2.499E-5,2.499E-5,2.499E-5,74.0,2018-04-12
6,1523661360000.0,2.078E-5,2.061E-5,2.078E-5,2.061E-5,5000.0,2018-04-13
7,1523737380000.0,2.3E-5,2.3E-5,2.3E-5,2.3E-5,4072.63782608,2018-04-14
8,1523830140000.0,2.577E-5,2.577E-5,2.577E-5,2.577E-5,2736.34729334,2018-04-15
9,1523910660000.0,2.56E-5,2.56E-5,2.561E-5,2.56E-5,640.9454728999999,2018-04-16
10,1524000420000.0,2.496E-5,2.477E-5,2.496E-5,2.477E-5,6883.54,2018-04-17
11,1524094560000.0,2.4E-5,2.4E-5,2.4E-5,2.4E-5,168.27625,2018-04-18
12,1524180120000.0,2.749E-5,2.749E-5,2.749E-5,2.749E-5,130.63357283,2018-04-19
13,1524267960000.0,2.379E-5,2.379E-5,2.379E-5,2.379E-5,1316.85921844,2018-04-20
14,1524325380000.0,2.336E-5,2.336E-5,2.336E-5,2.336E-5,74.009,2018-04-21
15,1524441300000.0,2.473E-5,2.475E-5,2.475E-5,2.473E-5,3860.875,2018-04-22
16,1524514800000.0,2.335E-5,2.335E-5,2.335E-5,2.335E-5,1000.0,2018-04-23
17,1524613860000.0,2.242E-5,2.245E-5,2.245E-5,2.241E-5,4929.98943999,2018-04-24
18,1524699240000.0,2.199E-5,2.199E-5,2.199E-5,2.199E-5,474.0,2018-04-25
19,1524781620000.0,2.108E-5,2.108E-5,2.108E-5,2.108E-5,992.47,2018-04-26
20,1524847320000.0,2.2E-5,2.2E-5,2.2E-5,2.2E-5,1289.71,2018-04-27
21,1524959520000.0,2.0600000000000003E-5,2.0600000000000003E-5,2.0600000000000003E-5,2.0600000000000003E-5,2230.5809384,2018-04-28
22,1525042200000.0,2.48E-5,2.3800000000000003E-5,2.48E-5,2.3800000000000003E-5,3322.80166424,2018-04-29
23,1525130160000.0,2.413E-5,2.413E-5,2.413E-5,2.413E-5,875.02,2018-04-30
24,1525219020000.0,2.291E-5,2.291E-5,2.291E-5,2.291E-5,897.66763709,2018-05-01
25,1525291380000.0,2.349E-5,2.349E-5,2.349E-5,2.349E-5,1000.0,2018-05-02
26,1525372380000.0,2.532E-5,2.532E-5,2.532E-5,2.532E-5,600.0,2018-05-03
27,1525477080000.0,2.4E-5,2.4E-5,2.4E-5,2.4E-5,506.46479814,2018-05-04
28,1525563600000.0,2.426E-5,2.426E-5,2.426E-5,2.426E-5,1248.31632952,2018-05-05
29,1525649940000.0,2.386E-5,2.386E-5,2.386E-5,2.386E-5,404.26,2018-05-06
30,1525722420000.0,2.208E-5,2.208E-5,2.208E-5,2.208E-5,1240.42656573,2018-05-07
31,1525808100000.0,2.202E-5,2.202E-5,2.202E-5,2.202E-5,740.0,2018-05-08
32,1525898700000.0,2.193E-5,2.193E-5,2.193E-5,2.193E-5,884.7860000000001,2018-05-09
33,1525991700000.0,2.186E-5,2.186E-5,2.186E-5,2.186E-5,217.0,2018-05-10
34,1526076480000.0,2.052E-5,2.025E-5,2.052E-5,2.025E-5,429.63864902,2018-05-11
35,1526161920000.0,2.118E-5,2.118E-5,2.118E-5,2.118E-5,3035.1345,2018-05-12
36,1526248260000.0,2.103E-5,2.103E-5,2.103E-5,2.103E-5,3616.19049999,2018-05-13
37,1526330160000.0,1.997E-5,1.997E-5,1.997E-5,1.997E-5,753.3910000000001,2018-05-14
38,1526415000000.0,1.894E-5,1.894E-5,1.894E-5,1.894E-5,610.29919376,2018-05-15
39,1526482020000.0,2.025E-5,2.025E-5,2.025E-5,2.025E-5,801.87128,2018-05-16
40,1526601420000.0,2.1E-5,2.1E-5,2.1E-5,2.1E-5,117.20142857,2018-05-17
41,1526687640000.0,2.039E-5,2.039E-5,2.039E-5,2.039E-5,109.78,2018-05-18
42,1526769600000.0,2.055E-5,2.055E-5,2.055E-5,2.055E-5,100.0,2018-05-19
43,1526844720000.0,1.999E-5,1.999E-5,1.999E-5,1.999E-5,514.7467730000002,2018-05-20
44,1526935020000.0,1.843E-5,1.843E-5,1.843E-5,1.843E-5,128.54690167,2018-05-21
45,1527031320000.0,1.7E-5,1.7E-5,1.7E-5,1.7E-5,736.47216302,2018-05-22
46,1527115020000.0,1.745E-5,1.745E-5,1.747E-5,1.745E-5,5436.5788,2018-05-23
47,1527206340000.0,2.455E-5,2.455E-5,2.455E-5,2.455E-5,1042.1325,2018-05-24
48,1527291720000.0,2.647E-5,2.647E-5,2.647E-5,2.647E-5,160.2038,2018-05-25
49,1527366240000.0,2.159E-5,2.159E-5,2.159E-5,2.159E-5,1215.2730000000001,2018-05-26
50,1527464760000.0,2.063E-5,2.063E-5,2.063E-5,2.063E-5,1575.0,2018-05-27
51,1527543900000.0,1.997E-5,1.997E-5,1.997E-5,1.997E-5,529.13999999,2018-05-28
52,1527624180000.0,2.2800000000000002E-5,2.2800000000000002E-5,2.2800000000000002E-5,2.2800000000000002E-5,958.93897624,2018-05-29
53,1527718920000.0,2.137E-5,2.134E-5,2.137E-5,2.134E-5,2093.87026151,2018-05-30
54,1527796380000.0,2.0E-5,2.0E-5,2.0E-5,2.0E-5,173.24958649,2018-05-31
55,1527897540000.0,2.1E-5,2.1E-5,2.1E-5,2.1E-5,92.609,2018-06-01
56,1527983280000.0,2.26E-5,2.26E-5,2.26E-5,2.26E-5,78.88192,2018-06-02
57,1528064460000.0,2.4E-5,2.4E-5,2.4E-5,2.4E-5,112.9424,2018-06-03
58,1528156560000.0,2.3E-5,2.3E-5,2.3E-5,2.3E-5,319.1282,2018-06-04
59,1528238940000.0,2.487E-5,2.432E-5,2.487E-5,2.432E-5,3985.0,2018-06-05
60,1528328580000.0,2.279E-5,2.279E-5,2.279E-5,2.279E-5,370.31457844,2018-06-06
61,1528415880000.0,2.238E-5,2.238E-5,2.238E-5,2.238E-5,480.68492262,2018-06-07
62,1528502340000.0,2.144E-5,2.156E-5,2.1600000000000003E-5,2.14E-5,925.7214,2018-06-08
63,1528588740000.0,2.093E-5,2.093E-5,2.093E-5,2.093E-5,935.9185,2018-06-09
64,1528675080000.0,1.948E-5,1.949E-5,1.949E-5,1.948E-5,172.45949766,2018-06-10
65,1528761300000.0,1.944E-5,1.945E-5,1.945E-5,1.942E-5,355.9694,2018-06-11
66,1528847940000.0,1.978E-5,1.982E-5,1.982E-5,1.978E-5,874.0054,2018-06-12
67,1528934340000.0,1.814E-5,1.814E-5,1.814E-5,1.814E-5,450.7982,2018-06-13
68,1529020740000.0,1.809E-5,1.809E-5,1.809E-5,1.809E-5,432.066,2018-06-14
69,1529106840000.0,1.749E-5,1.749E-5,1.749E-5,1.749E-5,300.0,2018-06-15
70,1529193540000.0,1.882E-5,1.882E-5,1.882E-5,1.882E-5,272.4572,2018-06-16
71,1529279940000.0,1.892E-5,1.893E-5,1.893E-5,1.891E-5,552.6800000000002,2018-06-17
72,1529366280000.0,1.82E-5,1.821E-5,1.821E-5,1.82E-5,430.1446,2018-06-18
73,1529452320000.0,1.819E-5,1.818E-5,1.819E-5,1.818E-5,327.1618,2018-06-19
74,1529531040000.0,1.76E-5,1.761E-5,1.762E-5,1.76E-5,519.8738000000002,2018-06-20
75,1529596860000.0,1.724E-5,1.724E-5,1.724E-5,1.724E-5,29758.23851694,2018-06-21
76,1529704800000.0,1.668E-5,1.668E-5,1.668E-5,1.668E-5,4467.226,2018-06-22
77,1529781180000.0,1.699E-5,1.682E-5,1.699E-5,1.682E-5,5793.476847550001,2018-06-23
78,1529859180000.0,1.997E-5,1.695E-5,1.997E-5,1.695E-5,1297.99755935,2018-06-24
79,1529952780000.0,1.728E-5,1.728E-5,1.728E-5,1.728E-5,300.6012024,2018-06-25
80,1530044700000.0,1.653E-5,1.653E-5,1.653E-5,1.653E-5,2539.35,2018-06-26
81,1530120780000.0,1.697E-5,1.697E-5,1.697E-5,1.697E-5,5075.27434986,2018-06-27
82,1530216180000.0,1.732E-5,1.732E-5,1.732E-5,1.732E-5,300.6012024,2018-06-28
83,1530277500000.0,1.703E-5,1.703E-5,1.703E-5,1.703E-5,2127.3,2018-06-29
84,1530332160000.0,1.698E-5,1.698E-5,1.698E-5,1.698E-5,421.91267999999997,2018-06-30
85,1530486480000.0,1.8E-5,1.8E-5,1.8E-5,1.8E-5,3500.0,2018-07-01
86,1530556560000.0,1.953E-5,1.952E-5,1.954E-5,1.952E-5,20000.0,2018-07-02
87,1530660900000.0,1.793E-5,1.793E-5,1.793E-5,1.793E-5,1134.99868893,2018-07-03
88,1530748200000.0,1.942E-5,1.942E-5,1.942E-5,1.942E-5,194.20309146,2018-07-04
89,1530817800000.0,1.919E-5,1.919E-5,1.919E-5,1.919E-5,448.0,2018-07-05
90,1530921360000.0,1.947E-5,1.947E-5,1.947E-5,1.947E-5,498.62763225,2018-07-06
91,1531007160000.0,1.82E-5,1.82E-5,1.82E-5,1.82E-5,811.83947967,2018-07-07
92,1531086720000.0,1.924E-5,1.924E-5,1.924E-5,1.924E-5,144.52364,2018-07-08
93,1531178460000.0,1.718E-5,1.718E-5,1.718E-5,1.718E-5,10123.04366974,2018-07-09
94,1531236240000.0,1.718E-5,1.718E-5,1.718E-5,1.718E-5,300.0,2018-07-10
95,1531343160000.0,1.601E-5,1.601E-5,1.601E-5,1.601E-5,784.0,2018-07-11
96,1531391760000.0,1.749E-5,1.749E-5,1.749E-5,1.749E-5,184.90817325,2018-07-12
97,1531518360000.0,1.636E-5,1.636E-5,1.636E-5,1.636E-5,1475.4,2018-07-13
98,1531609020000.0,1.593E-5,1.593E-5,1.593E-5,1.593E-5,2993.1,2018-07-14
99,1531698240000.0,1.58E-5,1.58E-5,1.58E-5,1.58E-5,247.0,2018-07-15
100,1531776960000.0,1.604E-5,1.604E-5,1.604E-5,1.604E-5,488.8107,2018-07-16
101,1531865460000.0,1.521E-5,1.521E-5,1.521E-5,1.521E-5,909.09,2018-07-17
102,1531952640000.0,1.518E-5,1.518E-5,1.518E-5,1.518E-5,997.7389999999999,2018-07-18
103,1532044020000.0,1.402E-5,1.402E-5,1.402E-5,1.402E-5,1375.5,2018-07-19
104,1532124180000.0,1.217E-5,1.217E-5,1.217E-5,1.217E-5,6575.1916,2018-07-20
