,time,open,close,high,low,volume,the_date
0,1523143620000.0,0.1392,0.1392,0.1392,0.1392,4500.0,2018-04-07
1,1523230260000.0,0.1353,0.1352,0.1353,0.1351,16268.05555557,2018-04-08
2,1523308920000.0,0.1289,0.1289,0.1289,0.1289,500.0,2018-04-09
3,1523402460000.0,0.12189000000000001,0.12189000000000001,0.12189000000000001,0.12189000000000001,549.90575127,2018-04-10
4,1523491140000.0,0.13679000000000002,0.14,0.14,0.13679000000000002,44328.3888,2018-04-11
5,1523574180000.0,0.18,0.15335,0.18,0.15335,347.2624809900001,2018-04-12
6,1523659680000.0,0.1738,0.1738,0.1738,0.1738,81.4,2018-04-13
7,1523749260000.0,0.17215,0.17240999999999998,0.17240999999999998,0.17215,6857.757970899999,2018-04-14
8,1523836320000.0,0.21609,0.24449,0.24449,0.21609,160.0,2018-04-15
9,1523915520000.0,0.2315,0.2315,0.2315,0.2315,1000.0,2018-04-16
10,1524001680000.0,0.2011,0.20119,0.20119,0.2011,2574.0,2018-04-17
11,1524094560000.0,0.19668,0.19668,0.19668,0.19668,175.51591545,2018-04-18
12,1524181440000.0,0.22114,0.22114,0.22114,0.22114,74.0,2018-04-19
13,1524268740000.0,0.20697,0.20697,0.20697,0.20697,218.68313645,2018-04-20
14,1524351960000.0,0.2098,0.2098,0.2098,0.2098,500.0,2018-04-21
15,1524441300000.0,0.21318,0.21329,0.21329,0.21318,1540.481,2018-04-22
16,1524527880000.0,0.21885,0.21899999999999997,0.21899999999999997,0.21885,11124.13113115,2018-04-23
17,1524613860000.0,0.21691,0.21871999999999997,0.21871999999999997,0.21691,5918.613687,2018-04-24
18,1524699300000.0,0.18939,0.18939,0.18939,0.18939,336.25,2018-04-25
19,1524784800000.0,0.19988,0.2,0.2,0.19988,16587.88567208,2018-04-26
20,1524871920000.0,0.195,0.195,0.195,0.195,7015.15876792,2018-04-27
21,1524959520000.0,0.18928,0.19563,0.19563,0.18928,2232.55611293,2018-04-28
22,1525046280000.0,0.24,0.24,0.24,0.24,2074.0,2018-04-29
23,1525132440000.0,0.22394,0.22478,0.22478,0.22394,2486.37882874,2018-04-30
