,time,open,close,high,low,volume,the_date
0,1566140280000.0,6.7E-5,6.7E-5,6.7E-5,6.7E-5,99.999995,2019-08-18
1,1566248040000.0,6.4E-5,6.4E-5,6.4E-5,6.4E-5,5.06E-6,2019-08-19
2,1566337260000.0,6.4E-5,6.3E-5,6.4E-5,6.3E-5,128.6842398,2019-08-20
3,1566391440000.0,6.8E-5,6.8E-5,6.8E-5,6.8E-5,251.18569421,2019-08-21
4,1566506580000.0,6.1E-5,6.1E-5,6.1E-5,6.1E-5,117.36658200000001,2019-08-22
5,1566573360000.0,5.9E-5,5.9E-5,5.9E-5,5.9E-5,0.09988214,2019-08-23
6,1566638340000.0,6.1E-5,6.1E-5,6.1E-5,6.1E-5,45.61193628,2019-08-24
7,1566691200000.0, 6.050E-05, 6.050E-05, 6.050E-05, 6.050E-05, 3.573E+01,2019-08-25
8,1566851220000.0,5.9E-5,5.9E-5,5.9E-5,5.9E-5,5.82482293,2019-08-26
9,1566864000000.0, 5.885E-05, 5.885E-05, 5.885E-05, 5.885E-05, 8.680E+00,2019-08-27
10,1567016160000.0,5.6999999999999996E-5,5.6999999999999996E-5,5.6999999999999996E-5,5.6999999999999996E-5,42.6752,2019-08-28
11,1567103040000.0,5.401E-5,5.4000000000000005E-5,5.401E-5,5.4000000000000005E-5,429.31304071,2019-08-29
12,1567141680000.0,5.6000000000000006E-5,5.6000000000000006E-5,5.6000000000000006E-5,5.6000000000000006E-5,11.62342747,2019-08-30
13,1567287600000.0,5.1E-5,5.1E-5,5.1E-5,5.1E-5,13.94759,2019-08-31
14,1567373640000.0,5.0E-5,5.0E-5,5.0E-5,5.0E-5,54.1666,2019-09-01
15,1567456440000.0,4.7E-5,4.5E-5,4.8E-5,4.5E-5,130.0264,2019-09-02
16,1567540560000.0,4.3E-5,4.3E-5,4.3E-5,4.3E-5,11.64891642,2019-09-03
17,1567580220000.0,4.2E-5,4.1E-5,4.2E-5,4.1E-5,29.28975044,2019-09-04
18,1567703640000.0,4.7E-5,5.1E-5,5.1E-5,4.7E-5,147.70091349,2019-09-05
19,1567791900000.0,5.3E-5,5.3E-5,5.3E-5,5.3E-5,10.0,2019-09-06
20,1567814400000.0, 5.219E-05, 5.219E-05, 5.219E-05, 5.219E-05, 1.121E+01,2019-09-07
21,1567900800000.0, 4.906E-05, 4.906E-05, 4.906E-05, 4.906E-05, 1.587E+01,2019-09-08
22,1567987200000.0, 4.593E-05, 4.593E-05, 4.593E-05, 4.593E-05, 2.053E+01,2019-09-09
23,1568123280000.0,4.1E-5,4.1E-5,4.1E-5,4.1E-5,27.874115999999997,2019-09-10
24,1568160000000.0, 4.063E-05, 4.063E-05, 4.063E-05, 4.063E-05, 2.271E+01,2019-09-11
25,1568320500000.0,3.9E-5,3.9E-5,3.9E-5,3.9E-5,0.14473052,2019-09-12
26,1568359920000.0,3.9E-5,3.9E-5,3.9E-5,3.9E-5,6.09221761,2019-09-13
27,1568500800000.0,3.9E-5,3.9E-5,3.9E-5,3.9E-5,10.71266454,2019-09-14
28,1568532420000.0,3.843E-5,3.838E-5,3.843E-5,3.838E-5,1135.4199999999996,2019-09-15
29,1568592000000.0, 3.844E-05, 3.840E-05, 3.844E-05, 3.840E-05, 8.031E+02,2019-09-16
30,1568729940000.0,3.845E-5,3.845E-5,3.845E-5,3.845E-5,33.65471795,2019-09-17
31,1568764800000.0, 3.932E-05, 3.932E-05, 3.932E-05, 3.932E-05, 3.209E+01,2019-09-18
32,1568862420000.0,4.175E-5,4.175E-5,4.175E-5,4.175E-5,27.71676887,2019-09-19
33,1568937600000.0, 4.110E-05, 4.110E-05, 4.110E-05, 4.110E-05, 9.812E+02,2019-09-20
34,1569057360000.0,4.006E-5,4.006E-5,4.006E-5,4.006E-5,2500.1985041,2019-09-21
35,1569110400000.0, 4.029E-05, 4.029E-05, 4.029E-05, 4.029E-05, 1.904E+03,2019-09-22
36,1569273960000.0,4.1E-5,4.1E-5,4.1E-5,4.1E-5,66.2882,2019-09-23
37,1569358260000.0,4.5E-5,4.5E-5,4.5E-5,4.5E-5,57.1023,2019-09-24
38,1569369600000.0, 4.522E-05, 4.522E-05, 4.522E-05, 4.522E-05, 5.705E+01,2019-09-25
39,1569515100000.0,4.8E-5,4.8E-5,4.8E-5,4.8E-5,56.3186,2019-09-26
40,1569620760000.0,4.7E-5,4.7E-5,4.7E-5,4.7E-5,23.99485564,2019-09-27
41,1569710700000.0,4.6E-5,4.6E-5,4.6E-5,4.6E-5,64.9887,2019-09-28
42,1569796200000.0,4.737E-5,4.8E-5,4.8E-5,4.737E-5,18.04075819,2019-09-29
43,1569855780000.0,4.6E-5,4.5E-5,4.6E-5,4.5E-5,79.0341863,2019-09-30
44,1569899340000.0,4.5E-5,4.4E-5,4.5E-5,4.4E-5,39.00926391,2019-10-01
