,time,open,close,high,low,volume,the_date
0,1559082720000.0,3.0E-4,3.0E-4,3.0E-4,3.0E-4,10.0,2019-05-28
1,1559158140000.0,3.3E-4,3.3E-4,3.3E-4,3.3E-4,546.16359056,2019-05-29
2,1559202960000.0,3.15E-4,3.15E-4,3.15E-4,3.15E-4,2958.65299985,2019-05-30
3,1559260800000.0, 2.979E-04, 2.979E-04, 2.979E-04, 2.979E-04, 2.023E+03,2019-05-31
4,1559375220000.0,2.64E-4,2.64E-4,2.64E-4,2.64E-4,171.96358903,2019-06-01
5,1559433600000.0, 2.446E-04, 2.446E-04, 2.446E-04, 2.446E-04, 3.642E+02,2019-06-02
6,1559520000000.0, 2.159E-04, 2.159E-04, 2.159E-04, 2.159E-04, 6.488E+02,2019-06-03
7,1559626800000.0,1.8041E-4,1.8041E-4,1.8041E-4,1.8041E-4,1000.57140972,2019-06-04
8,1559692800000.0, 1.807E-04, 1.807E-04, 1.807E-04, 1.807E-04, 9.377E+02,2019-06-05
9,1559779200000.0, 1.812E-04, 1.812E-04, 1.812E-04, 1.812E-04, 8.553E+02,2019-06-06
10,1559865600000.0, 1.816E-04, 1.816E-04, 1.816E-04, 1.816E-04, 7.730E+02,2019-06-07
11,1559952000000.0, 1.820E-04, 1.820E-04, 1.820E-04, 1.820E-04, 6.907E+02,2019-06-08
12,1560038400000.0, 1.825E-04, 1.825E-04, 1.825E-04, 1.825E-04, 6.084E+02,2019-06-09
13,1560124800000.0, 1.829E-04, 1.829E-04, 1.829E-04, 1.829E-04, 5.260E+02,2019-06-10
14,1560211200000.0, 1.833E-04, 1.833E-04, 1.833E-04, 1.833E-04, 4.437E+02,2019-06-11
15,1560297600000.0, 1.838E-04, 1.837E-04, 1.838E-04, 1.837E-04, 3.614E+02,2019-06-12
16,1560384000000.0, 1.842E-04, 1.842E-04, 1.842E-04, 1.842E-04, 2.790E+02,2019-06-13
17,1560549840000.0,1.8501E-4,1.85E-4,1.8501E-4,1.85E-4,121.0,2019-06-14
18,1560639360000.0,1.8601E-4,1.8601E-4,1.8601E-4,1.8601E-4,58.0,2019-06-15
19,1560675420000.0,1.8601E-4,1.8600000000000002E-4,1.8601E-4,1.8600000000000002E-4,58.04044246,2019-06-16
20,1560745500000.0,1.8601E-4,1.8600000000000002E-4,1.8601E-4,1.8600000000000002E-4,115.95955754,2019-06-17
21,1560816000000.0, 2.138E-04, 2.138E-04, 2.138E-04, 2.138E-04, 7.502E+02,2019-06-18
22,1560973620000.0,2.76E-4,2.76E-4,2.76E-4,2.76E-4,2168.09641232,2019-06-19
23,1561025280000.0,2.8931E-4,2.8931E-4,2.8931E-4,2.8931E-4,117.45983012,2019-06-20
24,1561075200000.0, 2.744E-04, 2.743E-04, 2.744E-04, 2.743E-04, 2.582E+02,2019-06-21
25,1561161600000.0, 2.486E-04, 2.482E-04, 2.486E-04, 2.482E-04, 5.017E+02,2019-06-22
26,1561325220000.0,1.9975E-4,1.9894E-4,1.9975E-4,1.9894E-4,962.7954156999999,2019-06-23
27,1561334400000.0, 2.003E-04, 1.995E-04, 2.003E-04, 1.995E-04, 9.522E+02,2019-06-24
28,1561420800000.0, 2.053E-04, 2.046E-04, 2.053E-04, 2.046E-04, 8.523E+02,2019-06-25
29,1561507200000.0, 2.102E-04, 2.096E-04, 2.102E-04, 2.096E-04, 7.523E+02,2019-06-26
30,1561593600000.0, 2.152E-04, 2.147E-04, 2.152E-04, 2.147E-04, 6.524E+02,2019-06-27
