,time,open,close,high,low,volume,the_date
0,1531435800000.0,7.262E-5,7.265E-5,7.265E-5,7.262E-5,190000.0,2018-07-12
1,1531524180000.0,7.6E-5,7.6E-5,7.6E-5,7.6E-5,12000.0,2018-07-13
2,1531602060000.0,7.099999999999999E-5,7.099999999999999E-5,7.099999999999999E-5,7.099999999999999E-5,10000.0,2018-07-14
3,1531683780000.0,7.13E-5,7.13E-5,7.13E-5,7.13E-5,2400.0,2018-07-15
4,1531782480000.0,7.777E-5,7.777E-5,7.777E-5,7.777E-5,746.17191719,2018-07-16
5,1531869660000.0,7.049999999999999E-5,7.049999999999999E-5,7.049999999999999E-5,7.049999999999999E-5,2495.0,2018-07-17
6,1531954080000.0,6.992E-5,6.992E-5,6.992E-5,6.992E-5,2178.61005065,2018-07-18
7,1532042940000.0,6.8E-5,6.8E-5,6.8E-5,6.8E-5,1345.197753,2018-07-19
8,1532129520000.0,6.087E-5,6.088E-5,6.088E-5,6.087E-5,1264.0,2018-07-20
9,1532207400000.0,6.3E-5,6.3E-5,6.3E-5,6.3E-5,6399.89031746,2018-07-21
10,1532295480000.0,5.311E-5,5.311E-5,5.311E-5,5.311E-5,1456.0,2018-07-22
11,1532389560000.0,5.361E-5,5.361E-5,5.361E-5,5.361E-5,3006.0,2018-07-23
12,1532476440000.0,4.5E-5,4.5E-5,4.5E-5,4.5E-5,936.8480532,2018-07-24
13,1532558700000.0,4.2E-5,4.2E-5,4.2E-5,4.2E-5,7575.26540173,2018-07-25
14,1532645880000.0,5.3E-5,5.3E-5,5.3E-5,5.3E-5,5000.0,2018-07-26
15,1532735280000.0,5.28E-5,5.2900000000000005E-5,5.2900000000000005E-5,5.28E-5,9419.37,2018-07-27
16,1532822040000.0,5.3500000000000006E-5,5.3500000000000006E-5,5.3500000000000006E-5,5.3500000000000006E-5,2778.0343,2018-07-28
17,1532908200000.0,6.15E-5,6.15E-5,6.15E-5,6.15E-5,175000.0,2018-07-29
18,1532989560000.0,6.409999999999999E-5,6.409999999999999E-5,6.409999999999999E-5,6.409999999999999E-5,45646.0,2018-07-30
19,1533080820000.0,6.57E-5,6.57E-5,6.57E-5,6.57E-5,107000.0,2018-07-31
20,1533146880000.0,6.062E-5,6.033E-5,6.062E-5,6.033E-5,9454.992,2018-08-01
21,1533252600000.0,6.503E-5,6.503E-5,6.503E-5,6.503E-5,544.992,2018-08-02
22,1533305880000.0,6.114E-5,6.104E-5,6.114E-5,6.104E-5,14221.5,2018-08-03
23,1533351120000.0,5.6999999999999996E-5,5.6999999999999996E-5,5.6999999999999996E-5,5.6999999999999996E-5,3.2093E-4,2018-08-04
24,1533502080000.0,5.717E-5,5.717E-5,5.717E-5,5.717E-5,1995.99196383,2018-08-05
25,1533592320000.0,5.276E-5,5.277E-5,5.277E-5,5.276E-5,4741.18085224,2018-08-06
26,1533666060000.0,5.549E-5,5.549E-5,5.549E-5,5.549E-5,665.7626,2018-08-07
27,1533727800000.0,5.0E-5,5.0E-5,5.0E-5,5.0E-5,1000.0,2018-08-08
28,1533845340000.0,5.0E-5,5.0E-5,5.0E-5,5.0E-5,6000.0,2018-08-09
29,1533944280000.0,4.01E-5,4.01E-5,4.01E-5,4.01E-5,40679.73005842,2018-08-10
30,1534030440000.0,4.369E-5,4.577E-5,4.577E-5,4.369E-5,7000.0,2018-08-11
31,1534111200000.0,4.007E-5,4.007E-5,4.007E-5,4.007E-5,3091.0,2018-08-12
32,1534190700000.0,3.951E-5,3.951E-5,3.951E-5,3.951E-5,9396.46097249,2018-08-13
33,1534288020000.0,3.7E-5,3.7E-5,3.7E-5,3.7E-5,3713.42205866,2018-08-14
34,1534376700000.0,3.69E-5,3.719E-5,3.719E-5,3.69E-5,35032.0,2018-08-15
35,1534463880000.0,3.789E-5,3.789E-5,3.789E-5,3.789E-5,1272.9562,2018-08-16
36,1534532340000.0,3.9E-5,3.9E-5,3.9E-5,3.9E-5,6200.0,2018-08-17
37,1534561020000.0,3.78E-5,3.78E-5,3.78E-5,3.78E-5,3159.36881736,2018-08-18
38,1534669140000.0,3.9500000000000005E-5,3.9500000000000005E-5,3.9500000000000005E-5,3.9500000000000005E-5,5590.828310950002,2018-08-19
39,1534803180000.0,3.9500000000000005E-5,3.9500000000000005E-5,3.9500000000000005E-5,3.9500000000000005E-5,3755.7455459,2018-08-20
40,1534856220000.0,3.47E-5,3.47E-5,3.47E-5,3.47E-5,3664.4287332,2018-08-21
41,1534975380000.0,4.1E-5,4.1E-5,4.1E-5,4.1E-5,1782.17446396,2018-08-22
42,1535068740000.0,4.15E-5,4.15E-5,4.15E-5,4.15E-5,4667.77295392,2018-08-23
43,1535151900000.0,4.3E-5,4.3E-5,4.3E-5,4.3E-5,2211.16979611,2018-08-24
44,1535240880000.0,4.719E-5,4.77E-5,4.77E-5,4.719E-5,117754.76455251,2018-08-25
45,1535326560000.0,4.851E-5,4.851E-5,4.851E-5,4.851E-5,4751.2376228,2018-08-26
46,1535399700000.0,4.4E-5,4.4E-5,4.4E-5,4.4E-5,1864.77064693,2018-08-27
47,1535452320000.0,4.4E-5,4.4E-5,4.4E-5,4.4E-5,995.007996,2018-08-28
48,1535553960000.0,4.4E-5,4.4E-5,4.4E-5,4.4E-5,998.0039999999999,2018-08-29
49,1535667480000.0,4.1E-5,4.07E-5,4.1E-5,4.07E-5,71000.0,2018-08-30
50,1535731860000.0,4.044E-5,4.044E-5,4.044E-5,4.044E-5,898.7999999,2018-08-31
51,1535836380000.0,3.8E-5,3.8E-5,3.8E-5,3.8E-5,19000.0,2018-09-01
52,1535926620000.0,3.8E-5,3.8E-5,3.8E-5,3.8E-5,6540.23,2018-09-02
53,1536005580000.0,3.96E-5,3.96E-5,3.96E-5,3.96E-5,2008.85620562,2018-09-03
54,1536096240000.0,3.665E-5,3.665E-5,3.665E-5,3.665E-5,5000.0,2018-09-04
55,1536191700000.0,4.0E-5,3.81E-5,4.0E-5,3.81E-5,9445.067009999999,2018-09-05
56,1536260160000.0,4.0E-5,4.0E-5,4.0E-5,4.0E-5,2178.81555901,2018-09-06
57,1536278400000.0, 4.000E-05, 4.000E-05, 4.000E-05, 4.000E-05, 3.541E+03,2018-09-07
58,1536439200000.0,3.999E-5,3.999E-5,3.999E-5,3.999E-5,15552.38474847,2018-09-08
59,1536534780000.0,3.3E-5,3.3E-5,3.3E-5,3.3E-5,89236.69,2018-09-09
60,1536591300000.0,3.421E-5,3.4200000000000005E-5,3.421E-5,3.4200000000000005E-5,105289.0,2018-09-10
61,1536690420000.0,3.929999999999999E-5,3.929999999999999E-5,3.929999999999999E-5,3.929999999999999E-5,1103.31243385,2018-09-11
62,1536739500000.0,3.554E-5,3.554E-5,3.554E-5,3.554E-5,8576.54710513,2018-09-12
63,1536867360000.0,3.9899999999999994E-5,3.9899999999999994E-5,3.9899999999999994E-5,3.9899999999999994E-5,2000.0,2018-09-13
64,1536958980000.0,3.2E-5,3.2E-5,3.2E-5,3.2E-5,10509.22247654,2018-09-14
65,1537030740000.0,3.21E-5,3.21E-5,3.21E-5,3.21E-5,2582.98078518,2018-09-15
66,1537137300000.0,3.215E-5,3.215E-5,3.215E-5,3.215E-5,62346.74090202,2018-09-16
67,1537193760000.0,3.229999999999999E-5,3.229999999999999E-5,3.229999999999999E-5,3.229999999999999E-5,1881.69593743,2018-09-17
68,1537231440000.0,3.2E-5,3.2E-5,3.2E-5,3.2E-5,5515.89339187,2018-09-18
69,1537360860000.0,2.65E-5,2.65E-5,2.65E-5,2.65E-5,22631.7572668,2018-09-19
