,time,open,close,high,low,volume,the_date
0,1507679940000.0,2.8,2.85,2.85,2.7,815.7411328,2017-10-10
1,1507766340000.0,3.02,3.034,3.034,3.02,1288.4,2017-10-11
2,1507852740000.0,2.61,2.591,2.61,2.5889,0.005,2017-10-12
3,1507939140000.0,2.6899,2.7,2.7,2.6899,486.32591165,2017-10-13
4,1508025540000.0,3.4658,3.4619999999999997,3.4658,3.4619999999999997,2000.0,2017-10-14
5,1508111940000.0,3.3227,3.3273,3.3356,3.3225,1601.604597,2017-10-15
6,1508198280000.0,3.8523,3.8523,3.8523,3.8523,0.0123,2017-10-16
7,1508284740000.0,3.5,3.5,3.5,3.5,1.0,2017-10-17
8,1508371140000.0,3.1532,3.185,3.185,3.1532,31.81193,2017-10-18
9,1508457540000.0,3.0762,3.0782,3.0782,3.076,401.5501,2017-10-19
10,1508543580000.0,3.23,3.275,3.275,3.23,1132.77917483,2017-10-20
11,1508630220000.0,3.0018,3.0018,3.0018,3.0018,2.0,2017-10-21
12,1508716440000.0,3.0449,3.0449,3.0449,3.0449,50.5,2017-10-22
13,1508803140000.0,2.528,2.5302,2.5302,2.5266,677.1787815,2017-10-23
14,1508889300000.0,2.8329,2.8329,2.8329,2.8329,0.258,2017-10-24
15,1508974920000.0,2.6902,2.6902,2.6902,2.6902,6.10388214,2017-10-25
16,1509062340000.0,2.6892,2.6023,2.7356,2.53,18740.14813486,2017-10-26
17,1509148260000.0,2.6642,2.6642,2.6642,2.6642,51.0,2017-10-27
18,1509235020000.0,2.6,2.6,2.6,2.6,6.5652,2017-10-28
19,1509321300000.0,2.5489,2.5489,2.5489,2.5489,50.65,2017-10-29
20,1509407760000.0,2.535,2.535,2.535,2.535,7.6302,2017-10-30
21,1509494340000.0,2.349,2.311,2.3772,2.311,29.1369473,2017-10-31
22,1509580560000.0,2.1519999999999997,2.1272,2.1519999999999997,2.1272,750.0,2017-11-01
23,1509666780000.0,2.0001,2.0,2.0001,2.0,178.04420000000005,2017-11-02
24,1509753540000.0,2.256,2.256,2.256,2.256,50.0,2017-11-03
25,1509839820000.0,2.1589,2.1587,2.1589,2.1587,680.505679,2017-11-04
26,1509925020000.0,2.0915,2.0841,2.0921,2.084,2853.46347653,2017-11-05
27,1510012560000.0,2.0083,2.0083,2.0083,2.0083,23.9807,2017-11-06
28,1510096740000.0,2.0317,2.0317,2.0317,2.0317,74.9969,2017-11-07
29,1510185360000.0,2.229,2.229,2.229,2.229,7.681,2017-11-08
30,1510271640000.0,3.15,3.15,3.15,3.15,184.28734736,2017-11-09
31,1510357920000.0,2.675,2.662,2.675,2.662,305.7,2017-11-10
32,1510444740000.0,2.8891,2.8879,2.8891,2.8444,48.0,2017-11-11
33,1510530840000.0,2.3765,2.3765,2.3765,2.3765,40.0,2017-11-12
34,1510615800000.0,2.5918,2.592,2.592,2.58,1432.603159,2017-11-13
35,1510702560000.0,2.625,2.625,2.625,2.625,20.0,2017-11-14
36,1510790040000.0,2.46,2.46,2.46,2.46,60.0028127,2017-11-15
37,1510876320000.0,2.4254,2.4254,2.4254,2.4254,54.0,2017-11-16
38,1510962780000.0,2.4315,2.4315,2.4315,2.4315,1202.890435,2017-11-17
39,1511049300000.0,2.4908,2.4908,2.4908,2.4908,120.0,2017-11-18
40,1511135460000.0,2.484,2.4857,2.4857,2.484,2000.0,2017-11-19
41,1511222340000.0,2.3361,2.3361,2.3361,2.3361,300.0,2017-11-20
42,1511308440000.0,2.6396,2.659,2.659,2.6396,1677.6146,2017-11-21
43,1511394960000.0,2.7297,2.7299,2.7299,2.7297,33.27910072,2017-11-22
44,1511481540000.0,2.65,2.65,2.65,2.65,554.8539357999999,2017-11-23
45,1511567580000.0,2.6552,2.6552,2.6552,2.6552,52.0,2017-11-24
46,1511654160000.0,3.1324,3.1324,3.1324,3.1324,6.0,2017-11-25
47,1511739900000.0,2.9667,2.967,2.967,2.9667,1700.0,2017-11-26
48,1511826480000.0,3.0552,3.0203,3.0552,3.0203,261.1197,2017-11-27
49,1511913300000.0,3.0001,3.0,3.0001,3.0,1000.0,2017-11-28
50,1511999820000.0,2.5551,2.5551,2.5551,2.5551,25.0,2017-11-29
51,1512086340000.0,2.6034,2.6034,2.6034,2.6034,155.248,2017-11-30
