,time,open,close,high,low,volume,the_date
0,1525305000000.0,0.00249,0.00249,0.00249,0.00249,356.55165863,2018-05-02
1,1525390260000.0,0.00225,0.00225,0.00225,0.00225,2.40044444,2018-05-03
2,1525477800000.0,0.0017122,0.0017122,0.0017122,0.0017122,54.0,2018-05-04
3,1525564620000.0,0.0017511,0.0017511,0.0017511,0.0017511,9.28241016,2018-05-05
4,1525651020000.0,0.0015342,0.0015342,0.0015342,0.0015342,123.41,2018-05-06
5,1525737180000.0,0.0014499,0.0014499,0.0014499,0.0014499,10.06483205,2018-05-07
6,1525816860000.0,0.0012584000000000002,0.0012584000000000002,0.0012584000000000002,0.0012584000000000002,40.93685136,2018-05-08
7,1525909200000.0,0.001324,0.001324,0.001324,0.001324,171.29215104,2018-05-09
8,1525996680000.0,0.001,0.001,0.001,0.001,35.71896903,2018-05-10
9,1526079060000.0,9.3999E-4,9.3999E-4,9.3999E-4,9.3999E-4,42.92994606,2018-05-11
10,1526169540000.0,8.6299E-4,8.6203E-4,8.6299E-4,8.6203E-4,253.58998227,2018-05-12
11,1526254080000.0,8.8359E-4,9.25E-4,9.25E-4,8.8359E-4,4.8833081,2018-05-13
12,1526341740000.0,9.5999E-4,9.5999E-4,9.5999E-4,9.5999E-4,3.13511,2018-05-14
13,1526428740000.0,9.224999999999999E-4,9.224999999999999E-4,9.224999999999999E-4,9.224999999999999E-4,5.34295848,2018-05-15
14,1526507700000.0,9.1501E-4,9.1501E-4,9.1501E-4,9.1501E-4,2.56066278,2018-05-16
15,1526594580000.0,9.550000000000001E-4,9.550000000000001E-4,9.550000000000001E-4,9.550000000000001E-4,2.0,2018-05-17
16,1526686680000.0,8.150000000000001E-4,8.150000000000001E-4,8.150000000000001E-4,8.150000000000001E-4,93.37847853,2018-05-18
17,1526774160000.0,8.05E-4,8.097000000000001E-4,8.097000000000001E-4,8.05E-4,30.5147709,2018-05-19
18,1526857020000.0,7.3E-4,7.3E-4,7.3E-4,7.3E-4,14.0,2018-05-20
19,1526941020000.0,7.051000000000001E-4,7.051000000000001E-4,7.051000000000001E-4,7.051000000000001E-4,30.0,2018-05-21
20,1527028680000.0,6.3309E-4,6.3001E-4,6.3309E-4,6.3001E-4,70.58365523,2018-05-22
21,1527118980000.0,6.5E-4,6.5E-4,6.5E-4,6.5E-4,50.0,2018-05-23
22,1527204360000.0,5.8E-4,5.5394E-4,5.8E-4,5.5394E-4,453.0,2018-05-24
23,1527291420000.0,7.3E-4,8.0E-4,8.0E-4,7.3E-4,200.0,2018-05-25
24,1527378240000.0,6.4E-4,6.3008E-4,6.4E-4,6.3008E-4,143.0,2018-05-26
25,1527461940000.0,6.3346E-4,6.0641E-4,6.3346E-4,6.0641E-4,199.17526394,2018-05-27
26,1527549120000.0,5.9E-4,5.9E-4,5.9E-4,5.9E-4,2.0,2018-05-28
27,1527626580000.0,5.89E-4,5.89E-4,5.89E-4,5.89E-4,30.0,2018-05-29
28,1527720060000.0,5.8392E-4,5.8392E-4,5.8392E-4,5.8392E-4,2.0,2018-05-30
29,1527807000000.0,5.63E-4,5.6499E-4,5.6499E-4,5.2648E-4,4.07584,2018-05-31
30,1527897360000.0,4.4E-4,4.4E-4,4.4E-4,4.4E-4,49.19,2018-06-01
31,1527981720000.0,4.3799999999999997E-4,4.3799999999999997E-4,4.3799999999999997E-4,4.3799999999999997E-4,400.0,2018-06-02
32,1528070340000.0,4.52E-4,4.52E-4,4.52E-4,4.52E-4,2.0,2018-06-03
33,1528156680000.0,7.388999999999999E-4,7.3895E-4,7.3895E-4,7.388999999999999E-4,804.0,2018-06-04
34,1528240920000.0,9.185E-4,9.185E-4,9.185E-4,9.185E-4,31.98142624,2018-06-05
35,1528323780000.0,8.49E-4,8.49E-4,8.49E-4,8.49E-4,25.0,2018-06-06
36,1528411980000.0,6.6589E-4,6.6589E-4,6.6589E-4,6.6589E-4,2.0,2018-06-07
37,1528496040000.0,7.0999E-4,7.0999E-4,7.0999E-4,7.0999E-4,2.0177655,2018-06-08
38,1528587840000.0,7.18E-4,7.18E-4,7.18E-4,7.18E-4,46.41241667,2018-06-09
39,1528674360000.0,6.95E-4,6.95E-4,6.95E-4,6.95E-4,2.0,2018-06-10
40,1528760100000.0,6.135E-4,6.1E-4,6.135E-4,6.1E-4,200.0,2018-06-11
41,1528841580000.0,6.940000000000001E-4,6.945E-4,6.945E-4,6.940000000000001E-4,2004.0,2018-06-12
42,1528930380000.0,5.725E-4,5.725E-4,5.725E-4,5.725E-4,2.0,2018-06-13
43,1529003580000.0,6.285E-4,6.285E-4,6.285E-4,6.28E-4,4006.0,2018-06-14
44,1529097180000.0,5.7E-4,5.7E-4,5.7E-4,5.7E-4,142.4,2018-06-15
45,1529185140000.0,5.8E-4,5.8E-4,5.8E-4,5.8E-4,2.09416991,2018-06-16
46,1529266020000.0,5.7686E-4,5.7227E-4,5.7686E-4,5.7227E-4,99.36,2018-06-17
47,1529364480000.0,5.689E-4,5.690000000000001E-4,5.690000000000001E-4,5.689E-4,2870.0,2018-06-18
48,1529449560000.0,5.25E-4,5.25E-4,5.25E-4,5.25E-4,8.0,2018-06-19
49,1529533320000.0,5.17E-4,5.17E-4,5.17E-4,5.17E-4,38.39765698,2018-06-20
50,1529622420000.0,4.921E-4,4.9211E-4,4.9211E-4,4.921E-4,100.32371773,2018-06-21
51,1529703600000.0,4.9699E-4,4.9699E-4,4.9699E-4,4.969E-4,4006.0,2018-06-22
52,1529791620000.0,4.686E-4,4.6868E-4,4.6868E-4,4.686E-4,2000.0,2018-06-23
53,1529882040000.0,4.1489E-4,4.1489E-4,4.1489E-4,4.1489E-4,4.0,2018-06-24
54,1529963400000.0,3.7899E-4,3.7899E-4,3.7899E-4,3.7899E-4,10.58861711,2018-06-25
55,1530057120000.0,2.9491E-4,2.948E-4,2.9491E-4,2.948E-4,1115.56234476,2018-06-26
56,1530136860000.0,3.2489E-4,3.2489E-4,3.2489E-4,3.2489E-4,6.0,2018-06-27
57,1530229440000.0,2.93E-4,2.93E-4,2.93E-4,2.93E-4,227.61021181,2018-06-28
58,1530314280000.0,2.8999E-4,2.8999E-4,2.8999E-4,2.8999E-4,6.0,2018-06-29
59,1530390900000.0,2.695E-4,2.697E-4,2.697E-4,2.695E-4,199.8357805,2018-06-30
60,1530489060000.0,2.5855E-4,2.5855E-4,2.5855E-4,2.5855E-4,250.0,2018-07-01
61,1530575940000.0,2.9289999999999996E-4,2.9289E-4,2.9289999999999996E-4,2.9289E-4,6018.0,2018-07-02
62,1530643320000.0,2.92E-4,2.92E-4,2.92E-4,2.9199E-4,4018.0,2018-07-03
63,1530747360000.0,4.0E-4,4.0E-4,4.0E-4,4.0E-4,6.0,2018-07-04
64,1530823980000.0,3.08E-4,3.08E-4,3.08E-4,3.08E-4,6.0,2018-07-05
65,1530914100000.0,2.91E-4,2.91E-4,2.91E-4,2.91E-4,18.89221722,2018-07-06
66,1531006680000.0,3.1699E-4,3.1699E-4,3.1699E-4,3.1699E-4,6.0,2018-07-07
67,1531084860000.0,3.1600000000000004E-4,3.2E-4,3.2E-4,3.1600000000000004E-4,75.60545161,2018-07-08
68,1531144620000.0,3.1889999999999995E-4,3.1800000000000003E-4,3.1889999999999995E-4,3.1800000000000003E-4,4012.0,2018-07-09
69,1531253160000.0,3.1210000000000005E-4,3.1210000000000005E-4,3.1210000000000005E-4,3.1210000000000005E-4,7.0,2018-07-10
70,1531346940000.0,2.8E-4,3.1210000000000005E-4,3.1210000000000005E-4,2.7325E-4,17.69301609,2018-07-11
71,1531353600000.0, 2.808E-04, 3.116E-04, 3.116E-04, 2.744E-04, 2.418E+01,2018-07-12
72,1531506600000.0,2.9999E-4,3.0E-4,3.0E-4,2.9999E-4,173.22656767,2018-07-13
73,1531607940000.0,3.25E-4,3.25E-4,3.25E-4,3.25E-4,6.0,2018-07-14
74,1531684380000.0,3.2110000000000005E-4,3.2121E-4,3.2121E-4,3.2110000000000005E-4,4006.0,2018-07-15
75,1531772400000.0,3.3E-4,3.344E-4,3.344E-4,3.3E-4,62.20434172,2018-07-16
76,1531858080000.0,3.0989E-4,3.0989E-4,3.0989E-4,3.0989E-4,6.0,2018-07-17
77,1531949100000.0,2.987E-4,2.987E-4,2.987E-4,2.987E-4,6.0,2018-07-18
78,1532034180000.0,2.8900000000000003E-4,2.8900000000000003E-4,2.8900000000000003E-4,2.88E-4,4018.0,2018-07-19
79,1532124600000.0,2.5438E-4,2.5438E-4,2.5438E-4,2.5438E-4,6.0180904,2018-07-20
80,1532196360000.0,2.8647E-4,2.8644E-4,2.8647E-4,2.8639999999999997E-4,4018.0,2018-07-21
