,time,open,close,high,low,volume,the_date
0,1532645520000.0,2.25,2.0103,2.25,2.0103,0.04,2018-07-26
1,1532729760000.0,2.298,2.298,2.298,2.298,24.85478179,2018-07-27
2,1532817540000.0,2.3499,2.3499,2.3499,2.3499,5.22447271,2018-07-28
3,1532905920000.0,2.3132,2.3132,2.3132,2.3132,25.69458189,2018-07-29
4,1532979600000.0,2.231,2.231,2.231,2.231,15.87020381,2018-07-30
5,1533058800000.0,2.2099,2.2099,2.2099,2.2099,100.0,2018-07-31
6,1533143460000.0,2.1793,2.1793,2.1793,2.1793,6.11,2018-08-01
7,1533208200000.0,1.9178,1.9178,1.9178,1.9178,12.30298593,2018-08-02
8,1533325440000.0,2.1122,2.1122,2.1122,2.1122,12.37407331,2018-08-03
9,1533366960000.0,2.023,2.023,2.023,2.023,13.65453844,2018-08-04
10,1533427200000.0, 2.023E+00, 2.023E+00, 2.023E+00, 2.023E+00, 1.190E+01,2018-08-05
11,1533595260000.0,2.0221,2.0221,2.0221,2.0221,7.0,2018-08-06
12,1533676920000.0,1.9,1.9,1.9,1.9,6.0,2018-08-07
13,1533746700000.0,1.78,1.78,1.78,1.78,10.95,2018-08-08
14,1533848640000.0,1.855,1.855,1.855,1.855,19.94,2018-08-09
15,1533914400000.0,1.6737,1.6737,1.6737,1.6737,18.1542392,2018-08-10
16,1534014240000.0,1.681,1.681,1.681,1.681,6.0,2018-08-11
17,1534032000000.0, 1.674E+00, 1.674E+00, 1.674E+00, 1.674E+00, 8.224E+00,2018-08-12
18,1534178700000.0,1.6130000000000002,1.6130000000000002,1.6130000000000002,1.6130000000000002,26.590999999999998,2018-08-13
19,1534276260000.0,1.4604,1.4604,1.4604,1.4604,50.51610026,2018-08-14
20,1534349760000.0,1.454,1.5713,1.5713,1.454,40.59840317,2018-08-15
21,1534415880000.0,1.5656,1.5656,1.5656,1.5656,26.82908925,2018-08-16
22,1534525680000.0,1.6499,1.65,1.65,1.6499,20.49248696,2018-08-17
23,1534550640000.0,1.7398,1.7398,1.7398,1.7398,15.45,2018-08-18
24,1534636800000.0, 1.714E+00, 1.714E+00, 1.714E+00, 1.714E+00, 1.383E+01,2018-08-19
25,1534723200000.0, 1.687E+00, 1.687E+00, 1.687E+00, 1.687E+00, 1.222E+01,2018-08-20
26,1534849680000.0,1.649,1.649,1.649,1.649,9.84405198,2018-08-21
27,1534973520000.0,1.5147,1.5147,1.5147,1.5147,55.38,2018-08-22
28,1535026260000.0,1.53,1.53,1.53,1.53,200.0,2018-08-23
29,1535095080000.0,1.5683,1.5683,1.5683,1.5683,0.00482601,2018-08-24
30,1535155200000.0, 1.560E+00, 1.560E+00, 1.560E+00, 1.560E+00, 1.111E+01,2018-08-25
31,1535262540000.0,1.5456,1.5456,1.5456,1.5456,30.938000000000002,2018-08-26
32,1535328000000.0, 1.592E+00, 1.592E+00, 1.592E+00, 1.592E+00, 2.675E+01,2018-08-27
33,1535483520000.0,1.7037,1.7037,1.7037,1.7037,16.79,2018-08-28
34,1535553180000.0,1.7898,1.7898,1.7898,1.7898,200.0,2018-08-29
35,1535631360000.0,1.6084,1.6084,1.6084,1.6084,7.70912104,2018-08-30
36,1535702520000.0,1.713,1.713,1.713,1.713,58.0,2018-08-31
37,1535760000000.0, 1.706E+00, 1.706E+00, 1.706E+00, 1.706E+00, 5.990E+01,2018-09-01
38,1535846400000.0, 1.696E+00, 1.696E+00, 1.696E+00, 1.696E+00, 6.275E+01,2018-09-02
39,1535980860000.0,1.68,1.68,1.68,1.68,67.18642009999999,2018-09-03
40,1536019200000.0, 1.626E+00, 1.626E+00, 1.626E+00, 1.626E+00, 6.130E+01,2018-09-04
41,1536191400000.0,1.3857,1.3856,1.3857,1.3856,34.88643641,2018-09-05
42,1536201960000.0,1.4317,1.4317,1.4317,1.4317,39.664,2018-09-06
43,1536278400000.0, 1.369E+00, 1.369E+00, 1.369E+00, 1.369E+00, 2.880E+01,2018-09-07
44,1536438720000.0,1.236,1.236,1.236,1.236,6.0,2018-09-08
45,1536524100000.0,1.26,1.26,1.26,1.26,8.14637302,2018-09-09
46,1536600420000.0,1.2352,1.2352,1.2352,1.2352,13.96590159,2018-09-10
47,1536675480000.0,1.4606,1.4606,1.4606,1.4606,8.0,2018-09-11
48,1536777720000.0,1.1324,1.1324,1.1324,1.1324,10.0,2018-09-12
49,1536847440000.0,1.3711,1.3711,1.3711,1.3711,67.24,2018-09-13
50,1536959700000.0,1.3829,1.3829,1.3829,1.3829,94.73468148,2018-09-14
51,1536992340000.0,1.3588,1.3588,1.3588,1.3588,128.79673933,2018-09-15
52,1537126440000.0,1.4096,1.41,1.41,1.4096,86.84945273,2018-09-16
53,1537142400000.0, 1.410E+00, 1.411E+00, 1.411E+00, 1.410E+00, 8.301E+01,2018-09-17
54,1537228800000.0, 1.414E+00, 1.414E+00, 1.414E+00, 1.414E+00, 6.220E+01,2018-09-18
55,1537315200000.0, 1.417E+00, 1.417E+00, 1.417E+00, 1.417E+00, 4.139E+01,2018-09-19
56,1537487040000.0,1.4241,1.4241,1.4241,1.4241,0.00417,2018-09-20
57,1537563660000.0,1.5562,1.5562,1.5562,1.5562,195.87587982,2018-09-21
58,1537626900000.0,1.5686,1.5686,1.5686,1.5686,37.20567245,2018-09-22
59,1537660800000.0, 1.540E+00, 1.540E+00, 1.540E+00, 1.540E+00, 3.517E+01,2018-09-23
60,1537747200000.0, 1.468E+00, 1.468E+00, 1.468E+00, 1.468E+00, 2.997E+01,2018-09-24
61,1537875300000.0,1.3612,1.3612,1.3612,1.3612,22.26563487,2018-09-25
62,1537920000000.0, 1.359E+00, 1.359E+00, 1.359E+00, 1.359E+00, 2.036E+01,2018-09-26
63,1538079120000.0,1.3516,1.3516,1.3516,1.3516,13.57713951,2018-09-27
64,1538092800000.0, 1.367E+00, 1.367E+00, 1.367E+00, 1.367E+00, 1.433E+01,2018-09-28
65,1538220300000.0,1.5086,1.5086,1.5086,1.5086,21.34,2018-09-29
66,1538265600000.0, 1.522E+00, 1.522E+00, 1.522E+00, 1.522E+00, 5.170E+01,2018-09-30
67,1538375280000.0,1.5559,1.5559,1.5559,1.5559,125.21814778,2018-10-01
68,1538447400000.0,1.4337,1.4337,1.4337,1.4337,52.4059481,2018-10-02
69,1538586480000.0,1.5216,1.5217,1.5217,1.5216,160.0,2018-10-03
70,1538611200000.0, 1.514E+00, 1.514E+00, 1.514E+00, 1.514E+00, 1.592E+02,2018-10-04
71,1538697600000.0, 1.488E+00, 1.488E+00, 1.488E+00, 1.488E+00, 1.565E+02,2018-10-05
72,1538784000000.0, 1.462E+00, 1.462E+00, 1.462E+00, 1.462E+00, 1.538E+02,2018-10-06
73,1538939040000.0,1.4153,1.4153,1.4153,1.4153,149.01118104,2018-10-07
74,1539007260000.0,1.4787,1.5388,1.5388,1.4787,20.00996,2018-10-08
75,1539043200000.0, 1.453E+00, 1.504E+00, 1.504E+00, 1.453E+00, 1.856E+01,2018-10-09
76,1539129600000.0, 1.390E+00, 1.421E+00, 1.421E+00, 1.390E+00, 1.507E+01,2018-10-10
77,1539255240000.0,1.2998,1.2998,1.2998,1.2998,10.0,2018-10-11
