,time,open,close,high,low,volume,the_date
0,1530381300000.0,7.289E-5,7.289E-5,7.289E-5,7.289E-5,384.0,2018-06-30
1,1530488940000.0,5.566E-5,5.566E-5,5.566E-5,5.566E-5,3459.1743738000005,2018-07-01
2,1530489600000.0, 5.585E-05, 5.585E-05, 5.585E-05, 5.585E-05, 3.467E+03,2018-07-02
3,1530621300000.0,9.36E-5,9.36E-5,9.36E-5,9.36E-5,5098.80745424,2018-07-03
4,1530662400000.0, 9.362E-05, 9.362E-05, 9.362E-05, 9.362E-05, 4.884E+03,2018-07-04
5,1530831180000.0,9.37E-5,9.37E-5,9.37E-5,9.37E-5,4000.0,2018-07-05
6,1530835200000.0, 9.370E-05, 9.370E-05, 9.370E-05, 9.370E-05, 3.901E+03,2018-07-06
7,1530969420000.0,9.37E-5,9.37E-5,9.37E-5,9.37E-5,600.0,2018-07-07
8,1531008000000.0, 9.046E-05, 9.046E-05, 9.046E-05, 9.046E-05, 5.706E+02,2018-07-08
9,1531094400000.0, 8.320E-05, 8.320E-05, 8.320E-05, 8.320E-05, 5.048E+02,2018-07-09
10,1531180800000.0, 7.594E-05, 7.594E-05, 7.594E-05, 7.594E-05, 4.389E+02,2018-07-10
11,1531297920000.0,6.61E-5,6.61E-5,6.61E-5,6.61E-5,349.65,2018-07-11
12,1531439040000.0,5.266E-5,3.216E-5,5.266E-5,3.216E-5,16823.78632705,2018-07-12
13,1531494420000.0,7.0E-5,7.0E-5,7.0E-5,7.0E-5,1000.0,2018-07-13
14,1531546800000.0,6.878E-5,6.878E-5,6.878E-5,6.878E-5,0.00285129,2018-07-14
15,1531612800000.0, 7.028E-05, 7.028E-05, 7.028E-05, 7.028E-05, 7.242E+01,2018-07-15
16,1531699200000.0, 7.225E-05, 7.225E-05, 7.225E-05, 7.225E-05, 1.672E+02,2018-07-16
17,1531785600000.0, 7.422E-05, 7.422E-05, 7.422E-05, 7.422E-05, 2.620E+02,2018-07-17
18,1531872000000.0, 7.618E-05, 7.618E-05, 7.618E-05, 7.618E-05, 3.568E+02,2018-07-18
19,1531958400000.0, 7.815E-05, 7.815E-05, 7.815E-05, 7.815E-05, 4.516E+02,2018-07-19
20,1532044800000.0, 8.012E-05, 8.012E-05, 8.012E-05, 8.012E-05, 5.464E+02,2018-07-20
21,1532131200000.0, 8.209E-05, 8.209E-05, 8.209E-05, 8.209E-05, 6.412E+02,2018-07-21
22,1532217600000.0, 8.405E-05, 8.405E-05, 8.405E-05, 8.405E-05, 7.361E+02,2018-07-22
23,1532304000000.0, 8.602E-05, 8.602E-05, 8.602E-05, 8.602E-05, 8.309E+02,2018-07-23
24,1532390400000.0, 8.799E-05, 8.799E-05, 8.799E-05, 8.799E-05, 9.257E+02,2018-07-24
25,1532476800000.0, 8.995E-05, 8.995E-05, 8.995E-05, 8.995E-05, 1.020E+03,2018-07-25
26,1532640420000.0,9.368E-5,9.368E-5,9.368E-5,9.368E-5,1200.0,2018-07-26
27,1532649600000.0, 9.368E-05, 9.368E-05, 9.368E-05, 9.368E-05, 1.188E+03,2018-07-27
28,1532794680000.0,9.369E-5,9.369E-5,9.369E-5,9.369E-5,1000.0,2018-07-28
29,1532897400000.0,3.964E-5,3.964E-5,3.964E-5,3.964E-5,11300.0,2018-07-29
30,1532908800000.0, 4.099E-05, 4.099E-05, 4.099E-05, 4.099E-05, 1.092E+04,2018-07-30
31,1533081480000.0,6.15E-5,6.15E-5,6.15E-5,6.15E-5,5151.68610326,2018-07-31
32,1533081600000.0, 6.149E-05, 6.149E-05, 6.149E-05, 6.149E-05, 5.151E+03,2018-08-01
33,1533168000000.0, 5.322E-05, 5.322E-05, 5.322E-05, 5.322E-05, 4.464E+03,2018-08-02
34,1533308280000.0,3.98E-5,3.98E-5,3.98E-5,3.98E-5,3348.0,2018-08-03
35,1533340800000.0, 4.116E-05, 4.116E-05, 4.116E-05, 4.116E-05, 3.200E+03,2018-08-04
36,1533427200000.0, 4.478E-05, 4.478E-05, 4.478E-05, 4.478E-05, 2.806E+03,2018-08-05
37,1533513600000.0, 4.840E-05, 4.840E-05, 4.840E-05, 4.840E-05, 2.413E+03,2018-08-06
38,1533600000000.0, 5.201E-05, 5.201E-05, 5.201E-05, 5.201E-05, 2.020E+03,2018-08-07
39,1533686400000.0, 5.563E-05, 5.563E-05, 5.563E-05, 5.563E-05, 1.626E+03,2018-08-08
40,1533823920000.0,6.139E-5,6.139E-5,6.139E-5,6.139E-5,1000.0,2018-08-09
41,1533859200000.0, 6.013E-05, 6.013E-05, 6.013E-05, 6.013E-05, 1.618E+03,2018-08-10
42,1533987420000.0,5.556E-5,5.555E-5,5.556E-5,5.555E-5,3862.42289334,2018-08-11
43,1534091820000.0,5.866E-5,5.866E-5,5.866E-5,5.866E-5,606.0,2018-08-12
44,1534118400000.0, 5.852E-05, 5.852E-05, 5.852E-05, 5.852E-05, 7.123E+02,2018-08-13
45,1534204800000.0, 5.805E-05, 5.805E-05, 5.805E-05, 5.805E-05, 1.058E+03,2018-08-14
46,1534315320000.0,5.746E-5,5.746E-5,5.746E-5,5.746E-5,1500.0,2018-08-15
47,1534377600000.0, 5.811E-05, 5.811E-05, 5.811E-05, 5.811E-05, 1.785E+03,2018-08-16
48,1534464000000.0, 5.902E-05, 5.902E-05, 5.902E-05, 5.902E-05, 2.180E+03,2018-08-17
49,1534550400000.0, 5.992E-05, 5.992E-05, 5.992E-05, 5.992E-05, 2.575E+03,2018-08-18
50,1534670100000.0,6.118E-5,6.118E-5,6.118E-5,6.118E-5,3122.09,2018-08-19
51,1534792380000.0,5.85E-5,5.85E-5,5.852E-5,5.85E-5,15255.93803896,2018-08-20
52,1534809600000.0, 5.891E-05, 5.891E-05, 5.893E-05, 5.891E-05, 1.389E+04,2018-08-21
53,1534913160000.0,6.139E-5,6.139E-5,6.139E-5,6.139E-5,5682.608,2018-08-22
54,1534982400000.0, 6.163E-05, 6.163E-05, 6.163E-05, 6.163E-05, 5.009E+03,2018-08-23
55,1535068800000.0, 6.192E-05, 6.192E-05, 6.192E-05, 6.192E-05, 4.169E+03,2018-08-24
56,1535155200000.0, 6.221E-05, 6.221E-05, 6.221E-05, 6.221E-05, 3.328E+03,2018-08-25
57,1535241600000.0, 6.251E-05, 6.251E-05, 6.251E-05, 6.251E-05, 2.488E+03,2018-08-26
58,1535413560000.0,6.309E-5,6.309E-5,6.309E-5,6.309E-5,815.23913446,2018-08-27
59,1535414400000.0, 6.328E-05, 6.329E-05, 6.329E-05, 6.328E-05, 8.221E+02,2018-08-28
60,1535545140000.0,9.300000000000001E-5,9.365E-5,9.365E-5,9.300000000000001E-5,1891.53230112,2018-08-29
61,1535618400000.0,9.366E-5,9.366E-5,9.366E-5,9.366E-5,2895.0,2018-08-30
62,1535673600000.0, 9.366E-05, 9.366E-05, 9.366E-05, 9.366E-05, 2.456E+03,2018-08-31
63,1535831460000.0,9.366E-5,9.366E-5,9.366E-5,9.366E-5,1200.0,2018-09-01
64,1535846400000.0, 9.144E-05, 9.144E-05, 9.144E-05, 9.144E-05, 1.495E+03,2018-09-02
65,1536009900000.0,6.709999999999999E-5,6.709999999999999E-5,6.709999999999999E-5,6.709999999999999E-5,4726.219838040001,2018-09-03
66,1536070380000.0,6.314E-5,6.314E-5,6.314E-5,6.314E-5,2200.94,2018-09-04
67,1536105600000.0, 6.319E-05, 6.319E-05, 6.319E-05, 6.319E-05, 2.011E+03,2018-09-05
68,1536258540000.0,6.339E-5,6.339E-5,6.339E-5,6.339E-5,1185.38110294,2018-09-06
69,1536314640000.0,7.77E-5,7.77E-5,7.77E-5,7.77E-5,1388.701949,2018-09-07
70,1536364800000.0, 7.851E-05, 7.851E-05, 7.851E-05, 7.851E-05, 2.869E+03,2018-09-08
71,1536457380000.0,8.0E-5,8.0E-5,8.0E-5,8.0E-5,5602.41652902,2018-09-09
72,1536537600000.0, 7.700E-05, 7.700E-05, 7.700E-05, 7.700E-05, 4.533E+03,2018-09-10
73,1536698160000.0,7.099999999999999E-5,7.099999999999999E-5,7.099999999999999E-5,7.099999999999999E-5,2392.0,2018-09-11
74,1536793920000.0,9.601E-5,9.601E-5,9.601E-5,9.601E-5,4655.41632199,2018-09-12
75,1536860820000.0,8.182E-5,8.179E-5,8.182E-5,8.179E-5,8215.0,2018-09-13
76,1536883200000.0, 8.048E-05, 8.045E-05, 8.048E-05, 8.045E-05, 7.166E+03,2018-09-14
77,1537007820000.0,7.3E-5,7.3E-5,7.3E-5,7.3E-5,1325.71289778,2018-09-15
78,1537095300000.0,1.5889999999999999E-4,1.5889999999999999E-4,1.5889999999999999E-4,1.5889999999999999E-4,1000.0,2018-09-16
79,1537142400000.0, 1.480E-04, 1.480E-04, 1.480E-04, 1.480E-04, 1.726E+03,2018-09-17
80,1537228800000.0, 1.279E-04, 1.279E-04, 1.279E-04, 1.279E-04, 3.059E+03,2018-09-18
81,1537315200000.0, 1.078E-04, 1.078E-04, 1.078E-04, 1.078E-04, 4.392E+03,2018-09-19
82,1537445400000.0,7.759999999999999E-5,7.759999999999999E-5,7.759999999999999E-5,7.759999999999999E-5,6400.0,2018-09-20
