,time,open,close,high,low,volume,the_date
0,1537487640000.0,2.4E-6,2.4E-6,2.4E-6,2.4E-6,0.01152253,2018-09-20
1,1537556340000.0,2.54E-6,2.54E-6,2.54E-6,2.54E-6,18360.0,2018-09-21
2,1537574400000.0, 2.462E-06, 2.462E-06, 2.462E-06, 2.462E-06, 1.860E+04,2018-09-22
3,1537681560000.0,2.0E-6,2.0E-6,2.0E-6,2.0E-6,20000.0,2018-09-23
4,1537782780000.0,2.0E-6,2.0E-6,2.0E-6,2.0E-6,20000.0,2018-09-24
5,1537905660000.0,2.49E-6,2.49E-6,2.49E-6,2.49E-6,100000.0,2018-09-25
6,1537991400000.0,2.47E-6,2.47E-6,2.47E-6,2.47E-6,125762.58273381,2018-09-26
7,1538092740000.0,1.99E-6,1.99E-6,1.99E-6,1.99E-6,131261.86,2018-09-27
8,1538179140000.0,1.98E-6,1.98E-6,1.98E-6,1.98E-6,108993.68,2018-09-28
9,1538265540000.0,1.92E-6,1.93E-6,1.93E-6,1.92E-6,169082.94,2018-09-29
10,1538351940000.0,1.86E-6,1.86E-6,1.86E-6,1.86E-6,175605.71,2018-09-30
11,1538438340000.0,1.92E-6,1.92E-6,1.92E-6,1.92E-6,186708.9,2018-10-01
12,1538524740000.0,1.92E-6,1.93E-6,1.93E-6,1.92E-6,186274.02,2018-10-02
13,1538611140000.0,1.95E-6,1.95E-6,1.95E-6,1.95E-6,79092.08,2018-10-03
14,1538697540000.0,1.82E-6,1.82E-6,1.82E-6,1.82E-6,183437.77,2018-10-04
15,1538783760000.0,1.77E-6,1.77E-6,1.77E-6,1.77E-6,77729.37,2018-10-05
16,1538870340000.0,1.76E-6,1.75E-6,1.76E-6,1.75E-6,76242.64,2018-10-06
17,1538956740000.0,1.87E-6,1.86E-6,1.87E-6,1.86E-6,206326.31,2018-10-07
18,1539039540000.0,1.96E-6,1.96E-6,1.96E-6,1.96E-6,139809.43,2018-10-08
19,1539129060000.0,2.07E-6,2.07E-6,2.07E-6,2.07E-6,56214.25,2018-10-09
20,1539215940000.0,2.02E-6,2.02E-6,2.02E-6,2.01E-6,128961.34,2018-10-10
21,1539301320000.0,1.97E-6,1.97E-6,1.97E-6,1.97E-6,59198.32,2018-10-11
22,1539388740000.0,2.01E-6,2.01E-6,2.01E-6,2.01E-6,176587.72999999995,2018-10-12
23,1539475140000.0,2.05E-6,2.05E-6,2.05E-6,2.05E-6,27802.62,2018-10-13
24,1539561540000.0,2.16E-6,2.16E-6,2.16E-6,2.16E-6,159698.24,2018-10-14
25,1539647040000.0,2.07E-6,2.07E-6,2.07E-6,2.07E-6,33578.22,2018-10-15
26,1539734160000.0,1.98E-6,1.98E-6,1.98E-6,1.98E-6,164237.24,2018-10-16
27,1539820740000.0,2.02E-6,2.02E-6,2.02E-6,2.02E-6,55266.89,2018-10-17
28,1539907140000.0,2.11E-6,2.11E-6,2.11E-6,2.11E-6,271564.48,2018-10-18
29,1539993540000.0,2.54E-6,2.54E-6,2.54E-6,2.54E-6,275960.18,2018-10-19
30,1540079760000.0,2.29E-6,2.29E-6,2.29E-6,2.29E-6,40399.61,2018-10-20
31,1540166340000.0,2.41E-6,2.41E-6,2.41E-6,2.41E-6,169680.14,2018-10-21
32,1540252740000.0,2.39E-6,2.39E-6,2.39E-6,2.39E-6,184729.61,2018-10-22
33,1540339140000.0,2.44E-6,2.44E-6,2.44E-6,2.44E-6,156624.19,2018-10-23
34,1540425540000.0,2.41E-6,2.41E-6,2.41E-6,2.41E-6,210132.23,2018-10-24
35,1540511940000.0,2.26E-6,2.26E-6,2.26E-6,2.26E-6,256234.7,2018-10-25
36,1540598340000.0,2.37E-6,2.37E-6,2.37E-6,2.37E-6,296202.61,2018-10-26
37,1540684740000.0,2.24E-6,2.24E-6,2.24E-6,2.24E-6,216714.91,2018-10-27
38,1540771140000.0,2.19E-6,2.19E-6,2.19E-6,2.19E-6,252891.15,2018-10-28
39,1540856460000.0,2.13E-6,2.13E-6,2.13E-6,2.13E-6,317091.12,2018-10-29
40,1540943580000.0,2.16E-6,2.16E-6,2.16E-6,2.16E-6,98728.23,2018-10-30
41,1541030340000.0,2.04E-6,2.04E-6,2.04E-6,2.04E-6,142161.34,2018-10-31
42,1541116440000.0,1.98E-6,1.98E-6,1.98E-6,1.98E-6,47720.04,2018-11-01
43,1541203140000.0,2.07E-6,2.07E-6,2.08E-6,2.07E-6,364328.41,2018-11-02
44,1541287560000.0,1.94E-6,1.94E-6,1.94E-6,1.94E-6,33213.0,2018-11-03
45,1541375940000.0,1.83E-6,1.82E-6,1.83E-6,1.81E-6,357178.77,2018-11-04
46,1541462160000.0,1.87E-6,1.87E-6,1.87E-6,1.87E-6,5187.81746,2018-11-05
47,1541547840000.0,1.58E-6,1.58E-6,1.58E-6,1.58E-6,310422.69,2018-11-06
48,1541630700000.0,1.65E-6,1.65E-6,1.65E-6,1.65E-6,309062.47,2018-11-07
49,1541721360000.0,1.6E-6,1.6E-6,1.6E-6,1.6E-6,9675.01,2018-11-08
50,1541807940000.0,1.65E-6,1.65E-6,1.65E-6,1.65E-6,371304.19,2018-11-09
51,1541892960000.0,1.67E-6,1.67E-6,1.67E-6,1.67E-6,50000.0,2018-11-10
52,1541980740000.0,1.63E-6,1.63E-6,1.64E-6,1.63E-6,383763.39,2018-11-11
53,1542067080000.0,1.58E-6,1.58E-6,1.58E-6,1.58E-6,49207.07,2018-11-12
54,1542153540000.0,1.61E-6,1.61E-6,1.61E-6,1.61E-6,253070.53,2018-11-13
55,1542239100000.0,1.58E-6,1.59E-6,1.59E-6,1.58E-6,303995.69,2018-11-14
56,1542326340000.0,1.6E-6,1.6E-6,1.6E-6,1.6E-6,304492.74,2018-11-15
57,1542412740000.0,1.66E-6,1.66E-6,1.67E-6,1.66E-6,216646.05,2018-11-16
58,1542499140000.0,1.69E-6,1.69E-6,1.69E-6,1.69E-6,237472.26,2018-11-17
59,1542582540000.0,1.66E-6,1.66E-6,1.66E-6,1.66E-6,223648.32,2018-11-18
60,1542671820000.0,1.48E-6,1.49E-6,1.49E-6,1.48E-6,80020.0,2018-11-19
61,1542758340000.0,1.52E-6,1.52E-6,1.52E-6,1.51E-6,259891.11,2018-11-20
62,1542842340000.0,1.56E-6,1.56E-6,1.56E-6,1.56E-6,83250.0,2018-11-21
63,1542931140000.0,1.55E-6,1.55E-6,1.55E-6,1.55E-6,236704.24,2018-11-22
64,1543016940000.0,1.57E-6,1.57E-6,1.57E-6,1.57E-6,49809.0,2018-11-23
65,1543103820000.0,1.43E-6,1.43E-6,1.43E-6,1.43E-6,240137.62,2018-11-24
66,1543187220000.0,1.37E-6,1.37E-6,1.37E-6,1.37E-6,58706.00720153,2018-11-25
67,1543275660000.0,1.33E-6,1.33E-6,1.33E-6,1.33E-6,198341.79118681,2018-11-26
68,1543363140000.0,1.56E-6,1.58E-6,1.58E-6,1.56E-6,146415.27000000002,2018-11-27
69,1543449360000.0,1.51E-6,1.51E-6,1.51E-6,1.51E-6,164301.78,2018-11-28
70,1543535940000.0,1.53E-6,1.53E-6,1.53E-6,1.53E-6,230174.74,2018-11-29
71,1543622340000.0,1.45E-6,1.45E-6,1.45E-6,1.45E-6,149843.02000000002,2018-11-30
72,1543708740000.0,1.48E-6,1.48E-6,1.48E-6,1.48E-6,65000.0,2018-12-01
73,1543795140000.0,1.44E-6,1.44E-6,1.44E-6,1.44E-6,146283.13,2018-12-02
74,1543881540000.0,1.45E-6,1.45E-6,1.45E-6,1.45E-6,56269.01696,2018-12-03
75,1543953120000.0,1.76E-6,1.76E-6,1.76E-6,1.76E-6,306136.32001977,2018-12-04
76,1544042400000.0,1.56E-6,1.56E-6,1.56E-6,1.56E-6,64462.92,2018-12-05
77,1544140500000.0,1.6E-6,1.6E-6,1.6E-6,1.6E-6,96695.72809882,2018-12-06
78,1544216640000.0,1.47E-6,1.47E-6,1.47E-6,1.47E-6,100053.28754983,2018-12-07
79,1544307780000.0,1.61E-6,1.61E-6,1.61E-6,1.61E-6,1110.0,2018-12-08
80,1544375580000.0,1.51E-6,1.51E-6,1.51E-6,1.51E-6,69000.0,2018-12-09
81,1544480040000.0,1.6E-6,1.6E-6,1.6E-6,1.6E-6,2107.96483437,2018-12-10
82,1544560500000.0,1.57E-6,1.57E-6,1.57E-6,1.57E-6,95790.5477707,2018-12-11
83,1544641560000.0,1.65E-6,1.65E-6,1.65E-6,1.65E-6,75407.21752309,2018-12-12
84,1544743500000.0,1.63E-6,1.63E-6,1.63E-6,1.63E-6,533810.0,2018-12-13
85,1544810160000.0,1.53E-6,1.52E-6,1.53E-6,1.52E-6,269426.9662,2018-12-14
86,1544909400000.0,1.52E-6,1.52E-6,1.52E-6,1.52E-6,119275.59189842,2018-12-15
87,1544994840000.0,1.49E-6,1.49E-6,1.49E-6,1.49E-6,108122.94,2018-12-16
88,1545076740000.0,1.49E-6,1.49E-6,1.49E-6,1.49E-6,117850.39,2018-12-17
89,1545176520000.0,1.47E-6,1.49E-6,1.49E-6,1.47E-6,113226.2,2018-12-18
90,1545255540000.0,1.42E-6,1.43E-6,1.43E-6,1.42E-6,210078.87912,2018-12-19
