,time,open,close,high,low,volume,the_date
0,1537487700000.0,6.501E-4,6.501E-4,6.501E-4,6.501E-4,10000.0,2018-09-20
1,1537572660000.0,5.337E-4,5.337E-4,5.337E-4,5.337E-4,35257.4575,2018-09-21
2,1537656300000.0,4.7699999999999994E-4,4.716E-4,4.7699999999999994E-4,4.716E-4,741947.17437016,2018-09-22
3,1537745340000.0,4.9109E-4,4.9109E-4,4.9109E-4,4.9109E-4,55005.29,2018-09-23
4,1537828440000.0,4.5119999999999996E-4,4.5E-4,4.5119999999999996E-4,4.5E-4,320700.0,2018-09-24
5,1537914300000.0,4.448E-4,4.448E-4,4.448E-4,4.448E-4,40000.0,2018-09-25
6,1537996140000.0,4.55E-4,4.55E-4,4.55E-4,4.55E-4,88014.04094505,2018-09-26
7,1538087700000.0,4.55E-4,4.55E-4,4.55E-4,4.55E-4,72276.55449898,2018-09-27
8,1538176560000.0,4.7999999999999996E-4,4.7999999999999996E-4,4.7999999999999996E-4,4.7999999999999996E-4,8319.18672839,2018-09-28
9,1538256900000.0,4.5768E-4,4.5768E-4,4.5768E-4,4.5768E-4,101000.0,2018-09-29
10,1538348520000.0,4.3598E-4,4.3598E-4,4.3598E-4,4.3598E-4,53955.14696769999,2018-09-30
11,1538432220000.0,4.499E-4,4.499E-4,4.499E-4,4.499E-4,51091.47932874,2018-10-01
12,1538524620000.0,4.69E-4,4.69E-4,4.69E-4,4.69E-4,25097.55526713,2018-10-02
13,1538607840000.0,4.4148E-4,4.4148E-4,4.4148E-4,4.4148E-4,33000.0,2018-10-03
14,1538694120000.0,4.05E-4,4.05E-4,4.05E-4,4.05E-4,41754.61728396,2018-10-04
15,1538776500000.0,4.0207E-4,4.049E-4,4.049E-4,4.0207E-4,171451.57789581,2018-10-05
16,1538863620000.0,3.9704E-4,3.9703E-4,3.9704E-4,3.9703E-4,154000.0,2018-10-06
17,1538954820000.0,4.3393E-4,4.3393E-4,4.3393E-4,4.3393E-4,130000.0,2018-10-07
18,1539035520000.0,4.6697E-4,4.6697E-4,4.6697E-4,4.6697E-4,282800.65805792,2018-10-08
19,1539123780000.0,4.7799E-4,4.7799E-4,4.7799E-4,4.7799E-4,54993.78002083,2018-10-09
20,1539211560000.0,4.475E-4,4.475E-4,4.475E-4,4.475E-4,40000.0,2018-10-10
