,time,open,close,high,low,volume,the_date
0,1523122620000.0,1.454E-5,1.454E-5,1.454E-5,1.454E-5,9.53439726,2018-04-07
1,1523227740000.0,1.4365E-4,1.4365E-4,1.4365E-4,1.4365E-4,15.0,2018-04-08
2,1523317980000.0,1.49E-4,1.49E-4,1.49E-4,1.49E-4,4057.06738255,2018-04-09
3,1523404020000.0,1.4642E-4,1.4639E-4,1.4642E-4,1.4639E-4,80.3,2018-04-10
4,1523490180000.0,1.4422E-4,1.4421E-4,1.4422E-4,1.4421E-4,7000.0,2018-04-11
5,1523576160000.0,1.2592E-4,1.2582E-4,1.2592E-4,1.2582E-4,3590.0,2018-04-12
6,1523661780000.0,1.2566E-4,1.2566E-4,1.2566E-4,1.2566E-4,10.0,2018-04-13
7,1523747220000.0,1.2462E-4,1.2462E-4,1.2462E-4,1.2462E-4,1000.0,2018-04-14
8,1523828460000.0,1.2129E-4,1.2129E-4,1.2129E-4,1.2129E-4,32.89322797,2018-04-15
9,1523922720000.0,1.2369E-4,1.2371E-4,1.2371E-4,1.2369E-4,119.51805969,2018-04-16
10,1523993700000.0,1.2719E-4,1.2719E-4,1.2719E-4,1.2719E-4,864.94230689,2018-04-17
11,1524090600000.0,1.2288E-4,1.2288E-4,1.2288E-4,1.2288E-4,362.37931315,2018-04-18
12,1524180240000.0,1.2191E-4,1.2191E-4,1.2191E-4,1.2191E-4,31.72085646,2018-04-19
13,1524265680000.0,1.1217E-4,1.1217E-4,1.1217E-4,1.1217E-4,1650.22420021,2018-04-20
14,1524350580000.0,1.129E-4,1.1272E-4,1.129E-4,1.1272E-4,5000.0,2018-04-21
15,1524432600000.0,1.1152E-4,1.1145E-4,1.1152E-4,1.1145E-4,3954.78071433,2018-04-22
16,1524520200000.0,1.1220000000000002E-4,1.1220000000000002E-4,1.1220000000000002E-4,1.1220000000000002E-4,90.0,2018-04-23
17,1524610140000.0,1.0457E-4,1.0457E-4,1.0457E-4,1.0457E-4,12.0,2018-04-24
18,1524698880000.0,1.1329E-4,1.1329E-4,1.1329E-4,1.1329E-4,349.67437549,2018-04-25
19,1524786480000.0,1.079E-4,1.0787E-4,1.079E-4,1.0787E-4,10000.0,2018-04-26
20,1524871980000.0,1.1171E-4,1.1171E-4,1.1171E-4,1.1171E-4,901.25635063,2018-04-27
21,1524957420000.0,1.0639E-4,1.0639E-4,1.0639E-4,1.0639E-4,2925.086,2018-04-28
22,1525028640000.0,1.0700000000000001E-4,1.0700000000000001E-4,1.0700000000000001E-4,1.0700000000000001E-4,6.449E-5,2018-04-29
23,1525132080000.0,1.0913E-4,1.0914E-4,1.0914E-4,1.0913E-4,9208.82142202,2018-04-30
24,1525216680000.0,1.1008E-4,1.1008E-4,1.1008E-4,1.1008E-4,398.3402,2018-05-01
25,1525304400000.0,1.0856E-4,1.0855E-4,1.0856E-4,1.0855E-4,12943.11430041,2018-05-02
26,1525377360000.0,1.0335E-4,1.0335E-4,1.0335E-4,1.0335E-4,2998.7801056999997,2018-05-03
27,1525475880000.0,1.0255E-4,1.0255E-4,1.0255E-4,1.0255E-4,39.70816258,2018-05-04
28,1525558380000.0,1.025E-4,1.025E-4,1.025E-4,1.025E-4,200.0,2018-05-05
29,1525637580000.0,1.0448E-4,1.0448E-4,1.0448E-4,1.0448E-4,10.0,2018-05-06
30,1525732080000.0,1.0659999999999999E-4,1.0659999999999999E-4,1.0659999999999999E-4,1.0659999999999999E-4,10.774906199999998,2018-05-07
31,1525780980000.0,1.0967E-4,1.0967E-4,1.0967E-4,1.0967E-4,149.05758,2018-05-08
32,1525867260000.0,1.0759999999999999E-4,1.0758E-4,1.0759999999999999E-4,1.0758E-4,90.75,2018-05-09
