,time,open,close,high,low,volume,the_date
0,1509753480000.0,2.1565E-4,2.1565E-4,2.1565E-4,2.1565E-4,4900.0,2017-11-03
1,1509839880000.0,2.599E-4,2.599E-4,2.599E-4,2.599E-4,3094.27930558,2017-11-04
2,1509926340000.0,3.1929E-4,3.2579E-4,3.2579E-4,3.1929E-4,21666.270526599998,2017-11-05
3,1510012740000.0,2.437E-4,2.437E-4,2.437E-4,2.437E-4,395.01,2017-11-06
4,1510097640000.0,2.471E-4,2.471E-4,2.471E-4,2.471E-4,182.842,2017-11-07
5,1510185420000.0,2.5489E-4,2.5499999999999996E-4,2.5499999999999996E-4,2.5489E-4,36101.708,2017-11-08
6,1510271940000.0,2.7102E-4,2.7102E-4,2.7102E-4,2.7102E-4,159.99,2017-11-09
7,1510358100000.0,2.6539E-4,2.654E-4,2.654E-4,2.6539E-4,4308.0,2017-11-10
8,1510444200000.0,2.5023E-4,2.5023E-4,2.5023E-4,2.5023E-4,1800.8015,2017-11-11
9,1510529820000.0,2.3851E-4,2.3819999999999996E-4,2.3851E-4,2.3819999999999996E-4,42581.064031,2017-11-12
10,1510614900000.0,2.3891E-4,2.342E-4,2.3894E-4,2.342E-4,4823.1320047,2017-11-13
11,1510698060000.0,2.18E-4,2.18E-4,2.18E-4,2.18E-4,199.5,2017-11-14
12,1510787580000.0,2.1546E-4,2.1546E-4,2.1546E-4,2.1546E-4,500.0,2017-11-15
13,1510874760000.0,2.0899999999999998E-4,2.0899999999999998E-4,2.0899999999999998E-4,2.0899999999999998E-4,12.0,2017-11-16
14,1510962900000.0,2.1365E-4,2.1365E-4,2.1365E-4,2.1365E-4,10000.0,2017-11-17
15,1511049540000.0,2.1739E-4,2.1739E-4,2.1739E-4,2.1739E-4,205.0,2017-11-18
16,1511133960000.0,2.0454E-4,2.0454E-4,2.0454E-4,2.0454E-4,5000.0,2017-11-19
17,1511222340000.0,1.9996E-4,1.9996E-4,1.9996E-4,1.9996E-4,2003.26065213,2017-11-20
18,1511308140000.0,2.0219999999999998E-4,2.0219999999999998E-4,2.0219999999999998E-4,2.0219999999999998E-4,200.0,2017-11-21
19,1511394780000.0,1.9362E-4,1.9362E-4,1.9362E-4,1.9362E-4,420.0,2017-11-22
20,1511481360000.0,1.7585E-4,1.7585E-4,1.7585E-4,1.7585E-4,2114.5962,2017-11-23
21,1511567340000.0,1.54E-4,1.54E-4,1.54E-4,1.54E-4,1044.61,2017-11-24
22,1511654340000.0,1.9099999999999998E-4,1.8933E-4,1.9099999999999998E-4,1.8933E-4,700.0,2017-11-25
23,1511740260000.0,1.9969E-4,1.9969E-4,1.9969E-4,1.9969E-4,1893.8634,2017-11-26
24,1511827140000.0,2.0800000000000001E-4,2.1475E-4,2.1475E-4,2.0789E-4,101317.97276,2017-11-27
25,1511913480000.0,2.3099E-4,2.3090000000000003E-4,2.3099E-4,2.3090000000000003E-4,7385.67912208,2017-11-28
26,1511999940000.0,2.44E-4,2.44E-4,2.44E-4,2.44E-4,4298.877,2017-11-29
27,1512086280000.0,2.5387E-4,2.5387E-4,2.5387E-4,2.5387E-4,1000.0,2017-11-30
28,1512172740000.0,2.2610000000000002E-4,2.2610000000000002E-4,2.2610000000000002E-4,2.2610000000000002E-4,632.2698,2017-12-01
29,1512258120000.0,2.1878E-4,2.1636E-4,2.1878E-4,2.1636E-4,297.86540872,2017-12-02
30,1512345420000.0,2.2258E-4,2.2258E-4,2.2258E-4,2.2258E-4,316.0,2017-12-03
31,1512431940000.0,2.3040000000000002E-4,2.3015E-4,2.3040000000000002E-4,2.3015E-4,11000.0,2017-12-04
32,1512518040000.0,2.3267E-4,2.3267E-4,2.3267E-4,2.3267E-4,210.05155968,2017-12-05
33,1512604740000.0,4.2320000000000004E-4,4.2320000000000004E-4,4.2320000000000004E-4,4.2320000000000004E-4,1553.17344045,2017-12-06
