,time,open,close,high,low,volume,the_date
0,1531438860000.0,1.0E-6,1.0E-6,1.0E-6,1.0E-6,12758.47429335,2018-07-12
1,1531508640000.0,1.08E-6,1.08E-6,1.08E-6,1.08E-6,10397.02769461,2018-07-13
2,1531543260000.0,9.7E-7,9.7E-7,9.7E-7,9.7E-7,42097.50971481,2018-07-14
3,1531612800000.0, 9.795E-07, 9.795E-07, 9.795E-07, 9.795E-07, 3.016E+04,2018-07-15
4,1531762920000.0,1.0E-6,1.0E-6,1.0E-6,1.0E-6,4378.43681253,2018-07-16
5,1531862400000.0,9.7E-7,9.9E-7,9.9E-7,9.7E-7,13090.99237871,2018-07-17
6,1531909320000.0,1.0E-6,1.0E-6,1.0E-6,1.0E-6,3796.98493994,2018-07-18
7,1532032620000.0,1.37E-6,1.37E-6,1.37E-6,1.37E-6,2000.0,2018-07-19
8,1532044800000.0, 1.332E-06, 1.332E-06, 1.332E-06, 1.332E-06, 2.202E+03,2018-07-20
9,1532212140000.0,8.1E-7,8.1E-7,8.1E-7,8.1E-7,4977.6674,2018-07-21
10,1532259960000.0,8.1E-7,8.1E-7,8.1E-7,8.1E-7,2020.0,2018-07-22
11,1532362200000.0,5.4E-7,5.4E-7,5.4E-7,5.4E-7,2017.98,2018-07-23
12,1532464140000.0,6.5E-7,6.5E-7,6.5E-7,6.5E-7,13663.08605903,2018-07-24
13,1532476800000.0, 6.490E-07, 6.490E-07, 6.490E-07, 6.490E-07, 1.326E+04,2018-07-25
14,1532563200000.0, 6.418E-07, 6.418E-07, 6.418E-07, 6.418E-07, 1.053E+04,2018-07-26
15,1532706900000.0,6.3E-7,6.3E-7,6.3E-7,6.3E-7,5982.012,2018-07-27
16,1532736000000.0, 6.286E-07, 6.286E-07, 6.286E-07, 6.286E-07, 1.208E+04,2018-07-28
17,1532822400000.0, 6.245E-07, 6.245E-07, 6.245E-07, 6.245E-07, 3.018E+04,2018-07-29
18,1532918760000.0,6.2E-7,6.2E-7,6.2E-7,6.2E-7,50375.63089121,2018-07-30
19,1533067800000.0,1.22E-6,1.22E-6,1.22E-6,1.22E-6,11916.12,2018-07-31
20,1533081600000.0, 1.200E-06, 1.200E-06, 1.200E-06, 1.200E-06, 1.126E+04,2018-08-01
21,1533168000000.0, 1.076E-06, 1.076E-06, 1.076E-06, 1.076E-06, 7.179E+03,2018-08-02
22,1533263160000.0,9.4E-7,9.4E-7,9.4E-7,9.4E-7,2680.94680851,2018-08-03
23,1533373920000.0,5.0E-7,5.0E-7,5.0E-7,5.0E-7,10353.30905454,2018-08-04
24,1533504000000.0,6.5E-7,6.5E-7,6.5E-7,6.5E-7,6381.47488337,2018-08-05
25,1533597240000.0,5.9E-7,5.9E-7,5.9E-7,5.9E-7,2900.0,2018-08-06
26,1533672840000.0,5.5E-7,5.5E-7,5.5E-7,5.5E-7,17882.03636363,2018-08-07
27,1533755760000.0,4.4E-7,4.4E-7,4.4E-7,4.4E-7,3000.0,2018-08-08
28,1533855720000.0,4.7E-7,4.7E-7,4.7E-7,4.7E-7,30062.125590499996,2018-08-09
29,1533940800000.0,7.8E-7,7.8E-7,7.8E-7,7.8E-7,4626.11111111,2018-08-10
30,1534025400000.0,3.5E-7,3.5E-7,3.5E-7,3.5E-7,3924.072,2018-08-11
31,1534103220000.0,3.6E-7,3.6E-7,3.6E-7,3.6E-7,41392.16160721,2018-08-12
32,1534204140000.0,3.8E-7,3.8E-7,3.8E-7,3.8E-7,69280.0,2018-08-13
33,1534275540000.0,3.2E-7,3.2E-7,3.2E-7,3.2E-7,4120.875,2018-08-14
34,1534291200000.0, 3.167E-07, 3.167E-07, 3.167E-07, 3.167E-07, 4.122E+03,2018-08-15
35,1534416900000.0,2.9E-7,2.9E-7,2.9E-7,2.9E-7,4133.79310344,2018-08-16
36,1534547100000.0,4.4E-7,4.4E-7,4.4E-7,4.4E-7,3928.0,2018-08-17
37,1534597800000.0,3.5E-7,3.5E-7,3.5E-7,3.5E-7,78536.03,2018-08-18
38,1534699920000.0,3.6E-7,3.6E-7,3.6E-7,3.6E-7,52000.0,2018-08-19
39,1534762620000.0,3.4E-7,3.4E-7,3.4E-7,3.4E-7,5631.8007259999995,2018-08-20
40,1534843680000.0,3.5E-7,3.5E-7,3.5E-7,3.5E-7,9000.0,2018-08-21
41,1534980660000.0,3.7E-7,3.7E-7,3.7E-7,3.7E-7,17394.72117917,2018-08-22
42,1535046480000.0,3.4E-7,3.4E-7,3.4E-7,3.4E-7,4478.0,2018-08-23
43,1535114400000.0,3.4E-7,3.4E-7,3.4E-7,3.4E-7,195108.0,2018-08-24
44,1535234940000.0,3.0E-7,3.0E-7,3.0E-7,3.0E-7,24082.9007,2018-08-25
45,1535305020000.0,3.0E-7,3.0E-7,3.0E-7,3.0E-7,104505.0,2018-08-26
46,1535413380000.0,3.0E-7,2.9E-7,3.0E-7,2.9E-7,532911.7216104,2018-08-27
47,1535484960000.0,3.3E-7,3.3E-7,3.3E-7,3.3E-7,8000.0,2018-08-28
48,1535555400000.0,3.2E-7,3.2E-7,3.2E-7,3.2E-7,21815.05841566,2018-08-29
49,1535629560000.0,3.0E-7,3.0E-7,3.0E-7,3.0E-7,118566.22295521,2018-08-30
50,1535755980000.0,4.1E-7,4.1E-7,4.1E-7,4.1E-7,26480.06392276,2018-08-31
51,1535845080000.0,4.3E-7,4.3E-7,4.3E-7,4.3E-7,23160.0,2018-09-01
52,1535932740000.0,4.3E-7,4.3E-7,4.3E-7,4.3E-7,7984.45,2018-09-02
53,1536017520000.0,3.9E-7,3.9E-7,3.9E-7,3.9E-7,23486.26277759,2018-09-03
54,1536094980000.0,4.1E-7,4.1E-7,4.1E-7,4.1E-7,10000.0,2018-09-04
55,1536153780000.0,3.9E-7,3.9E-7,3.9E-7,3.9E-7,5000.0,2018-09-05
56,1536226560000.0,3.5E-7,3.5E-7,3.5E-7,3.5E-7,55829.6965247,2018-09-06
57,1536278400000.0, 3.402E-07, 3.402E-07, 3.402E-07, 3.402E-07, 5.137E+04,2018-09-07
58,1536364800000.0, 3.238E-07, 3.238E-07, 3.238E-07, 3.238E-07, 4.394E+04,2018-09-08
59,1536451200000.0, 3.074E-07, 3.074E-07, 3.074E-07, 3.074E-07, 3.651E+04,2018-09-09
60,1536537600000.0, 2.911E-07, 2.911E-07, 2.911E-07, 2.911E-07, 2.908E+04,2018-09-10
61,1536701460000.0,2.6E-7,2.6E-7,2.6E-7,2.6E-7,14985.0,2018-09-11
62,1536753360000.0,2.9E-7,2.9E-7,2.9E-7,2.9E-7,20947.72,2018-09-12
63,1536800820000.0,2.8E-7,2.8E-7,2.8E-7,2.8E-7,13986.0,2018-09-13
64,1536883200000.0, 3.278E-07, 3.278E-07, 3.278E-07, 3.278E-07, 1.422E+04,2018-09-14
65,1537024860000.0,4.1E-7,4.1E-7,4.1E-7,4.1E-7,14611.68493151,2018-09-15
66,1537123140000.0,3.0E-7,3.0E-7,3.0E-7,3.0E-7,18000.0,2018-09-16
67,1537211400000.0,3.1E-7,3.1E-7,3.1E-7,3.1E-7,27571.129,2018-09-17
68,1537302900000.0,3.0E-7,3.0E-7,3.0E-7,3.0E-7,17386.14744347,2018-09-18
69,1537315200000.0, 3.080E-07, 3.080E-07, 3.080E-07, 3.080E-07, 1.850E+04,2018-09-19
70,1537487400000.0,4.2E-7,4.2E-7,4.2E-7,4.2E-7,34103.60443484,2018-09-20
71,1537574220000.0,4.8E-7,4.8E-7,4.8E-7,4.8E-7,35898.987,2018-09-21
72,1537657260000.0,3.9E-7,3.9E-7,3.9E-7,3.9E-7,16973.57167404,2018-09-22
73,1537727040000.0,4.3E-7,4.3E-7,4.3E-7,4.3E-7,34445.05353887,2018-09-23
74,1537805280000.0,4.3E-7,4.3E-7,4.3E-7,4.3E-7,17141.52681437,2018-09-24
75,1537891260000.0,4.4E-7,4.3E-7,4.4E-7,4.3E-7,6784.915138959998,2018-09-25
76,1537985700000.0,4.1E-7,4.1E-7,4.1E-7,4.1E-7,15213.70738784,2018-09-26
77,1538083980000.0,4.0E-7,4.0E-7,4.0E-7,4.0E-7,10015.0,2018-09-27
78,1538137680000.0,4.0E-7,4.0E-7,4.0E-7,4.0E-7,43474.0504,2018-09-28
79,1538265480000.0,4.1E-7,4.1E-7,4.1E-7,4.1E-7,43340.46854143,2018-09-29
80,1538338140000.0,4.6E-7,4.6E-7,4.6E-7,4.6E-7,5187.0,2018-09-30
81,1538438100000.0,7.1E-7,7.1E-7,7.1E-7,7.1E-7,30152.38595337,2018-10-01
82,1538520960000.0,5.3E-7,5.3E-7,5.3E-7,5.3E-7,93902.83609578,2018-10-02
83,1538602800000.0,5.5E-7,5.5E-7,5.5E-7,5.5E-7,13063.99774645,2018-10-03
84,1538691540000.0,5.6E-7,5.6E-7,5.6E-7,5.6E-7,33377.85587199,2018-10-04
85,1538759160000.0,5.3E-7,5.3E-7,5.3E-7,5.3E-7,36391.169,2018-10-05
86,1538869560000.0,5.4E-7,5.4E-7,5.5E-7,5.4E-7,79263.93830678001,2018-10-06
87,1538923500000.0,5.2E-7,5.2E-7,5.2E-7,5.2E-7,19146.80137189,2018-10-07
88,1539019740000.0,5.2E-7,5.2E-7,5.2E-7,5.2E-7,13608.48449215,2018-10-08
89,1539124020000.0,5.4E-7,5.4E-7,5.4E-7,5.4E-7,26763.19474921,2018-10-09
90,1539214800000.0,5.3E-7,5.3E-7,5.3E-7,5.3E-7,9460.8336,2018-10-10
91,1539293220000.0,4.7E-7,4.7E-7,4.7E-7,4.7E-7,8617.61543086,2018-10-11
92,1539373260000.0,3.4E-7,3.4E-7,3.4E-7,3.4E-7,42883.17626385,2018-10-12
93,1539429060000.0,4.8E-7,4.8E-7,4.8E-7,4.8E-7,18576.1807,2018-10-13
94,1539475200000.0, 4.794E-07, 4.794E-07, 4.794E-07, 4.794E-07, 1.784E+04,2018-10-14
95,1539561600000.0, 4.783E-07, 4.783E-07, 4.783E-07, 4.783E-07, 1.645E+04,2018-10-15
96,1539648000000.0, 4.773E-07, 4.773E-07, 4.773E-07, 4.773E-07, 1.506E+04,2018-10-16
97,1539734400000.0, 4.762E-07, 4.762E-07, 4.762E-07, 4.762E-07, 1.367E+04,2018-10-17
98,1539820800000.0, 4.751E-07, 4.751E-07, 4.751E-07, 4.751E-07, 1.228E+04,2018-10-18
99,1539907200000.0, 4.740E-07, 4.740E-07, 4.740E-07, 4.740E-07, 1.090E+04,2018-10-19
100,1539993600000.0, 4.730E-07, 4.730E-07, 4.730E-07, 4.730E-07, 9.508E+03,2018-10-20
101,1540080000000.0, 4.719E-07, 4.719E-07, 4.719E-07, 4.719E-07, 8.120E+03,2018-10-21
102,1540230360000.0,4.7E-7,4.7E-7,4.7E-7,4.7E-7,5704.6,2018-10-22
103,1540252800000.0, 5.118E-07, 5.118E-07, 5.118E-07, 5.118E-07, 5.629E+03,2018-10-23
104,1540380780000.0,7.5E-7,7.5E-7,7.5E-7,7.5E-7,5200.0,2018-10-24
105,1540425600000.0, 7.425E-07, 7.425E-07, 7.425E-07, 7.425E-07, 2.590E+04,2018-10-25
106,1540512000000.0, 7.280E-07, 7.280E-07, 7.280E-07, 7.280E-07, 6.580E+04,2018-10-26
107,1540678860000.0,7.0E-7,7.0E-7,7.0E-7,7.0E-7,142857.14,2018-10-27
108,1540722240000.0,3.6E-7,3.6E-7,3.6E-7,3.6E-7,142571.42572,2018-10-28
109,1540771200000.0, 3.772E-07, 3.772E-07, 3.772E-07, 3.772E-07, 1.088E+05,2018-10-29
110,1540892700000.0,4.2E-7,4.2E-7,4.2E-7,4.2E-7,25049.8,2018-10-30
111,1540992600000.0,4.2E-7,4.2E-7,4.2E-7,4.2E-7,7992.0,2018-10-31
112,1541030400000.0, 4.200E-07, 4.200E-07, 4.200E-07, 4.200E-07, 8.149E+03,2018-11-01
113,1541116800000.0, 4.200E-07, 4.200E-07, 4.200E-07, 4.200E-07, 8.508E+03,2018-11-02
114,1541203200000.0, 4.200E-07, 4.200E-07, 4.200E-07, 4.200E-07, 8.868E+03,2018-11-03
115,1541358660000.0,4.2E-7,4.2E-7,4.2E-7,4.2E-7,9514.2856905,2018-11-04
116,1541376000000.0, 4.188E-07, 4.188E-07, 4.188E-07, 4.188E-07, 9.438E+03,2018-11-05
117,1541462400000.0, 4.128E-07, 4.128E-07, 4.128E-07, 4.128E-07, 9.060E+03,2018-11-06
118,1541548800000.0, 4.067E-07, 4.067E-07, 4.067E-07, 4.067E-07, 8.681E+03,2018-11-07
119,1541635200000.0, 4.007E-07, 4.007E-07, 4.007E-07, 4.007E-07, 8.302E+03,2018-11-08
120,1541721600000.0, 3.947E-07, 3.947E-07, 3.947E-07, 3.947E-07, 7.923E+03,2018-11-09
121,1541808000000.0, 3.887E-07, 3.887E-07, 3.887E-07, 3.887E-07, 7.544E+03,2018-11-10
122,1541932200000.0,3.8E-7,3.8E-7,3.8E-7,3.8E-7,7000.0,2018-11-11
123,1542017580000.0,3.0E-7,3.0E-7,3.0E-7,3.0E-7,26289.473211,2018-11-12
124,1542128100000.0,3.8E-7,3.8E-7,3.8E-7,3.8E-7,72000.0,2018-11-13
125,1542214260000.0,3.1E-7,3.1E-7,3.1E-7,3.1E-7,16986.0,2018-11-14
126,1542240000000.0, 3.038E-07, 3.038E-07, 3.038E-07, 3.038E-07, 1.662E+04,2018-11-15
127,1542326400000.0, 2.828E-07, 2.828E-07, 2.828E-07, 2.828E-07, 1.540E+04,2018-11-16
128,1542412800000.0, 2.618E-07, 2.618E-07, 2.618E-07, 2.618E-07, 1.418E+04,2018-11-17
129,1542499200000.0, 2.409E-07, 2.409E-07, 2.409E-07, 2.409E-07, 1.296E+04,2018-11-18
130,1542585600000.0, 2.199E-07, 2.199E-07, 2.199E-07, 2.199E-07, 1.174E+04,2018-11-19
131,1542708840000.0,1.9E-7,1.9E-7,1.9E-7,1.9E-7,10000.0,2018-11-20
132,1542758400000.0, 1.925E-07, 1.925E-07, 1.925E-07, 1.925E-07, 1.569E+04,2018-11-21
133,1542844800000.0, 1.970E-07, 1.970E-07, 1.970E-07, 1.970E-07, 2.562E+04,2018-11-22
134,1542931200000.0, 2.014E-07, 2.014E-07, 2.014E-07, 2.014E-07, 3.555E+04,2018-11-23
135,1543017600000.0, 2.058E-07, 2.058E-07, 2.058E-07, 2.058E-07, 4.547E+04,2018-11-24
136,1543104000000.0, 2.102E-07, 2.102E-07, 2.102E-07, 2.102E-07, 5.540E+04,2018-11-25
137,1543190400000.0, 2.146E-07, 2.146E-07, 2.146E-07, 2.146E-07, 6.533E+04,2018-11-26
138,1543276800000.0, 2.191E-07, 2.191E-07, 2.191E-07, 2.191E-07, 7.525E+04,2018-11-27
139,1543363200000.0, 2.235E-07, 2.235E-07, 2.235E-07, 2.235E-07, 8.518E+04,2018-11-28
140,1543490460000.0,2.3E-7,2.3E-7,2.3E-7,2.3E-7,99800.0,2018-11-29
141,1543536000000.0, 2.498E-07, 2.498E-07, 2.498E-07, 2.498E-07, 8.895E+04,2018-11-30
142,1543622400000.0, 2.873E-07, 2.873E-07, 2.873E-07, 2.873E-07, 6.836E+04,2018-12-01
143,1543766940000.0,3.5E-7,3.5E-7,3.5E-7,3.5E-7,33922.39120072,2018-12-02
144,1543861620000.0,2.4E-7,2.4E-7,2.4E-7,2.4E-7,19860.0,2018-12-03
145,1543881600000.0, 2.416E-07, 2.416E-07, 2.416E-07, 2.416E-07, 1.960E+04,2018-12-04
146,1543968000000.0, 2.485E-07, 2.485E-07, 2.485E-07, 2.485E-07, 1.849E+04,2018-12-05
147,1544054400000.0, 2.553E-07, 2.553E-07, 2.553E-07, 2.553E-07, 1.738E+04,2018-12-06
148,1544140800000.0, 2.622E-07, 2.622E-07, 2.622E-07, 2.622E-07, 1.626E+04,2018-12-07
149,1544238960000.0,2.7E-7,2.7E-7,2.7E-7,2.7E-7,15000.0,2018-12-08
150,1544313600000.0, 2.957E-07, 2.957E-07, 2.957E-07, 2.957E-07, 1.389E+04,2018-12-09
151,1544400000000.0, 3.254E-07, 3.254E-07, 3.254E-07, 3.254E-07, 1.260E+04,2018-12-10
152,1544500800000.0,3.6E-7,3.6E-7,3.6E-7,3.6E-7,11098.0,2018-12-11
153,1544572800000.0, 3.469E-07, 3.469E-07, 3.469E-07, 3.469E-07, 1.340E+04,2018-12-12
154,1544659200000.0, 3.312E-07, 3.312E-07, 3.312E-07, 3.312E-07, 1.617E+04,2018-12-13
155,1544745600000.0, 3.155E-07, 3.155E-07, 3.155E-07, 3.155E-07, 1.893E+04,2018-12-14
156,1544832000000.0, 2.998E-07, 2.998E-07, 2.998E-07, 2.998E-07, 2.169E+04,2018-12-15
157,1544918400000.0, 2.841E-07, 2.841E-07, 2.841E-07, 2.841E-07, 2.446E+04,2018-12-16
158,1545004800000.0, 2.683E-07, 2.683E-07, 2.683E-07, 2.683E-07, 2.722E+04,2018-12-17
159,1545160680000.0,2.4E-7,2.4E-7,2.4E-7,2.4E-7,32207.20720721,2018-12-18
160,1545177600000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 3.272E+04,2018-12-19
161,1545264000000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 3.535E+04,2018-12-20
162,1545350400000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 3.799E+04,2018-12-21
163,1545436800000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 4.062E+04,2018-12-22
164,1545523200000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 4.325E+04,2018-12-23
165,1545609600000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 4.588E+04,2018-12-24
166,1545696000000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 4.852E+04,2018-12-25
167,1545782400000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 5.115E+04,2018-12-26
168,1545868800000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 5.378E+04,2018-12-27
169,1545955200000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 5.641E+04,2018-12-28
170,1546041600000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 5.904E+04,2018-12-29
171,1546128000000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 6.168E+04,2018-12-30
172,1546214400000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 6.431E+04,2018-12-31
173,1546300800000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 6.694E+04,2019-01-01
174,1546387200000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 6.957E+04,2019-01-02
175,1546473600000.0, 2.400E-07, 2.400E-07, 2.400E-07, 2.400E-07, 7.220E+04,2019-01-03
