,time,open,close,high,low,volume,the_date
0,1498953540000,1.135,1.135,1.135,1.135,159.07312821,2017-07-01
1,1499039820000,2.9969,2.9103,2.998,2.9103,723.11299879,2017-07-02
2,1499126340000,4.0169999999999995,4.0169999999999995,4.035,4.0169999999999995,1127.96255118,2017-07-03
3,1499212740000,3.1841,3.12,3.1841,3.12,5682.70945669,2017-07-04
4,1499299140000,2.8322,2.8322,2.8322,2.8322,41.73500213,2017-07-05
5,1499385540000,3.2499,3.2499,3.2499,3.2499,1.05806925,2017-07-06
6,1499471940000,2.6594,2.6598,2.6598,2.6594,60.04277473000001,2017-07-07
7,1499558340000,2.4,2.3957,2.47,2.3956,7106.497270420001,2017-07-08
8,1499644740000,2.2061,2.2061,2.2061,2.2061,596.0,2017-07-09
9,1499731140000,1.6247,1.6016,1.64,1.5704,26434.92559558,2017-07-10
10,1499817540000,1.5075,1.5,1.5075,1.5,2223.989,2017-07-11
11,1499903940000,1.9836,1.985,1.985,1.9836,707.93226996,2017-07-12
12,1499990340000,1.6441,1.6442,1.6442,1.6441,500.0,2017-07-13
13,1500076740000,1.5162,1.5189,1.5234,1.5161,1000.0,2017-07-14
14,1500163080000,1.2938,1.3,1.3,1.2938,927.30240468,2017-07-15
15,1500249540000,1.232,1.244,1.244,1.232,78.72419653,2017-07-16
16,1500335940000,1.5599,1.5551,1.5789,1.5551,4347.44538668,2017-07-17
17,1500422340000,1.6351,1.653,1.653,1.635,88.60372,2017-07-18
18,1500508740000,1.4851,1.4936,1.4936,1.4851,71.0,2017-07-19
19,1500595140000,1.7165,1.7164,1.7165,1.7164,343.916645,2017-07-20
20,1500681480000,1.7987,1.7988,1.7988,1.7987,521.860188,2017-07-21
21,1500767880000,2.0338,2.0302,2.0340000000000003,2.0302,1959.965129,2017-07-22
22,1500854340000,1.9293,1.9294,1.9295,1.9212,135.21,2017-07-23
23,1500940740000,1.8789,1.8789,1.8789,1.8789,16.0,2017-07-24
24,1501027140000,1.6712,1.6511,1.6712,1.6511,547.97909937,2017-07-25
25,1501113540000,1.6945,1.6951,1.6989,1.6945,7.23532923,2017-07-26
26,1501199940000,1.9156,1.9156,1.9156,1.9156,19.43776503,2017-07-27
27,1501286340000,1.8112,1.8107,1.8112,1.8107,387.554803,2017-07-28
28,1501372740000,1.8498,1.8336,1.8498,1.8329,74.93654407,2017-07-29
29,1501459080000,1.7792,1.7751,1.7792,1.7751,44.0,2017-07-30
30,1501545540000,1.7013,1.7013,1.7013,1.7013,1.0,2017-07-31
