,time,open,close,high,low,volume,the_date
0,1536710400000.0,1.08E-6,1.0E-6,1.08E-6,1.0E-6,69759.06295901,2018-09-12
1,1536796800000.0, 1.060E-06, 1.000E-06, 1.060E-06, 1.000E-06, 5.315E+04,2018-09-13
2,1536883200000.0, 1.040E-06, 1.000E-06, 1.040E-06, 1.000E-06, 3.654E+04,2018-09-14
3,1536969600000.0, 1.020E-06, 1.000E-06, 1.020E-06, 1.000E-06, 1.994E+04,2018-09-15
4,1537056000000.0,1.0E-6,1.0E-6,1.0E-6,1.0E-6,3330.0,2018-09-16
5,1537142400000.0, 1.255E-06, 1.280E-06, 1.280E-06, 1.255E-06, 2.665E+04,2018-09-17
6,1537228800000.0,1.51E-6,1.56E-6,1.56E-6,1.51E-6,49968.68605671001,2018-09-18
7,1537315200000.0, 1.437E-06, 1.470E-06, 1.470E-06, 1.437E-06, 3.387E+04,2018-09-19
8,1537401600000.0, 1.363E-06, 1.380E-06, 1.380E-06, 1.363E-06, 1.777E+04,2018-09-20
9,1537488000000.0,1.29E-6,1.29E-6,1.29E-6,1.29E-6,1666.0,2018-09-21
10,1537574400000.0,1.27E-6,1.27E-6,1.27E-6,1.27E-6,3000.0,2018-09-22
11,1537660800000.0, 9.550E-07, 1.130E-06, 1.130E-06, 9.550E-07, 1.699E+04,2018-09-23
12,1537747200000.0,6.4E-7,9.9E-7,9.9E-7,6.4E-7,30974.52977097,2018-09-24
13,1537833600000.0, 7.133E-07, 9.467E-07, 9.467E-07, 7.133E-07, 2.693E+04,2018-09-25
14,1537920000000.0, 7.867E-07, 9.033E-07, 9.033E-07, 7.867E-07, 2.288E+04,2018-09-26
15,1538006400000.0,8.6E-7,8.6E-7,8.6E-7,8.6E-7,18827.20975703,2018-09-27
16,1538092800000.0, 9.100E-07, 9.100E-07, 9.100E-07, 9.100E-07, 1.056E+04,2018-09-28
17,1538179200000.0,9.6E-7,9.6E-7,9.6E-7,9.6E-7,2298.85386819,2018-09-29
18,1538265600000.0, 9.083E-07, 9.083E-07, 9.083E-07, 9.083E-07, 2.298E+03,2018-09-30
19,1538352000000.0, 8.567E-07, 8.567E-07, 8.567E-07, 8.567E-07, 2.297E+03,2018-10-01
20,1538438400000.0, 8.050E-07, 8.050E-07, 8.050E-07, 8.050E-07, 2.297E+03,2018-10-02
21,1538524800000.0, 7.533E-07, 7.533E-07, 7.533E-07, 7.533E-07, 2.296E+03,2018-10-03
22,1538611200000.0, 7.017E-07, 7.017E-07, 7.017E-07, 7.017E-07, 2.295E+03,2018-10-04
23,1538697600000.0,6.5E-7,6.5E-7,6.5E-7,6.5E-7,2294.25616045,2018-10-05
24,1538784000000.0,1.4E-6,1.35E-6,1.4E-6,7.0E-7,11564.0,2018-10-06
25,1538870400000.0, 1.345E-06, 1.345E-06, 1.370E-06, 9.950E-07, 4.312E+04,2018-10-07
26,1538956800000.0,1.29E-6,1.34E-6,1.34E-6,1.29E-6,74666.667,2018-10-08
27,1539043200000.0, 9.700E-07, 9.950E-07, 1.195E-06, 9.700E-07, 1.464E+05,2018-10-09
28,1539129600000.0,6.5E-7,6.5E-7,1.05E-6,6.5E-7,218060.18330487,2018-10-10
29,1539216000000.0,5.2E-7,5.2E-7,5.2E-7,5.2E-7,7692.3076923,2018-10-11
