,time,open,close,high,low,volume,the_date
0,1469575500000.0,2.5,2.5,2.5,2.5,0.01,2016-07-26
1,1469663700000.0,1.601,1.6011,1.6019999999999999,1.601,145.0,2016-07-27
2,1469750340000.0,1.7275,1.7275,1.7275,1.7275,28.518967,2016-07-28
3,1469836740000.0,1.6395,1.643,1.643,1.6375,1213.51147493,2016-07-29
4,1469923080000.0,1.5789,1.5794,1.5794,1.5789,928.5158,2016-07-30
5,1470009420000.0,1.7878,1.7979,1.7979,1.787,352.2104641200001,2016-07-31
6,1470095940000.0,2.3507,2.4109,2.425,2.3364,3504.45086157,2016-08-01
7,1470160860000.0,2.8333,2.8481,2.8481,2.812,544.9919708,2016-08-02
8,1470182400000.0, 2.798E+00, 2.812E+00, 2.812E+00, 2.777E+00, 5.287E+02,2016-08-03
9,1470268800000.0, 2.654E+00, 2.667E+00, 2.667E+00, 2.636E+00, 4.632E+02,2016-08-04
10,1470355200000.0, 2.511E+00, 2.521E+00, 2.521E+00, 2.495E+00, 3.977E+02,2016-08-05
11,1470441600000.0, 2.367E+00, 2.376E+00, 2.376E+00, 2.354E+00, 3.322E+02,2016-08-06
12,1470528000000.0, 2.224E+00, 2.231E+00, 2.231E+00, 2.213E+00, 2.667E+02,2016-08-07
13,1470614400000.0, 2.080E+00, 2.086E+00, 2.086E+00, 2.073E+00, 2.013E+02,2016-08-08
14,1470700800000.0, 1.937E+00, 1.940E+00, 1.940E+00, 1.932E+00, 1.358E+02,2016-08-09
15,1470873540000.0,1.65,1.65,1.65,1.65,4.87531393,2016-08-10
16,1470959640000.0,1.848,1.848,1.848,1.848,691.8927108099998,2016-08-11
17,1471046160000.0,1.84,1.84,1.84,1.84,531.2901291999999,2016-08-12
18,1471132260000.0,1.8628,1.8751,1.8751,1.8628,5.08,2016-08-13
19,1471219140000.0,1.9241,1.9241,1.9241,1.9241,553.12398678,2016-08-14
20,1471305480000.0,1.8530000000000002,1.8530000000000002,1.8530000000000002,1.8530000000000002,6.67009514,2016-08-15
21,1471391040000.0,1.8501,1.8501,1.8501,1.8501,2.477248,2016-08-16
22,1471477680000.0,1.7426,1.7426,1.7462,1.7425,106.635479,2016-08-17
23,1471564740000.0,1.68,1.68,1.68,1.68,18.13950056,2016-08-18
24,1471650840000.0,1.7754,1.7754,1.7754,1.7754,10.067,2016-08-19
25,1471735980000.0,1.75,1.75,1.75,1.75,2.91778587,2016-08-20
26,1471823580000.0,1.7132,1.7131,1.7132,1.7131,300.0,2016-08-21
27,1471909020000.0,1.6602,1.6602,1.6602,1.6602,39.316113,2016-08-22
28,1471996680000.0,1.61,1.61,1.61,1.61,100.0,2016-08-23
29,1472083140000.0,1.4413,1.4413,1.4413,1.4413,569.117,2016-08-24
30,1472169060000.0,1.3728,1.3728,1.3728,1.3728,45.34614743,2016-08-25
31,1472255940000.0,1.4331,1.4331,1.4331,1.4331,2.0,2016-08-26
32,1472342160000.0,1.3495,1.3495,1.3495,1.3495,28.212940000000003,2016-08-27
33,1472428680000.0,1.304,1.3130000000000002,1.3148,1.3039,5573.98015237,2016-08-28
34,1472513400000.0,1.2636,1.2636,1.2636,1.2636,18.0,2016-08-29
35,1472598660000.0,1.2495,1.2495,1.2495,1.2495,0.556,2016-08-30
36,1472687640000.0,1.1802,1.1802,1.1802,1.1802,231.10965474,2016-08-31
37,1472774220000.0,1.4511,1.44,1.4511,1.44,4848.454415,2016-09-01
38,1472859960000.0,1.4021,1.4021,1.4021,1.4021,0.1,2016-09-02
39,1472947140000.0,1.3656,1.3656,1.3656,1.3656,66.3465,2016-09-03
40,1473033540000.0,1.4768,1.4776,1.4776,1.472,548.8412,2016-09-04
41,1473119820000.0,1.464,1.464,1.464,1.464,3.075355,2016-09-05
42,1473205980000.0,1.4711,1.4729,1.4729,1.4711,23.23528,2016-09-06
43,1473291600000.0,1.4876,1.4876,1.4876,1.4876,15.22241399,2016-09-07
44,1473379140000.0,1.4480000000000002,1.4480000000000002,1.4480000000000002,1.4480000000000002,44.646986,2016-09-08
45,1473465300000.0,1.4011,1.4011,1.4011,1.4011,73.0,2016-09-09
46,1473551880000.0,1.425,1.425,1.425,1.425,500.1,2016-09-10
47,1473637380000.0,1.3438,1.3438,1.3438,1.3438,0.1,2016-09-11
48,1473724680000.0,1.3301,1.3301,1.3301,1.3301,1094.9877609999999,2016-09-12
49,1473808620000.0,1.2951,1.2951,1.2951,1.2951,0.1,2016-09-13
50,1473897180000.0,1.2951,1.2951,1.2951,1.2951,5.186991,2016-09-14
51,1473983340000.0,1.2865,1.2865,1.2865,1.2865,32.060779,2016-09-15
52,1474070340000.0,1.3251,1.3251,1.3251,1.3251,6.353741,2016-09-16
53,1474156320000.0,1.3264,1.3264,1.3264,1.3264,749.028,2016-09-17
54,1474243140000.0,1.3372,1.3304,1.3399,1.3299,5000.000000000001,2016-09-18
55,1474329420000.0,1.28,1.28,1.28,1.28,800.2302229999998,2016-09-19
56,1474415940000.0,1.2445,1.24,1.2445,1.24,824.59466454,2016-09-20
57,1474500900000.0,1.2257,1.2257,1.2257,1.2257,284.144714,2016-09-21
58,1474587480000.0,1.2569,1.2569,1.2569,1.2569,0.146,2016-09-22
59,1474675140000.0,1.2379,1.2379,1.2379,1.2379,4.855076,2016-09-23
60,1474761300000.0,1.25,1.25,1.25,1.25,3.0,2016-09-24
61,1474847220000.0,1.21,1.21,1.21,1.21,17.561576000000002,2016-09-25
62,1474933500000.0,1.2022,1.2022,1.2022,1.2022,20.0,2016-09-26
63,1475020380000.0,1.2,1.2,1.2,1.2,100.0,2016-09-27
64,1475100180000.0,1.2398,1.2398,1.2398,1.2398,1.0,2016-09-28
65,1475193300000.0,1.27,1.27,1.27,1.27,2000.0,2016-09-29
66,1475277180000.0,1.2648,1.2648,1.2648,1.2648,2.1021021,2016-09-30
67,1475360280000.0,1.1840000000000002,1.1794,1.185,1.1794,1379.21041283,2016-10-01
68,1475452380000.0,1.1901,1.19,1.1901,1.19,1.5750920000000002,2016-10-02
69,1475539140000.0,1.1973,1.2,1.2,1.1963,410.30075,2016-10-03
70,1475624820000.0,1.1631,1.1638,1.1638,1.1631,1311.841958,2016-10-04
71,1475711940000.0,1.1881,1.1881,1.1881,1.1881,10.39321,2016-10-05
72,1475793780000.0,1.1758,1.1758,1.1758,1.1758,319.79557,2016-10-06
73,1475881920000.0,1.1687,1.1687,1.1687,1.1687,100.5,2016-10-07
74,1475970540000.0,1.1840000000000002,1.1840000000000002,1.1840000000000002,1.1840000000000002,11.0,2016-10-08
75,1476050400000.0,1.1733,1.1733,1.1733,1.1733,0.10608779,2016-10-09
76,1476138900000.0,1.1588,1.1557,1.1588,1.1553,6.5,2016-10-10
77,1476230040000.0,1.1,1.1,1.1,1.1,1861.68,2016-10-11
78,1476316560000.0,1.0326,1.0326,1.0326,1.0326,0.1,2016-10-12
79,1476403020000.0,1.013,1.013,1.013,1.013,1.005056,2016-10-13
80,1476487500000.0,0.9920899999999999,0.99,0.9920899999999999,0.99,40.666287,2016-10-14
81,1476575820000.0,0.9942,0.9942,0.9942,0.9942,1.684982,2016-10-15
82,1476662340000.0,1.2153,1.2148,1.2153,1.2148,355.6051,2016-10-16
83,1476748320000.0,1.0771,1.0771,1.0771,1.0771,1.491463,2016-10-17
84,1476834720000.0,1.0582,1.0582,1.0582,1.0582,1.0152379999999999,2016-10-18
85,1476919320000.0,1.0514,1.0514,1.0514,1.0514,10.546028999999999,2016-10-19
86,1477007040000.0,1.0438,1.0438,1.0438,1.0438,29.971490000000003,2016-10-20
87,1477093980000.0,1.0337,1.0337,1.0337,1.0337,1.9322,2016-10-21
88,1477178640000.0,1.0544,1.0543,1.0544,1.0543,542.2420000000002,2016-10-22
89,1477266420000.0,1.0481,1.0481,1.0481,1.0481,2.00013,2016-10-23
90,1477352220000.0,1.0329,1.0329,1.0329,1.0329,10.0,2016-10-24
91,1477438560000.0,1.0204,1.0204,1.0204,1.0204,13.5877,2016-10-25
92,1477525140000.0,1.036,1.036,1.036,1.036,58.53472888,2016-10-26
93,1477612140000.0,0.9973,0.9973,0.9973,0.9973,108.609,2016-10-27
94,1477699080000.0,0.95001,0.95001,0.95001,0.95001,1.011367,2016-10-28
95,1477785360000.0,0.8901,0.8901,0.8901,0.8901,982.97,2016-10-29
96,1477871640000.0,0.9291799999999999,0.9292,0.9292,0.9291799999999999,1263.610005,2016-10-30
97,1477958160000.0,0.9008,0.9008,0.9008,0.9008,12.0,2016-10-31
98,1478044320000.0,0.8879799999999999,0.8879799999999999,0.8879799999999999,0.8879799999999999,86.77565,2016-11-01
99,1478131140000.0,0.8963,0.8963,0.8963,0.8963,42.14889302,2016-11-02
100,1478215860000.0,0.89559,0.89559,0.89559,0.89559,0.1,2016-11-03
101,1478303520000.0,0.9826299999999999,0.9826299999999999,0.9826299999999999,0.9826299999999999,409.11672000000004,2016-11-04
102,1478389740000.0,1.0401,1.0391,1.0401,1.0391,991.17266927,2016-11-05
103,1478476620000.0,0.9903,0.9858,0.9903,0.9858,365.69367821,2016-11-06
104,1478562660000.0,0.9301,0.9301,0.9301,0.9301,9.072467,2016-11-07
105,1478649120000.0,0.9504,0.9504,0.9504,0.9504,23.0,2016-11-08
106,1478735400000.0,0.9153,0.9153,0.9153,0.9153,2.74678355,2016-11-09
107,1478822280000.0,0.92,0.9189200000000001,0.92,0.9189200000000001,3037.80949365,2016-11-10
108,1478908740000.0,0.91671,0.91671,0.91671,0.91671,13.573387,2016-11-11
109,1478995140000.0,0.9111,0.9111,0.9111,0.9111,4.98023313,2016-11-12
110,1479081420000.0,0.9043,0.9043,0.9043,0.9043,0.1,2016-11-13
111,1479167820000.0,0.8982899999999999,0.8982899999999999,0.8982899999999999,0.8982899999999999,2.81214711,2016-11-14
112,1479254160000.0,0.9256,0.92648,0.92648,0.9256,72.86735999999998,2016-11-15
113,1479340680000.0,0.9091899999999999,0.9091899999999999,0.9091899999999999,0.9091899999999999,1010.906509,2016-11-16
114,1479423240000.0,0.8901,0.8901,0.8901,0.8901,7.069112,2016-11-17
115,1479511740000.0,0.875,0.875,0.875,0.875,757.7920320000001,2016-11-18
116,1479596520000.0,0.8627,0.8627,0.8627,0.8627,1732.86,2016-11-19
117,1479686340000.0,0.8608,0.8608,0.8608,0.8608,400.0,2016-11-20
118,1479772020000.0,0.8495,0.8496,0.8496,0.8495,133.39475797999998,2016-11-21
119,1479858600000.0,0.8340000000000001,0.8340000000000001,0.8340000000000001,0.8340000000000001,0.46335893,2016-11-22
120,1479945180000.0,0.8122,0.8122,0.8122,0.8122,4.013128,2016-11-23
121,1480031160000.0,0.77,0.7642,0.77,0.7642,347.3,2016-11-24
122,1480117560000.0,0.845,0.845,0.845,0.845,110.0,2016-11-25
123,1480201860000.0,0.7823,0.7823,0.7823,0.7823,0.1197,2016-11-26
124,1480290840000.0,0.77248,0.77248,0.77248,0.77248,71.56924599999999,2016-11-27
125,1480373280000.0,0.7556,0.7556,0.7556,0.7556,131.37733500000002,2016-11-28
126,1480463280000.0,0.7423,0.7459,0.7459,0.7423,3344.1260039999997,2016-11-29
127,1480549380000.0,0.7425,0.7425,0.7425,0.7425,11.466718,2016-11-30
128,1480634940000.0,0.76485,0.76485,0.76485,0.76485,196.9595,2016-12-01
129,1480723140000.0,0.79987,0.79987,0.79987,0.79987,5.0,2016-12-02
130,1480809240000.0,0.7686,0.7686,0.7686,0.7686,1.9609,2016-12-03
131,1480895400000.0,0.7675,0.7675,0.7675,0.7675,0.33799999999999997,2016-12-04
132,1480982220000.0,0.83001,0.83001,0.83001,0.83001,35.23,2016-12-05
133,1481068560000.0,0.78,0.78,0.78,0.78,451.4671,2016-12-06
134,1481155020000.0,0.825,0.825,0.825,0.825,170.434526,2016-12-07
135,1481239260000.0,0.81791,0.81791,0.81791,0.81791,3.5163029999999997,2016-12-08
136,1481327880000.0,0.81,0.80989,0.81,0.80989,0.5,2016-12-09
137,1481414220000.0,0.86098,0.86098,0.86098,0.86098,341.4963,2016-12-10
138,1481500740000.0,0.92668,0.92668,0.92668,0.92668,11.298014,2016-12-11
139,1481586600000.0,0.9061100000000001,0.9061,0.9061100000000001,0.9061,424.10402400000004,2016-12-12
140,1481673180000.0,0.98569,0.98569,0.98569,0.98569,153.91518864999995,2016-12-13
141,1481759760000.0,0.9899899999999999,0.9899899999999999,0.9899899999999999,0.9899899999999999,1.299827,2016-12-14
142,1481845920000.0,1.0827,1.0827,1.0827,1.0827,15.1377,2016-12-15
143,1481932560000.0,1.0719,1.0719,1.0719,1.0719,17.830792000000006,2016-12-16
144,1482018660000.0,1.0082,1.0098,1.0099,1.0082,441.65,2016-12-17
145,1482097200000.0,1.0463,1.045,1.0463,1.045,217.0,2016-12-18
146,1482191880000.0,1.1894,1.1936,1.1936,1.1894,235.37299,2016-12-19
147,1482278340000.0,1.1318,1.1318,1.1318,1.1306,31.152,2016-12-20
148,1482364320000.0,1.1299,1.1299,1.1299,1.1299,343.0359,2016-12-21
149,1482451020000.0,1.0938,1.0938,1.0938,1.0938,29.91,2016-12-22
150,1482537180000.0,1.0446,1.0419,1.0446,1.0419,10.314060000000001,2016-12-23
151,1482623760000.0,1.11,1.11,1.11,1.11,300.0,2016-12-24
152,1482708600000.0,1.0693,1.0693,1.0693,1.0693,150.0,2016-12-25
153,1482795840000.0,1.0375,1.0375,1.0375,1.0375,291.3827,2016-12-26
154,1482879960000.0,1.048,1.048,1.048,1.048,2.99390783,2016-12-27
155,1482967560000.0,1.1221,1.1221,1.1221,1.1221,70.75702836,2016-12-28
156,1483055880000.0,1.4201,1.4202,1.4202,1.4201,1569.4433,2016-12-29
157,1483142280000.0,1.5436,1.5436,1.5436,1.5436,8.716533,2016-12-30
158,1483228020000.0,1.41,1.41,1.41,1.41,1.0,2016-12-31
159,1483315020000.0,1.3965,1.3978,1.3978,1.3965,489.91772404,2017-01-01
160,1483401480000.0,1.4316,1.4316,1.4316,1.4316,2.84485095,2017-01-02
161,1483487700000.0,1.4768,1.4768,1.4768,1.4768,200.0,2017-01-03
162,1483574220000.0,1.72,1.72,1.72,1.72,20.0,2017-01-04
163,1483660140000.0,1.5859999999999999,1.5859999999999999,1.5859999999999999,1.5859999999999999,12.7895364,2017-01-05
164,1483746900000.0,1.4777,1.4777,1.4777,1.4777,22.0,2017-01-06
165,1483833240000.0,1.433,1.433,1.433,1.433,680.0,2017-01-07
166,1483919880000.0,1.4592,1.4601,1.4601,1.4574,63.35,2017-01-08
167,1484005920000.0,1.4076,1.4081,1.4081,1.4075,716.60603346,2017-01-09
168,1484088540000.0,1.4373,1.4389,1.4389,1.4373,70.0,2017-01-10
169,1484178420000.0,1.1851,1.185,1.203,1.185,130.49517455,2017-01-11
170,1484265120000.0,1.2202,1.2105,1.2204,1.2105,78.04853370000002,2017-01-12
171,1484349960000.0,1.21,1.21,1.21,1.21,1.0494649999999999,2017-01-13
172,1484436480000.0,1.1978,1.1978,1.1978,1.1978,1.0,2017-01-14
173,1484524200000.0,1.1896,1.1896,1.1896,1.1896,18.0,2017-01-15
174,1484608080000.0,1.1825,1.1825,1.1825,1.1825,1.72823348,2017-01-16
175,1484697540000.0,1.2064,1.2064,1.2064,1.2064,0.14,2017-01-17
176,1484783520000.0,1.2061,1.2061,1.2061,1.2061,5.04818257,2017-01-18
177,1484867400000.0,1.173,1.173,1.173,1.173,7.768847999999999,2017-01-19
178,1484956680000.0,1.345,1.345,1.345,1.345,21.1396,2017-01-20
179,1485042840000.0,1.42,1.4169999999999998,1.42,1.4169999999999998,205.55073,2017-01-21
180,1485129480000.0,1.38,1.38,1.38,1.38,735.17867801,2017-01-22
181,1485215700000.0,1.4,1.4,1.4,1.4,486.96117699999996,2017-01-23
182,1485302160000.0,1.351,1.351,1.3513,1.351,1256.018576,2017-01-24
183,1485386100000.0,1.2798,1.2798,1.2798,1.2798,1.0,2017-01-25
184,1485474900000.0,1.3269,1.3269,1.3269,1.3269,0.59055,2017-01-26
185,1485561120000.0,1.278,1.278,1.278,1.278,391.485818,2017-01-27
186,1485647400000.0,1.3026,1.3026,1.3026,1.3026,28.205944,2017-01-28
187,1485731940000.0,1.2904,1.2904,1.2904,1.2904,25.0,2017-01-29
188,1485820560000.0,1.34,1.34,1.34,1.34,20.0,2017-01-30
189,1485905100000.0,1.3543,1.3543,1.3543,1.3543,1.35,2017-01-31
190,1485993300000.0,1.3451,1.3451,1.3451,1.3451,875.0,2017-02-01
191,1486079880000.0,1.3596,1.3596,1.3596,1.3596,0.17,2017-02-02
192,1486166340000.0,1.3453,1.345,1.3453,1.345,306.6675,2017-02-03
193,1486252740000.0,1.3729,1.3726,1.3729,1.3726,29.08248,2017-02-04
194,1486338960000.0,1.3633,1.3633,1.3633,1.3633,140.84699566999996,2017-02-05
195,1486422840000.0,1.4501,1.4501,1.4501,1.4501,0.1,2017-02-06
196,1486511220000.0,1.46,1.46,1.46,1.46,23.822020000000002,2017-02-07
197,1486597200000.0,1.4321,1.4321,1.4321,1.4321,11.87735586,2017-02-08
198,1486684740000.0,1.2528,1.2528,1.2528,1.2528,0.5781,2017-02-09
199,1486770660000.0,1.2597,1.2597,1.2597,1.2597,260.039585,2017-02-10
200,1486857540000.0,1.2292,1.2279,1.2292,1.2279,72.6637,2017-02-11
201,1486943880000.0,1.2168,1.2168,1.2168,1.2168,49.95,2017-02-12
202,1487027340000.0,1.192,1.192,1.192,1.192,1.0,2017-02-13
203,1487116740000.0,1.2491,1.2493,1.2493,1.2491,617.88,2017-02-14
204,1487203140000.0,1.265,1.265,1.265,1.265,38.102,2017-02-15
205,1487288880000.0,1.235,1.235,1.235,1.235,2527.4741440000007,2017-02-16
206,1487370600000.0,1.2374,1.2352,1.2374,1.2352,98.548697,2017-02-17
207,1487461560000.0,1.222,1.222,1.222,1.222,24.767908,2017-02-18
208,1487543760000.0,1.2245,1.2245,1.2245,1.2245,818.48,2017-02-19
209,1487635080000.0,1.23,1.23,1.23,1.23,195.8432,2017-02-20
210,1487720760000.0,1.2570000000000001,1.2525,1.2570000000000001,1.2525,26.66500675,2017-02-21
211,1487806440000.0,1.227,1.227,1.227,1.227,5.0,2017-02-22
212,1487894340000.0,1.2359,1.2379,1.2379,1.2359,1305.375,2017-02-23
213,1487980680000.0,1.2125,1.2125,1.2125,1.2125,2.0288720000000002,2017-02-24
214,1488064200000.0,1.2109999999999999,1.2109999999999999,1.2109999999999999,1.2109999999999999,0.7181291999999999,2017-02-25
215,1488152820000.0,1.2505,1.2505,1.2505,1.2505,0.9596,2017-02-26
216,1488239880000.0,1.235,1.235,1.235,1.235,168.6223,2017-02-27
217,1488324780000.0,1.2311,1.2311,1.2311,1.2311,269.93676,2017-02-28
218,1488412680000.0,1.403,1.403,1.403,1.403,214.655923,2017-03-01
219,1488498960000.0,1.3607,1.3607,1.3607,1.3607,29.998526000000002,2017-03-02
220,1488585480000.0,1.44,1.44,1.44,1.44,528.944215,2017-03-03
221,1488671760000.0,1.4289,1.4292,1.4292,1.4276,934.27,2017-03-04
222,1488757560000.0,1.3939,1.3939,1.3939,1.3939,265.507627,2017-03-05
223,1488844740000.0,1.4269,1.4274,1.4318,1.4269,939.877476,2017-03-06
224,1488931080000.0,1.37,1.37,1.37,1.37,1038.364677,2017-03-07
225,1489017420000.0,1.2823,1.2801,1.2823,1.2801,250.0,2017-03-08
226,1489103940000.0,1.3205,1.3205,1.3205,1.3205,10.260472,2017-03-09
227,1489189980000.0,1.2955,1.291,1.2955,1.291,82.32729499999998,2017-03-10
228,1489276680000.0,1.3727,1.3727,1.3727,1.3727,248.99988599999998,2017-03-11
229,1489362000000.0,1.4202,1.4202,1.4202,1.4202,1.0,2017-03-12
230,1489449480000.0,1.6418,1.6474,1.6474,1.6418,209.506226,2017-03-13
231,1489535940000.0,1.6499,1.6499,1.6499,1.6499,1163.46868764,2017-03-14
232,1489622340000.0,1.798,1.798,1.798,1.798,11.1,2017-03-15
233,1489708500000.0,2.0822,2.0803,2.0822,2.0803,418.82910899999996,2017-03-16
234,1489795080000.0,1.8135,1.8111,1.8135,1.8111,548.6249642500002,2017-03-17
235,1489881540000.0,1.6783,1.6783,1.6783,1.6783,138.6683,2017-03-18
236,1489967940000.0,1.8671,1.8671,1.8671,1.8671,1.0,2017-03-19
237,1490054280000.0,1.9115,1.9111,1.9115,1.9101,294.8372,2017-03-20
238,1490140740000.0,2.3647,2.3647,2.3647,2.3639,4399.796759000001,2017-03-21
239,1490226840000.0,2.3245,2.3369999999999997,2.3369999999999997,2.3243,1532.693532,2017-03-22
240,1490313540000.0,2.2689,2.2689,2.2689,2.2689,76.95224,2017-03-23
241,1490399880000.0,2.4181,2.4299,2.4299,2.4181,2385.80186689,2017-03-24
242,1490486340000.0,2.2574,2.2574,2.2574,2.2574,53.004217000000004,2017-03-25
243,1490572740000.0,2.3185,2.3187,2.3187,2.3185,31.23054661,2017-03-26
244,1490659140000.0,2.1072,2.1072,2.1072,2.1072,0.1,2017-03-27
245,1490745480000.0,2.253,2.253,2.253,2.253,0.1,2017-03-28
246,1490831880000.0,2.314,2.314,2.314,2.314,100.0,2017-03-29
247,1490918340000.0,2.8414,2.82,2.855,2.82,4902.02893465,2017-03-30
248,1491004740000.0,2.8271,2.8126,2.8271,2.8126,319.05725209,2017-03-31
249,1491090480000.0,2.742,2.742,2.742,2.742,2000.0,2017-04-01
250,1491177540000.0,2.6355,2.6355,2.6355,2.6355,240.0939,2017-04-02
251,1491263940000.0,2.582,2.582,2.582,2.582,49.1269,2017-04-03
252,1491350340000.0,2.6732,2.6732,2.6732,2.6732,3.8364580000000004,2017-04-04
253,1491436740000.0,2.7688,2.7672,2.7688,2.7672,503.61889627,2017-04-05
254,1491523140000.0,2.6885,2.6889999999999996,2.6889999999999996,2.6885,5.01366049,2017-04-06
255,1491609540000.0,2.7315,2.7399,2.7406,2.7315,512.1938263899998,2017-04-07
256,1491695460000.0,2.7342,2.7342,2.7342,2.7342,1.0,2017-04-08
257,1491782160000.0,2.67,2.67,2.67,2.67,96.54146999999999,2017-04-09
258,1491868740000.0,2.6456,2.6456,2.6456,2.6456,1.0,2017-04-10
259,1491955080000.0,2.575,2.575,2.575,2.575,203.34235251,2017-04-11
260,1492041240000.0,2.656,2.656,2.656,2.656,71.91490083,2017-04-12
261,1492127880000.0,2.6555,2.6584,2.6587,2.6553,5.353201289999999,2017-04-13
262,1492213560000.0,2.6969,2.6969,2.6969,2.6969,100.0,2017-04-14
263,1492300140000.0,2.717,2.717,2.717,2.717,0.70250117,2017-04-15
264,1492386720000.0,2.6689,2.6694,2.6694,2.6687,7.94982351,2017-04-16
265,1492472760000.0,2.6725,2.6954,2.6954,2.6725,163.44229675,2017-04-17
266,1492559940000.0,2.9874,2.9866,2.9876,2.9866,7.884708,2017-04-18
267,1492646340000.0,3.2204,3.2203,3.2204,3.2201,296.52,2017-04-19
268,1492732680000.0,3.4136,3.4136,3.4136,3.4123,386.30744195,2017-04-20
269,1492819140000.0,3.335,3.335,3.335,3.335,7.485,2017-04-21
270,1492905540000.0,3.4499,3.4499,3.4499,3.4499,1322.44398388,2017-04-22
271,1492991940000.0,3.82,3.82,3.82,3.82,9200.0,2017-04-23
272,1493078280000.0,4.2974,4.279,4.3,4.279,2500.0,2017-04-24
273,1493164680000.0,4.2333,4.2442,4.245,4.2330000000000005,2757.8480867900007,2017-04-25
274,1493251080000.0,4.998,4.9932,4.9981,4.962,3750.0,2017-04-26
275,1493337540000.0,5.3851,5.3851,5.3851,5.3851,1.44024031,2017-04-27
276,1493423820000.0,5.2159,5.2159,5.2159,5.2159,20.0,2017-04-28
277,1493510340000.0,5.8686,5.8688,5.8699,5.8684,87.123637,2017-04-29
278,1493596740000.0,6.8042,6.77,6.8087,6.7,14200.743768259998,2017-04-30
279,1493683140000.0,7.27,7.2743,7.2745,7.2212,468.73239293000006,2017-05-01
280,1493769540000.0,6.9592,6.9592,6.9592,6.9592,3.3,2017-05-02
281,1493855940000.0,7.1791,7.1799,7.1799,7.1785,114.25454501,2017-05-03
282,1493942340000.0,7.6829,7.682,7.683,7.6789,384.7150419999997,2017-05-04
283,1494028740000.0,7.1706,7.1706,7.1706,7.1706,0.12,2017-05-05
284,1494115140000.0,7.1226,7.1381,7.1381,7.1223,300.0,2017-05-06
285,1494201540000.0,7.1124,7.1124,7.1124,7.1124,0.31542032,2017-05-07
286,1494287940000.0,6.42,6.42,6.42,6.42,10.10151696,2017-05-08
287,1494374340000.0,6.1601,6.1627,6.1627,6.16,2121.056,2017-05-09
288,1494460680000.0,6.4499,6.4597,6.4597,6.4499,849.9844303000001,2017-05-10
289,1494547080000.0,6.3094,6.3087,6.3095,6.3087,45.27,2017-05-11
290,1494633480000.0,6.1125,6.1184,6.1332,6.1125,100.0,2017-05-12
291,1494719940000.0,6.0855,6.0855,6.0855,6.0855,4.0,2017-05-13
292,1494806340000.0,6.7434,6.7487,6.7487,6.742000000000001,66.55855120999999,2017-05-14
293,1494892680000.0,6.32,6.32,6.32,6.32,196.541623,2017-05-15
294,1494979080000.0,6.1205,6.1205,6.1205,6.1205,92.0,2017-05-16
295,1495065180000.0,5.9034,5.917999999999999,5.917999999999999,5.9034,349.85568207,2017-05-17
296,1495151940000.0,6.6851,6.6851,6.6851,6.6851,3.54289999,2017-05-18
297,1495238340000.0,7.4463,7.4449,7.4463,7.4449,30.0,2017-05-19
298,1495324680000.0,7.01,7.01,7.01,7.01,114.0,2017-05-20
299,1495411140000.0,8.0495,8.0674,8.0699,8.02,4475.095944420002,2017-05-21
300,1495497420000.0,8.3749,8.3975,8.3975,8.3749,200.00000000000003,2017-05-22
301,1495583940000.0,10.659,10.804,10.807,10.659,38274.27872379001,2017-05-23
302,1495670340000.0,18.477,18.348,18.49,18.33,753.1024185,2017-05-24
303,1495756740000.0,15.429,15.501,15.697000000000001,15.421,2492.97130284,2017-05-25
304,1495843140000.0,13.91,13.902000000000001,13.91,13.9,354.79145719,2017-05-26
305,1495929540000.0,14.777999999999999,14.792,14.821,14.752,402.43715840000016,2017-05-27
306,1496015940000.0,15.140999999999998,15.08,15.140999999999998,15.08,30.95483237,2017-05-28
307,1496102220000.0,15.79,15.845,15.845,15.780999999999999,40.0,2017-05-29
308,1496188740000.0,17.35,17.393,17.398,17.145,1412.91635551,2017-05-30
309,1496275140000.0,16.064,16.02,16.064,16.02,131.415478,2017-05-31
310,1496361540000.0,15.540999999999999,15.540999999999999,15.540999999999999,15.540999999999999,0.5,2017-06-01
311,1496447940000.0,16.115,16.18,16.202,16.092,5027.85438696,2017-06-02
312,1496534340000.0,15.397,15.425999999999998,15.425999999999998,15.380999999999998,383.79053343000015,2017-06-03
313,1496620740000.0,17.044,17.061,17.063,17.002,185.529301,2017-06-04
314,1496707140000.0,16.709,16.722,16.722,16.709,4.0805238400000015,2017-06-05
315,1496793480000.0,17.086,17.086,17.086,17.086,8.000081,2017-06-06
316,1496879940000.0,16.782,16.773,16.783,16.758,12.754,2017-06-07
317,1496966220000.0,17.125,17.121,17.127,17.116,1.17594742,2017-06-08
318,1497052560000.0,17.206,17.204,17.206,17.203,10.49775428,2017-06-09
319,1497139140000.0,18.99,19.055999999999997,19.055999999999997,18.855999999999998,5943.25826912,2017-06-10
320,1497225540000.0,21.6,21.51,21.6,21.51,115.7,2017-06-11
321,1497311940000.0,18.988,18.986,18.988,18.986,136.479309,2017-06-12
