,time,open,close,high,low,volume,the_date
0,1552345560000,133.07,133.07,133.07,133.07,0.001,2019-03-11
1,1552413900000,133.06,133.06,133.06,133.06,3.75033612,2019-03-12
2,1552519620000,131.76,131.76,131.76,131.76,0.00101,2019-03-13
3,1552574280000,131.38,131.38,131.38,131.38,5.0,2019-03-14
4,1552690200000,135.83,135.83,135.83,135.83,1.10537952,2019-03-15
5,1552780740000,140.8,140.8,140.8,140.8,1.38195984,2019-03-16
6,1552857960000,139.4,139.4,139.4,139.4,185.87658366,2019-03-17
7,1552949460000,137.83,137.83,137.83,137.83,22.94746969,2019-03-18
8,1553034240000,137.83,137.83,137.83,137.83,0.7682,2019-03-19
9,1553121300000,138.89,139.43,139.43,138.89,55.04005504,2019-03-20
10,1553210400000,134.87,134.87,134.87,134.87,1.08620591,2019-03-21
11,1553289900000,136.35,136.35,136.35,136.35,0.56213565,2019-03-22
12,1553369220000,136.77,136.77,136.77,136.77,1.11833862,2019-03-23
13,1553466360000,136.03,136.03,136.03,136.03,0.2128,2019-03-24
14,1553552760000,133.51,133.51,133.51,133.51,1.99348,2019-03-25
15,1553637060000,133.25,133.25,133.25,133.25,0.19150503,2019-03-26
16,1553728500000,139.12,139.12,139.12,139.12,3.58,2019-03-27
17,1553796120000,137.99,138.15,138.15,137.99,100.0,2019-03-28
18,1553903400000,143.23,143.23,143.23,143.23,2.842,2019-03-29
19,1553987940000,142.35,142.36,142.36,142.35,6.03872303,2019-03-30
20,1554073020000,141.36,141.36,141.36,141.36,0.23442622,2019-03-31
21,1554163140000,141.55,141.55,141.55,141.55,0.12,2019-04-01
22,1554249540000,163.21,163.3,163.3,163.21,0.17600000000000002,2019-04-02
23,1554335880000,159.98,160.08,160.31,159.98,48.21832622,2019-04-03
24,1554419580000,157.4,157.4,157.4,157.4,2.63868655,2019-04-04
25,1554507180000,164.55,164.55,164.55,164.55,0.88602,2019-04-05
26,1554594540000,165.57,165.57,165.57,165.57,1.49942241,2019-04-06
27,1554681420000,174.31,174.31,174.31,174.31,7.97081792,2019-04-07
28,1554765960000,178.65,178.65,178.65,178.65,5.0,2019-04-08
29,1554852900000,174.61,173.93,174.61,173.93,25.0,2019-04-09
30,1554940620000,176.91,176.91,176.91,176.91,8.28093071,2019-04-10
31,1555026300000,165.05,165.05,165.05,165.05,0.1391,2019-04-11
32,1555113480000,163.6,163.6,163.6,163.6,0.2,2019-04-12
33,1555199280000,163.34,163.34,163.34,163.34,0.2663,2019-04-13
34,1555285980000,166.95,166.95,166.95,166.95,14.39869802,2019-04-14
35,1555369860000,160.9,160.9,160.9,160.9,110.20381777,2019-04-15
36,1555455720000,165.1,166.09,166.09,165.1,80.61002500000002,2019-04-16
37,1555544400000,165.79,165.79,165.79,165.79,0.65346599,2019-04-17
