,time,open,close,high,low,volume,the_date
0,1555542540000.0,20.0,20.0,20.0,20.0,7.11255208,2019-04-17
1,1555614180000.0,17.358,17.358,17.358,17.358,1.0,2019-04-18
2,1555690980000.0,15.082,15.082,15.082,15.082,0.61327035,2019-04-19
3,1555726500000.0,15.002,15.002,15.002,15.002,1.049374,2019-04-20
4,1555853400000.0,15.0,15.0,15.0,15.0,3.83183748,2019-04-21
5,1555937520000.0,16.518,16.518,16.518,16.518,2.63571699,2019-04-22
6,1555977600000.0, 1.651E+01, 1.651E+01, 1.651E+01, 1.651E+01, 2.612E+00,2019-04-23
7,1556064000000.0, 1.649E+01, 1.649E+01, 1.649E+01, 1.649E+01, 2.561E+00,2019-04-24
8,1556150400000.0, 1.646E+01, 1.646E+01, 1.646E+01, 1.646E+01, 2.510E+00,2019-04-25
9,1556236800000.0, 1.644E+01, 1.644E+01, 1.644E+01, 1.644E+01, 2.459E+00,2019-04-26
10,1556323200000.0, 1.642E+01, 1.642E+01, 1.642E+01, 1.642E+01, 2.408E+00,2019-04-27
11,1556409600000.0, 1.640E+01, 1.640E+01, 1.640E+01, 1.640E+01, 2.357E+00,2019-04-28
12,1556496000000.0, 1.637E+01, 1.637E+01, 1.637E+01, 1.637E+01, 2.306E+00,2019-04-29
13,1556582400000.0, 1.635E+01, 1.635E+01, 1.635E+01, 1.635E+01, 2.255E+00,2019-04-30
14,1556668800000.0, 1.633E+01, 1.633E+01, 1.633E+01, 1.633E+01, 2.204E+00,2019-05-01
15,1556755200000.0, 1.631E+01, 1.631E+01, 1.631E+01, 1.631E+01, 2.153E+00,2019-05-02
16,1556841600000.0, 1.629E+01, 1.629E+01, 1.629E+01, 1.629E+01, 2.102E+00,2019-05-03
17,1557013800000.0,16.242,16.242,16.242,16.242,2.0,2019-05-04
18,1557014400000.0, 1.624E+01, 1.624E+01, 1.624E+01, 1.624E+01, 2.003E+00,2019-05-05
19,1557105420000.0,16.5,16.5,16.5,16.5,2.47071146,2019-05-06
20,1557226980000.0,22.5,22.5,22.5,22.5,0.4,2019-05-07
21,1557273600000.0, 2.082E+01, 2.082E+01, 2.082E+01, 2.082E+01, 6.016E-01,2019-05-08
22,1557407520000.0,16.0,16.0,16.0,16.0,1.1808731000000001,2019-05-09
23,1557446400000.0, 1.742E+01, 1.760E+01, 1.760E+01, 1.742E+01, 2.040E+00,2019-05-10
24,1557572640000.0,22.026,22.8,22.8,22.026,4.8297254999999994,2019-05-11
25,1557662400000.0,26.984,26.984,26.984,26.984,0.95457778,2019-05-12
