,time,open,close,high,low,volume,the_date
0,1543952520000.0,1.04,1.04,1.04,1.04,2.1,2018-12-04
1,1544013420000.0,1.011,1.011,1.011,1.011,99.8,2018-12-05
2,1544110980000.0,1.0449,1.045,1.045,1.0449,100.0,2018-12-06
3,1544221320000.0,1.013,1.013,1.013,1.013,5206.443099,2018-12-07
4,1544283120000.0,1.0077,1.0017,1.0077,1.0017,36990.75,2018-12-08
5,1544364540000.0,1.0449,1.0449,1.0449,1.0449,46.19558522,2018-12-09
6,1544421120000.0,1.0333,1.0333,1.0333,1.0333,10.0,2018-12-10
7,1544487840000.0,1.0299,1.0299,1.0299,1.0299,10.0,2018-12-11
8,1544657820000.0,1.02,1.0244,1.0244,1.02,291.45999999,2018-12-12
9,1544721240000.0,1.0188,1.0188,1.0188,1.0188,609.4596,2018-12-13
10,1544825220000.0,1.02,1.02,1.02,1.02,109.91100481,2018-12-14
11,1544908560000.0,1.0311,1.0311,1.0311,1.0311,1763.6257036200002,2018-12-15
12,1544981400000.0,1.0271,1.0271,1.0271,1.0271,1694.93812234,2018-12-16
13,1545079380000.0,1.0375,1.0375,1.0375,1.0375,121.86735408,2018-12-17
14,1545127440000.0,1.0143,1.0143,1.0143,1.0143,47.9,2018-12-18
15,1545251580000.0,1.0229,1.0229,1.0229,1.0229,32.3407978,2018-12-19
16,1545347220000.0,1.0211,1.0211,1.0211,1.0211,49.9,2018-12-20
17,1545429900000.0,1.03,1.03,1.0301,1.03,10792.59824686,2018-12-21
18,1545436800000.0, 1.030E+00, 1.030E+00, 1.030E+00, 1.030E+00, 1.025E+04,2018-12-22
19,1545565860000.0,1.0354,1.0354,1.0354,1.0354,110.25642331,2018-12-23
20,1545682920000.0,1.016,1.016,1.016,1.016,58.38839863,2018-12-24
21,1545773700000.0,1.03,1.03,1.03,1.03,144.4424149,2018-12-25
22,1545785520000.0,1.03,1.03,1.03,1.03,143.96859182,2018-12-26
23,1545946080000.0,1.0308,1.0308,1.0308,1.0308,143.29488181,2018-12-27
24,1546040580000.0,1.034,1.034,1.034,1.034,36.74363112,2018-12-28
25,1546125960000.0,1.038,1.038,1.038,1.038,499.5,2018-12-29
26,1546173840000.0,1.0332,1.0332,1.0332,1.0332,24.199012680000006,2018-12-30
27,1546285500000.0,1.0331,1.0331,1.0331,1.0331,23.47404686,2018-12-31
28,1546300800000.0, 1.033E+00, 1.032E+00, 1.033E+00, 1.032E+00, 3.209E+02,2019-01-01
29,1546469100000.0,1.0293,1.0252,1.0293,1.0252,3592.45,2019-01-02
30,1546531320000.0,1.0273,1.0257,1.0273,1.0257,568.7787107300002,2019-01-03
31,1546618980000.0,1.0319,1.0319,1.0319,1.0319,15.9474,2019-01-04
32,1546717140000.0,1.032,1.032,1.032,1.032,12.0,2019-01-05
33,1546802280000.0,1.0288,1.0317,1.0317,1.0288,250.0,2019-01-06
34,1546840380000.0,1.032,1.032,1.032,1.032,154.21169678,2019-01-07
35,1546979940000.0,1.0122,1.0032,1.0122,1.0032,1076.88628393,2019-01-08
36,1547064780000.0,1.0103,1.0102,1.0103,1.0102,1874.08,2019-01-09
