,time,open,close,high,low,volume,the_date
0,1560470400000.0,0.7,0.69091,0.71,0.6909,16094.0206846,2019-06-14
1,1560556800000.0,0.705,0.71,0.71,0.705,7010.0,2019-06-15
2,1560643200000.0,0.715,0.721,0.721,0.715,1000.0,2019-06-16
3,1560729600000.0, 7.162E-01, 7.232E-01, 7.232E-01, 7.162E-01, 1.170E+03,2019-06-17
4,1560816000000.0, 7.175E-01, 7.255E-01, 7.255E-01, 7.175E-01, 1.340E+03,2019-06-18
5,1560902400000.0, 7.188E-01, 7.278E-01, 7.278E-01, 7.188E-01, 1.509E+03,2019-06-19
6,1560988800000.0,0.72,0.73,0.73,0.72,1679.19982536,2019-06-20
7,1561075200000.0, 7.132E-01, 7.208E-01, 7.208E-01, 7.132E-01, 1.264E+03,2019-06-21
8,1561161600000.0, 7.065E-01, 7.115E-01, 7.115E-01, 7.065E-01, 8.493E+02,2019-06-22
9,1561248000000.0, 6.997E-01, 7.022E-01, 7.022E-01, 6.997E-01, 4.343E+02,2019-06-23
10,1561334400000.0,0.693,0.693,0.693,0.693,19.36713,2019-06-24
11,1561420800000.0, 7.115E-01, 7.115E-01, 7.115E-01, 7.115E-01, 5.347E+02,2019-06-25
12,1561507200000.0,0.73,0.73,0.73,0.73,1050.0,2019-06-26
13,1561593600000.0,0.69091,0.688,0.69091,0.688,16356.0,2019-06-27
14,1561680000000.0,0.68801,0.688,0.68801,0.688,4.57230177,2019-06-28
15,1561766400000.0, 6.950E-01, 7.083E-01, 7.083E-01, 6.950E-01, 1.878E+03,2019-06-29
16,1561852800000.0, 7.020E-01, 7.287E-01, 7.287E-01, 7.020E-01, 3.751E+03,2019-06-30
17,1561939200000.0, 7.090E-01, 7.490E-01, 7.490E-01, 7.090E-01, 5.625E+03,2019-07-01
18,1562025600000.0, 7.160E-01, 7.693E-01, 7.693E-01, 7.160E-01, 7.498E+03,2019-07-02
19,1562112000000.0, 7.230E-01, 7.897E-01, 7.897E-01, 7.230E-01, 9.372E+03,2019-07-03
20,1562198400000.0,0.73,0.81,0.81,0.73,11245.29336603,2019-07-04
21,1562284800000.0,0.81,0.81,0.81,0.81,2708.10363682,2019-07-05
22,1562371200000.0, 8.260E-01, 8.260E-01, 8.260E-01, 8.260E-01, 2.762E+03,2019-07-06
23,1562457600000.0, 8.420E-01, 8.420E-01, 8.420E-01, 8.420E-01, 2.815E+03,2019-07-07
24,1562544000000.0, 8.580E-01, 8.580E-01, 8.580E-01, 8.579E-01, 2.869E+03,2019-07-08
25,1562630400000.0, 8.740E-01, 8.740E-01, 8.740E-01, 8.739E-01, 2.923E+03,2019-07-09
26,1562716800000.0,0.89,0.89,0.89,0.88991,2976.22725155,2019-07-10
