,time,open,close,high,low,volume,the_date
0,1531429140000.0,5.7000000000000005E-6,5.7000000000000005E-6,5.7000000000000005E-6,5.7000000000000005E-6,233.0,2018-07-12
1,1531512120000.0,4.92E-6,4.92E-6,4.92E-6,4.92E-6,2846.40207408,2018-07-13
2,1531610280000.0,4.55E-6,4.55E-6,4.55E-6,4.55E-6,4000.0,2018-07-14
3,1531689180000.0,4.6E-6,4.62E-6,4.62E-6,4.56E-6,8560.77444845,2018-07-15
4,1531785060000.0,4.76E-6,4.76E-6,4.76E-6,4.76E-6,2717.93243079,2018-07-16
5,1531871280000.0,4.51E-6,4.51E-6,4.51E-6,4.51E-6,1451.53829379,2018-07-17
6,1531953780000.0,4.2999999999999995E-6,4.2999999999999995E-6,4.2999999999999995E-6,4.2999999999999995E-6,1884.9,2018-07-18
7,1532039880000.0,4.08E-6,4.08E-6,4.08E-6,4.08E-6,2981.75095,2018-07-19
8,1532126340000.0,4.12E-6,4.1E-6,4.12E-6,4.1E-6,4000.0,2018-07-20
9,1532215980000.0,3.86E-6,3.86E-6,3.86E-6,3.86E-6,996.08580008,2018-07-21
10,1532302740000.0,4.05E-6,4.05E-6,4.05E-6,4.05E-6,4000.0,2018-07-22
11,1532389980000.0,4.1E-6,4.08E-6,4.1E-6,4.08E-6,8000.0,2018-07-23
12,1532467320000.0,3.59E-6,3.59E-6,3.59E-6,3.59E-6,1671.74137928,2018-07-24
13,1532532720000.0,3.62E-6,3.62E-6,3.62E-6,3.62E-6,5.0E-6,2018-07-25
14,1532648640000.0,3.65E-6,3.65E-6,3.65E-6,3.65E-6,4000.0,2018-07-26
15,1532735760000.0,3.59E-6,3.59E-6,3.59E-6,3.59E-6,8000.0,2018-07-27
16,1532819160000.0,3.52E-6,3.52E-6,3.52E-6,3.52E-6,11500.0,2018-07-28
17,1532899320000.0,3.55E-6,3.55E-6,3.55E-6,3.55E-6,4000.0,2018-07-29
18,1532993760000.0,3.44E-6,3.44E-6,3.44E-6,3.44E-6,2659.6,2018-07-30
19,1533073380000.0,3.31E-6,3.31E-6,3.31E-6,3.31E-6,4000.0,2018-07-31
20,1533167880000.0,2.76E-6,2.72E-6,2.76E-6,2.72E-6,5365.04613522,2018-08-01
21,1533251160000.0,2.5E-6,2.5E-6,2.5E-6,2.5E-6,1000.0,2018-08-02
22,1533339540000.0,2.36E-6,2.35E-6,2.36E-6,2.35E-6,5549.445,2018-08-03
23,1533396540000.0,2.58E-6,2.58E-6,2.58E-6,2.58E-6,8000.0,2018-08-04
24,1533504300000.0,2.58E-6,2.58E-6,2.58E-6,2.58E-6,3100.7752,2018-08-05
25,1533579780000.0,3.83E-6,3.83E-6,3.83E-6,3.83E-6,5882.30287206,2018-08-06
26,1533638700000.0,1.01E-6,1.01E-6,1.01E-6,1.01E-6,9550.971582200002,2018-08-07
27,1533737580000.0,3.39E-6,3.39E-6,3.39E-6,3.39E-6,1000.0,2018-08-08
28,1533835740000.0,2.82E-6,2.8E-6,2.82E-6,2.8E-6,8430.0,2018-08-09
29,1533943560000.0,2.75E-6,2.75E-6,2.75E-6,2.75E-6,570.0,2018-08-10
30,1534031820000.0,2.38E-6,2.38E-6,2.38E-6,2.38E-6,570.0,2018-08-11
31,1534095780000.0,2.4E-6,2.4E-6,2.4E-6,2.4E-6,701.40280561,2018-08-12
32,1534203300000.0,2.11E-6,2.11E-6,2.11E-6,2.11E-6,570.0,2018-08-13
33,1534289700000.0,1.91E-6,1.91E-6,1.91E-6,1.91E-6,570.0,2018-08-14
34,1534376640000.0,2.03E-6,2.03E-6,2.03E-6,2.03E-6,570.0,2018-08-15
35,1534461600000.0,1.92E-6,1.92E-6,1.92E-6,1.92E-6,700.0,2018-08-16
36,1534537920000.0,1.94E-6,1.94E-6,1.94E-6,1.94E-6,3003.00300301,2018-08-17
37,1534568760000.0,1.61E-6,1.61E-6,1.61E-6,1.61E-6,4169.28361,2018-08-18
38,1534636800000.0, 1.687E-06, 1.687E-06, 1.687E-06, 1.687E-06, 3.348E+03,2018-08-19
39,1534797360000.0,1.87E-6,1.87E-6,1.87E-6,1.87E-6,1408.4446,2018-08-20
40,1534869300000.0,1.85E-6,1.85E-6,1.85E-6,1.85E-6,10.35976662,2018-08-21
41,1534981440000.0,1.81E-6,1.81E-6,1.81E-6,1.81E-6,8786.33815472,2018-08-22
42,1535068560000.0,1.84E-6,1.84E-6,1.84E-6,1.84E-6,10614.13043478,2018-08-23
43,1535148960000.0,1.82E-6,1.82E-6,1.82E-6,1.82E-6,12282.83347,2018-08-24
44,1535209860000.0,1.81E-6,1.81E-6,1.81E-6,1.81E-6,12048.64234904,2018-08-25
45,1535308500000.0,1.81E-6,1.81E-6,1.81E-6,1.81E-6,5000.0,2018-08-26
46,1535385840000.0,1.01E-6,1.01E-6,1.01E-6,1.01E-6,1500.0,2018-08-27
47,1535500740000.0,1.83E-6,1.83E-6,1.83E-6,1.83E-6,0.00736566,2018-08-28
48,1535584560000.0,1.89E-6,1.89E-6,1.89E-6,1.89E-6,34832.0,2018-08-29
49,1535672220000.0,1.87E-6,1.87E-6,1.87E-6,1.87E-6,5587.68192208,2018-08-30
50,1535739840000.0,1.87E-6,1.87E-6,1.87E-6,1.87E-6,3680.92,2018-08-31
51,1535845860000.0,1.9E-6,1.9E-6,1.9E-6,1.9E-6,13347.60056645,2018-09-01
52,1535932680000.0,1.91E-6,1.92E-6,1.92E-6,1.91E-6,16464.0384,2018-09-02
53,1536010320000.0,1.88E-6,1.88E-6,1.88E-6,1.88E-6,2454.47,2018-09-03
54,1536103140000.0,1.87E-6,1.87E-6,1.87E-6,1.87E-6,6337.18099901,2018-09-04
55,1536191340000.0,1.85E-6,1.85E-6,1.85E-6,1.85E-6,8620.0,2018-09-05
56,1536275880000.0,1.8000000000000001E-6,1.8000000000000001E-6,1.8000000000000001E-6,1.8000000000000001E-6,484.48,2018-09-06
57,1536336180000.0,1.83E-6,1.83E-6,1.83E-6,1.83E-6,1716.89003669,2018-09-07
58,1536446280000.0,1.79E-6,1.79E-6,1.79E-6,1.79E-6,5765.95806932,2018-09-08
59,1536532080000.0,1.77E-6,1.77E-6,1.77E-6,1.77E-6,1519.53,2018-09-09
60,1536612360000.0,1.74E-6,1.74E-6,1.74E-6,1.74E-6,669.34,2018-09-10
61,1536706140000.0,1.68E-6,1.68E-6,1.68E-6,1.68E-6,4792.76726368,2018-09-11
62,1536787440000.0,1.67E-6,1.67E-6,1.67E-6,1.67E-6,5997.98,2018-09-12
63,1536880740000.0,1.76E-6,1.76E-6,1.76E-6,1.76E-6,13087.7,2018-09-13
