,time,open,close,high,low,volume,the_date
0,1531412520000.0,2.8E-4,2.8E-4,2.8E-4,2.8E-4,2000.0,2018-07-12
1,1531512180000.0,7.094E-5,7.128E-5,7.128E-5,7.094E-5,2239.07971207,2018-07-13
2,1531612320000.0,6.556E-5,6.556E-5,6.556E-5,6.556E-5,3000.0,2018-07-14
3,1531696680000.0,6.452E-5,6.452E-5,6.452E-5,6.452E-5,3000.0,2018-07-15
4,1531754940000.0,6.755E-5,6.756E-5,6.756E-5,6.755E-5,4009.16111012,2018-07-16
5,1531862160000.0,6.634E-5,6.634E-5,6.634E-5,6.634E-5,3000.0,2018-07-17
6,1531951380000.0,6.634E-5,6.634E-5,6.634E-5,6.634E-5,3000.0,2018-07-18
7,1532017140000.0,6.523E-5,6.523E-5,6.523E-5,6.523E-5,2150.91207908,2018-07-19
8,1532125440000.0,6.761E-5,6.761E-5,6.761E-5,6.761E-5,689.999995,2018-07-20
9,1532214240000.0,6.168E-5,6.168E-5,6.168E-5,6.168E-5,3000.0,2018-07-21
10,1532303940000.0,6.529E-5,6.529E-5,6.529E-5,6.529E-5,3000.0,2018-07-22
11,1532390160000.0,6.987E-5,6.987E-5,6.987E-5,6.987E-5,3000.0,2018-07-23
12,1532470680000.0,6.199E-5,6.174E-5,6.199E-5,6.174E-5,3006.0,2018-07-24
13,1532562780000.0,6.168E-5,6.168E-5,6.168E-5,6.168E-5,3000.0,2018-07-25
14,1532647560000.0,6.234E-5,6.234E-5,6.234E-5,6.234E-5,3000.0,2018-07-26
15,1532735760000.0,6.253E-5,6.253E-5,6.253E-5,6.253E-5,2608.26,2018-07-27
16,1532818080000.0,6.159999999999999E-5,6.159999999999999E-5,6.159999999999999E-5,6.159999999999999E-5,3000.0,2018-07-28
17,1532906880000.0,6.259E-5,6.259E-5,6.259E-5,6.259E-5,3000.0,2018-07-29
18,1532994780000.0,6.185E-5,6.185E-5,6.185E-5,6.185E-5,3000.0,2018-07-30
19,1533080040000.0,5.905E-5,5.897E-5,5.905E-5,5.897E-5,9392.591994,2018-07-31
20,1533167280000.0,4.918E-5,4.918E-5,4.918E-5,4.918E-5,600.0,2018-08-01
21,1533253560000.0,4.584E-5,4.565E-5,4.584E-5,4.565E-5,1452.0,2018-08-02
22,1533320760000.0,4.4E-5,4.4E-5,4.4E-5,4.4E-5,3522.99386363,2018-08-03
23,1533340800000.0, 4.379E-05, 4.379E-05, 4.379E-05, 4.379E-05, 4.276E+03,2018-08-04
24,1533427200000.0, 4.287E-05, 4.287E-05, 4.287E-05, 4.287E-05, 7.521E+03,2018-08-05
25,1533546840000.0,4.161E-5,4.161E-5,4.161E-5,4.161E-5,12015.0,2018-08-06
26,1533671880000.0,4.8E-5,4.8E-5,4.8E-5,4.8E-5,599.4,2018-08-07
