,time,open,close,high,low,volume,the_date
0,1523145360000.0,4.94E-6,4.94E-6,4.94E-6,4.94E-6,2024.19381447,2018-04-07
1,1523227740000.0,4.99E-6,4.99E-6,4.99E-6,4.99E-6,1001.00100102,2018-04-08
2,1523317680000.0,4.45E-6,4.45E-6,4.45E-6,4.45E-6,20000.0,2018-04-09
3,1523403300000.0,4.29E-6,4.28E-6,4.29E-6,4.28E-6,2500.0,2018-04-10
4,1523488260000.0,4.37E-6,4.37E-6,4.37E-6,4.37E-6,35090.03,2018-04-11
5,1523569320000.0,4.23E-6,4.22E-6,4.23E-6,4.22E-6,2710.0,2018-04-12
6,1523659380000.0,4.29E-6,4.29E-6,4.29E-6,4.29E-6,2264.02626403,2018-04-13
7,1523749860000.0,4.68E-6,4.68E-6,4.68E-6,4.68E-6,2135.0,2018-04-14
8,1523827620000.0,4.68E-6,4.68E-6,4.68E-6,4.68E-6,1000.0,2018-04-15
9,1523922540000.0,4.44E-6,4.4E-6,4.44E-6,4.4E-6,37015.65262486,2018-04-16
10,1524007620000.0,4.38E-6,4.38E-6,4.38E-6,4.38E-6,2000.0,2018-04-17
11,1524089160000.0,4.57E-6,4.57E-6,4.57E-6,4.57E-6,5384.24672489,2018-04-18
12,1524181920000.0,4.8E-6,4.8E-6,4.8E-6,4.8E-6,2268.0,2018-04-19
13,1524267600000.0,4.64E-6,4.64E-6,4.64E-6,4.64E-6,4536.0,2018-04-20
14,1524354120000.0,4.59E-6,4.61E-6,4.61E-6,4.59E-6,18468.0,2018-04-21
15,1524441540000.0,5.31E-6,5.28E-6,5.32E-6,5.28E-6,6255.02264598,2018-04-22
16,1524525540000.0,5.45E-6,5.49E-6,5.49E-6,5.44E-6,29160.0,2018-04-23
17,1524613440000.0,5.73E-6,5.73E-6,5.73E-6,5.73E-6,11.78,2018-04-24
18,1524700080000.0,5.01E-6,5.01E-6,5.01E-6,5.01E-6,324.0,2018-04-25
19,1524785760000.0,5.6E-6,5.6E-6,5.6E-6,5.6E-6,579.95907473,2018-04-26
20,1524873540000.0,5.400000000000001E-6,5.400000000000001E-6,5.400000000000001E-6,5.400000000000001E-6,6115.0,2018-04-27
21,1524958380000.0,6.07E-6,6.07E-6,6.07E-6,6.07E-6,4378.929751600001,2018-04-28
22,1525046340000.0,6.25E-6,6.25E-6,6.25E-6,6.25E-6,4838.45,2018-04-29
23,1525132620000.0,6.36E-6,6.36E-6,6.36E-6,6.36E-6,2032.38,2018-04-30
24,1525218780000.0,6.26E-6,6.26E-6,6.26E-6,6.26E-6,1546.0,2018-05-01
25,1525305120000.0,6.93E-6,6.93E-6,6.93E-6,6.93E-6,10044.0,2018-05-02
26,1525390980000.0,6.59E-6,6.59E-6,6.59E-6,6.59E-6,4768.0,2018-05-03
27,1525475760000.0,6.94E-6,6.95E-6,6.95E-6,6.94E-6,9980.69982368,2018-05-04
28,1525555260000.0,6.8E-6,6.8E-6,6.8E-6,6.8E-6,3888.0,2018-05-05
29,1525639500000.0,6.34E-6,6.34E-6,6.34E-6,6.34E-6,7900.0,2018-05-06
30,1525731840000.0,6.11E-6,6.11E-6,6.11E-6,6.11E-6,2500.0,2018-05-07
31,1525823820000.0,7.699999999999999E-6,7.699999999999999E-6,7.699999999999999E-6,7.699999999999999E-6,1000.0,2018-05-08
32,1525909980000.0,7.55E-6,7.55E-6,7.55E-6,7.55E-6,2508.0,2018-05-09
33,1525995720000.0,7.73E-6,7.73E-6,7.73E-6,7.73E-6,600.41602067,2018-05-10
34,1526080020000.0,7.2000000000000005E-6,7.21E-6,7.21E-6,7.19E-6,47697.0,2018-05-11
35,1526166180000.0,6.58E-6,6.58E-6,6.58E-6,6.58E-6,1541.81439542,2018-05-12
36,1526251440000.0,7.09E-6,7.09E-6,7.09E-6,7.09E-6,500.84694819,2018-05-13
37,1526338800000.0,6.68E-6,6.68E-6,6.68E-6,6.68E-6,1620.0,2018-05-14
38,1526424540000.0,6.5000000000000004E-6,6.5000000000000004E-6,6.5000000000000004E-6,6.5000000000000004E-6,7030.94,2018-05-15
39,1526505840000.0,6.35E-6,6.36E-6,6.36E-6,6.35E-6,17000.0,2018-05-16
40,1526599500000.0,6.17E-6,6.17E-6,6.17E-6,6.17E-6,6809.26443244,2018-05-17
41,1526673840000.0,6.06E-6,6.06E-6,6.06E-6,6.06E-6,495.05,2018-05-18
42,1526770620000.0,5.99E-6,5.99E-6,5.99E-6,5.99E-6,324.0,2018-05-19
43,1526850780000.0,6.34E-6,6.34E-6,6.34E-6,6.34E-6,14208.21354,2018-05-20
44,1526945460000.0,5.97E-6,5.97E-6,5.97E-6,5.97E-6,1257.6129821,2018-05-21
45,1527030360000.0,5.46E-6,5.47E-6,5.47E-6,5.46E-6,2500.0,2018-05-22
