,time,open,close,high,low,volume,the_date
0,1523231880000.0,5.877E-5,5.877E-5,5.877E-5,5.877E-5,31.81818182,2018-04-08
1,1523311560000.0,5.94E-5,5.94E-5,5.94E-5,5.94E-5,499.43484848,2018-04-09
2,1523396940000.0,6.066E-5,6.066E-5,6.066E-5,6.066E-5,130.0,2018-04-10
3,1523488020000.0,6.48E-5,6.48E-5,6.48E-5,6.48E-5,225.0,2018-04-11
4,1523567520000.0,6.687E-5,6.59E-5,6.687E-5,6.59E-5,156.63154629000005,2018-04-12
5,1523660880000.0,7.284E-5,7.286E-5,7.286E-5,7.284E-5,501.54965899999996,2018-04-13
6,1523726220000.0,7.64E-5,7.64E-5,7.64E-5,7.64E-5,702.0,2018-04-14
7,1523835960000.0,7.841E-5,7.841E-5,7.841E-5,7.841E-5,500.0,2018-04-15
8,1523913900000.0,8.149999999999999E-5,8.149999999999999E-5,8.149999999999999E-5,8.149999999999999E-5,202.49325,2018-04-16
9,1524008040000.0,7.981E-5,7.981E-5,7.981E-5,7.981E-5,129.719,2018-04-17
10,1524093300000.0,8.383E-5,8.383E-5,8.383E-5,8.383E-5,100.0,2018-04-18
11,1524180360000.0,9.169E-5,9.169E-5,9.169E-5,9.169E-5,43.01075269,2018-04-19
12,1524263340000.0,9.0E-5,9.0E-5,9.0E-5,9.0E-5,37.03703704,2018-04-20
13,1524348480000.0,8.265E-5,8.265E-5,8.265E-5,8.265E-5,28.98147161,2018-04-21
14,1524440880000.0,8.441E-5,8.435E-5,8.441E-5,8.435E-5,34313.99999999,2018-04-22
15,1524525540000.0,8.854E-5,8.854E-5,8.854E-5,8.854E-5,96.26180257,2018-04-23
16,1524613380000.0,8.279E-5,8.279E-5,8.279E-5,8.279E-5,624.15502,2018-04-24
17,1524698400000.0,8.149999999999999E-5,8.149999999999999E-5,8.149999999999999E-5,8.149999999999999E-5,0.06380368,2018-04-25
18,1524785580000.0,8.373E-5,8.373E-5,8.373E-5,8.373E-5,46.92338,2018-04-26
19,1524861660000.0,8.789E-5,8.799E-5,8.799E-5,8.789E-5,100.0,2018-04-27
20,1524958920000.0,8.991E-5,9.369E-5,9.369E-5,8.991E-5,997.84287166,2018-04-28
21,1525038840000.0,1.0993E-4,1.0993E-4,1.0993E-4,1.0993E-4,16795.95288768,2018-04-29
22,1525132140000.0,1.0071E-4,1.0071E-4,1.0071E-4,1.0071E-4,187.0,2018-04-30
23,1525215720000.0,1.0449999999999999E-4,1.0449999999999999E-4,1.0449999999999999E-4,1.0449999999999999E-4,175.51511961,2018-05-01
24,1525296180000.0,1.0231E-4,1.0231E-4,1.0231E-4,1.0231E-4,146.04931766,2018-05-02
25,1525390020000.0,9.424E-5,9.424E-5,9.424E-5,9.424E-5,118.79721484,2018-05-03
26,1525468800000.0,9.713E-5,9.713E-5,9.713E-5,9.713E-5,238.76813085,2018-05-04
27,1525551180000.0,9.49E-5,9.49E-5,9.49E-5,9.49E-5,24.08436063,2018-05-05
28,1525646400000.0,9.139E-5,9.139E-5,9.139E-5,9.139E-5,101.29398466,2018-05-06
29,1525720020000.0,8.888E-5,8.888E-5,8.888E-5,8.888E-5,116.0,2018-05-07
30,1525804680000.0,9.016E-5,9.016E-5,9.016E-5,9.016E-5,38.0,2018-05-08
31,1525894140000.0,8.949E-5,8.949E-5,8.949E-5,8.949E-5,67.016,2018-05-09
32,1525996680000.0,8.417E-5,8.41E-5,8.417E-5,8.41E-5,277.684,2018-05-10
33,1526080320000.0,8.288E-5,8.288E-5,8.288E-5,8.288E-5,427.87,2018-05-11
