,time,open,close,high,low,volume,the_date
0,1515455940000.0,1.611E-5,1.613E-5,1.613E-5,1.611E-5,392.70921849,2018-01-08
1,1515542340000.0,1.777E-5,1.777E-5,1.777E-5,1.777E-5,200.0,2018-01-09
2,1515627780000.0,1.461E-5,1.461E-5,1.461E-5,1.461E-5,80.0,2018-01-10
3,1515714120000.0,1.299E-5,1.299E-5,1.299E-5,1.299E-5,1171.67384615,2018-01-11
4,1515801240000.0,1.343E-5,1.343E-5,1.343E-5,1.343E-5,101.0,2018-01-12
5,1515887460000.0,1.236E-5,1.236E-5,1.236E-5,1.236E-5,489.0,2018-01-13
6,1515974340000.0,1.109E-5,1.109E-5,1.109E-5,1.109E-5,1518.195305,2018-01-14
7,1516060740000.0,9.84E-6,9.84E-6,9.84E-6,9.84E-6,3731.4,2018-01-15
8,1516147140000.0,8.54E-6,8.61E-6,8.61E-6,8.54E-6,796.0,2018-01-16
9,1516233540000.0,1.263E-5,1.26E-5,1.263E-5,1.26E-5,1566.6,2018-01-17
10,1516319460000.0,1.183E-5,1.183E-5,1.183E-5,1.183E-5,927.072,2018-01-18
11,1516406340000.0,1.207E-5,1.204E-5,1.207E-5,1.203E-5,4635.7,2018-01-19
12,1516492740000.0,1.172E-5,1.172E-5,1.172E-5,1.172E-5,1423.1,2018-01-20
13,1516576920000.0,1.079E-5,1.079E-5,1.079E-5,1.079E-5,400.0,2018-01-21
14,1516665480000.0,1.121E-5,1.122E-5,1.122E-5,1.121E-5,480.40560263,2018-01-22
15,1516751940000.0,1.351E-5,1.347E-5,1.351E-5,1.347E-5,1519.995333,2018-01-23
16,1516838220000.0,1.213E-5,1.213E-5,1.213E-5,1.213E-5,229.62,2018-01-24
17,1516921740000.0,1.275E-5,1.275E-5,1.275E-5,1.275E-5,480.0,2018-01-25
18,1517010900000.0,1.242E-5,1.242E-5,1.242E-5,1.242E-5,4606.022187,2018-01-26
19,1517095500000.0,1.232E-5,1.232E-5,1.232E-5,1.232E-5,300.0,2018-01-27
20,1517182860000.0,1.196E-5,1.196E-5,1.196E-5,1.196E-5,140.0,2018-01-28
21,1517269200000.0,1.191E-5,1.191E-5,1.191E-5,1.191E-5,373.066555,2018-01-29
22,1517356080000.0,1.126E-5,1.126E-5,1.126E-5,1.126E-5,6407.0,2018-01-30
23,1517443140000.0,1.268E-5,1.257E-5,1.269E-5,1.257E-5,10023.452496,2018-01-31
24,1517529420000.0,1.12E-5,1.12E-5,1.12E-5,1.12E-5,6875.81231499,2018-02-01
25,1517614260000.0,1.066E-5,1.066E-5,1.066E-5,1.066E-5,9363.48686388,2018-02-02
26,1517701200000.0,1.147E-5,1.172E-5,1.172E-5,1.147E-5,26774.223812,2018-02-03
27,1517788680000.0,1.1599999999999999E-5,1.1599999999999999E-5,1.1599999999999999E-5,1.1599999999999999E-5,600.0,2018-02-04
28,1517874180000.0,1.034E-5,1.034E-5,1.034E-5,1.034E-5,4885.805363,2018-02-05
29,1517960460000.0,1.158E-5,1.158E-5,1.158E-5,1.158E-5,671.928608,2018-02-06
30,1518047160000.0,1.282E-5,1.269E-5,1.282E-5,1.269E-5,461.77058600000004,2018-02-07
31,1518133620000.0,1.346E-5,1.346E-5,1.346E-5,1.346E-5,2203.331897,2018-02-08
32,1518220740000.0,1.418E-5,1.418E-5,1.418E-5,1.418E-5,7156.74,2018-02-09
33,1518305280000.0,1.331E-5,1.331E-5,1.331E-5,1.331E-5,0.48634944,2018-02-10
34,1518392880000.0,1.484E-5,1.484E-5,1.484E-5,1.484E-5,132.0,2018-02-11
35,1518479880000.0,1.408E-5,1.408E-5,1.408E-5,1.408E-5,200.0,2018-02-12
36,1518566160000.0,1.358E-5,1.358E-5,1.358E-5,1.358E-5,8562.84719213,2018-02-13
37,1518646980000.0,1.306E-5,1.306E-5,1.306E-5,1.306E-5,292.75872400000003,2018-02-14
38,1518736620000.0,1.345E-5,1.345E-5,1.345E-5,1.345E-5,5888.219053,2018-02-15
39,1518824760000.0,1.326E-5,1.326E-5,1.326E-5,1.326E-5,500.0,2018-02-16
40,1518911160000.0,1.272E-5,1.258E-5,1.272E-5,1.258E-5,7534.9,2018-02-17
41,1518997320000.0,1.191E-5,1.191E-5,1.191E-5,1.191E-5,3981.1040000000003,2018-02-18
42,1519082880000.0,1.137E-5,1.137E-5,1.137E-5,1.137E-5,318.354011,2018-02-19
43,1519170840000.0,9.97E-6,9.96E-6,9.97E-6,9.96E-6,3462.617,2018-02-20
44,1519257180000.0,1.043E-5,1.043E-5,1.043E-5,1.043E-5,1500.0,2018-02-21
45,1519340760000.0,1.102E-5,1.101E-5,1.102E-5,1.101E-5,5000.0,2018-02-22
46,1519428900000.0,1.098E-5,1.104E-5,1.107E-5,1.098E-5,45554.20241853,2018-02-23
47,1519516500000.0,1.087E-5,1.087E-5,1.087E-5,1.087E-5,1081.681213,2018-02-24
48,1519602300000.0,1.121E-5,1.121E-5,1.121E-5,1.121E-5,120.0,2018-02-25
49,1519686840000.0,1.081E-5,1.081E-5,1.081E-5,1.081E-5,3808.1931259999997,2018-02-26
50,1519771020000.0,1.048E-5,1.048E-5,1.048E-5,1.048E-5,3000.0,2018-02-27
51,1519858860000.0,1.025E-5,1.025E-5,1.025E-5,1.025E-5,220.0,2018-02-28
52,1519945020000.0,1.029E-5,1.029E-5,1.029E-5,1.029E-5,123.772,2018-03-01
53,1520030040000.0,1.0199999999999999E-5,1.0199999999999999E-5,1.0199999999999999E-5,1.0199999999999999E-5,1490.27189034,2018-03-02
54,1520118360000.0,9.96E-6,9.96E-6,9.96E-6,9.96E-6,270.0,2018-03-03
55,1520207940000.0,9.79E-6,9.79E-6,9.79E-6,9.79E-6,1801.99599999,2018-03-04
56,1520292120000.0,9.71E-6,9.71E-6,9.71E-6,9.71E-6,228.0,2018-03-05
57,1520377200000.0,9.87E-6,9.87E-6,9.87E-6,9.87E-6,3584.0,2018-03-06
