,time,open,close,high,low,volume,the_date
0,1523134380000.0,1.397E-5,1.397E-5,1.397E-5,1.397E-5,0.39656406,2018-04-07
1,1523216760000.0,1.385E-5,1.366E-5,1.385E-5,1.366E-5,526.77255034,2018-04-08
2,1523307240000.0,1.31E-5,1.31E-5,1.31E-5,1.31E-5,200.0,2018-04-09
3,1523403960000.0,1.383E-5,1.383E-5,1.383E-5,1.383E-5,1949.69364969,2018-04-10
4,1523490900000.0,1.373E-5,1.373E-5,1.373E-5,1.373E-5,510.58515284,2018-04-11
5,1523572500000.0,1.374E-5,1.375E-5,1.375E-5,1.374E-5,34158.16,2018-04-12
6,1523658060000.0,1.515E-5,1.515E-5,1.515E-5,1.515E-5,151.0,2018-04-13
7,1523750040000.0,1.336E-5,1.336E-5,1.336E-5,1.336E-5,1276.0,2018-04-14
8,1523835480000.0,1.288E-5,1.288E-5,1.288E-5,1.288E-5,4006.08012,2018-04-15
9,1523922180000.0,1.312E-5,1.312E-5,1.312E-5,1.312E-5,1341.05141728,2018-04-16
10,1524002280000.0,1.322E-5,1.322E-5,1.322E-5,1.322E-5,1309.897,2018-04-17
11,1524088740000.0,1.449E-5,1.449E-5,1.449E-5,1.449E-5,122.0,2018-04-18
12,1524180660000.0,1.4499999999999998E-5,1.4499999999999998E-5,1.4499999999999998E-5,1.4499999999999998E-5,4497.11780747,2018-04-19
13,1524265560000.0,1.475E-5,1.475E-5,1.475E-5,1.475E-5,575.99573248,2018-04-20
14,1524342060000.0,1.455E-5,1.455E-5,1.455E-5,1.455E-5,499.55600583,2018-04-21
15,1524438360000.0,1.528E-5,1.528E-5,1.528E-5,1.528E-5,116.0,2018-04-22
16,1524506040000.0,1.697E-5,1.697E-5,1.697E-5,1.697E-5,120.0,2018-04-23
17,1524613320000.0,1.602E-5,1.591E-5,1.602E-5,1.591E-5,177.17277303,2018-04-24
18,1524696900000.0,1.439E-5,1.441E-5,1.441E-5,1.439E-5,3326.968,2018-04-25
