,time,open,close,high,low,volume,the_date
0,1530306900000.0,1.623E-5,1.623E-5,1.623E-5,1.623E-5,2000.0,2018-06-29
1,1530349080000.0,1.55E-5,1.55E-5,1.55E-5,1.55E-5,1908.271875,2018-06-30
2,1530485940000.0,4.61E-6,4.61E-6,4.61E-6,4.61E-6,2232.13295738,2018-07-01
3,1530513600000.0,3.4E-6,3.4E-6,3.4E-6,3.4E-6,998.23058353,2018-07-02
4,1530593340000.0,7.5E-7,7.5E-7,7.5E-7,7.5E-7,8124.85377055,2018-07-03
5,1530704340000.0,1.0E-6,1.0E-6,1.0E-6,1.0E-6,772.0,2018-07-04
6,1530748800000.0, 1.586E-06, 1.586E-06, 1.586E-06, 1.586E-06, 6.133E+02,2018-07-05
7,1530894060000.0,3.5000000000000004E-6,3.5000000000000004E-6,3.5000000000000004E-6,3.5000000000000004E-6,94.74571429,2018-07-06
8,1530921600000.0, 3.900E-06, 3.900E-06, 3.900E-06, 3.900E-06, 2.213E+02,2018-07-07
9,1531090980000.0,6.36E-6,6.36E-6,6.36E-6,6.36E-6,1000.0,2018-07-08
10,1531133760000.0,2.55E-6,2.55E-6,2.55E-6,2.55E-6,780.0,2018-07-09
11,1531180800000.0, 2.566E-06, 2.566E-06, 2.566E-06, 2.566E-06, 1.016E+03,2018-07-10
12,1531267200000.0, 2.595E-06, 2.595E-06, 2.595E-06, 2.595E-06, 1.451E+03,2018-07-11
13,1531430520000.0,2.65E-6,2.65E-6,2.65E-6,2.65E-6,2271.79573326,2018-07-12
14,1531440360000.0,2.65E-6,2.65E-6,2.65E-6,2.65E-6,728.20426674,2018-07-13
15,1531526400000.0, 2.684E-06, 2.684E-06, 2.684E-06, 2.684E-06, 2.196E+03,2018-07-14
16,1531690080000.0,2.75E-6,2.75E-6,2.75E-6,2.75E-6,4987.49501249,2018-07-15
17,1531725660000.0,2.75E-6,1.9E-6,2.75E-6,1.9E-6,16960.50498751,2018-07-16
18,1531785600000.0, 2.488E-06, 1.903E-06, 2.488E-06, 1.903E-06, 1.193E+04,2018-07-17
19,1531917840000.0,1.91E-6,1.91E-6,1.91E-6,1.91E-6,837.96422935,2018-07-18
20,1532013480000.0,1.61E-6,1.24E-6,1.61E-6,1.24E-6,6250.30740473,2018-07-19
21,1532044800000.0, 1.646E-06, 1.291E-06, 1.646E-06, 1.291E-06, 6.058E+03,2018-07-20
22,1532131200000.0, 1.745E-06, 1.432E-06, 1.745E-06, 1.432E-06, 5.528E+03,2018-07-21
23,1532217600000.0, 1.845E-06, 1.572E-06, 1.845E-06, 1.572E-06, 4.998E+03,2018-07-22
24,1532304000000.0, 1.944E-06, 1.713E-06, 1.944E-06, 1.713E-06, 4.468E+03,2018-07-23
25,1532390400000.0, 2.043E-06, 1.854E-06, 2.043E-06, 1.854E-06, 3.938E+03,2018-07-24
26,1532476800000.0, 2.143E-06, 1.994E-06, 2.143E-06, 1.994E-06, 3.408E+03,2018-07-25
27,1532563200000.0, 2.242E-06, 2.135E-06, 2.242E-06, 2.135E-06, 2.878E+03,2018-07-26
28,1532649600000.0, 2.341E-06, 2.275E-06, 2.341E-06, 2.275E-06, 2.348E+03,2018-07-27
29,1532787540000.0,2.5E-6,2.5E-6,2.5E-6,2.5E-6,1502.0,2018-07-28
30,1532882160000.0,2.37E-6,2.37E-6,2.37E-6,2.37E-6,1446.9665272,2018-07-29
31,1532908800000.0, 2.266E-06, 2.266E-06, 2.266E-06, 2.266E-06, 1.964E+03,2018-07-30
32,1532995200000.0, 1.928E-06, 1.928E-06, 1.928E-06, 1.928E-06, 3.641E+03,2018-07-31
33,1533147840000.0,1.33E-6,1.33E-6,1.33E-6,1.33E-6,6603.36292807,2018-08-01
34,1533229620000.0,3.8E-6,3.9E-6,3.9E-6,3.8E-6,2933.33333333,2018-08-02
