,time,open,close,high,low,volume,the_date
0,1561907580000.0,4.3E-4,4.3E-4,4.3E-4,4.3E-4,527.13,2019-06-30
1,1561939200000.0, 4.300E-04, 4.300E-04, 4.300E-04, 4.300E-04, 4.593E+02,2019-07-01
2,1562106660000.0,4.3E-4,4.3E-4,4.3E-4,4.3E-4,99.8,2019-07-02
3,1562189940000.0,3.94E-4,3.94E-4,3.94E-4,3.94E-4,382.32994924,2019-07-03
4,1562229960000.0,2.64E-4,2.64E-4,2.64E-4,2.64E-4,29.87,2019-07-04
5,1562284800000.0, 2.687E-04, 2.690E-04, 2.690E-04, 2.687E-04, 4.426E+01,2019-07-05
6,1562371200000.0, 2.762E-04, 2.769E-04, 2.769E-04, 2.762E-04, 6.693E+01,2019-07-06
7,1562457600000.0, 2.837E-04, 2.847E-04, 2.847E-04, 2.837E-04, 8.961E+01,2019-07-07
8,1562544000000.0, 2.911E-04, 2.926E-04, 2.926E-04, 2.911E-04, 1.123E+02,2019-07-08
9,1562701740000.0,3.0478E-4,3.07E-4,3.07E-4,3.0478E-4,153.67675525,2019-07-09
10,1562788500000.0,3.32E-4,3.32E-4,3.32E-4,3.32E-4,312.9394938399999,2019-07-10
11,1562877720000.0,2.86E-4,2.86E-4,2.86E-4,2.86E-4,1544.47222404,2019-07-11
12,1562889600000.0, 2.859E-04, 2.859E-04, 2.859E-04, 2.859E-04, 1.539E+03,2019-07-12
13,1562976000000.0, 2.849E-04, 2.849E-04, 2.849E-04, 2.849E-04, 1.502E+03,2019-07-13
14,1563062400000.0, 2.839E-04, 2.839E-04, 2.839E-04, 2.839E-04, 1.465E+03,2019-07-14
15,1563148800000.0, 2.829E-04, 2.829E-04, 2.829E-04, 2.829E-04, 1.428E+03,2019-07-15
16,1563235200000.0, 2.819E-04, 2.819E-04, 2.819E-04, 2.819E-04, 1.391E+03,2019-07-16
17,1563321600000.0, 2.809E-04, 2.809E-04, 2.809E-04, 2.809E-04, 1.354E+03,2019-07-17
18,1563408000000.0, 2.800E-04, 2.800E-04, 2.800E-04, 2.800E-04, 1.317E+03,2019-07-18
19,1563494400000.0, 2.790E-04, 2.790E-04, 2.790E-04, 2.790E-04, 1.280E+03,2019-07-19
20,1563580800000.0, 2.780E-04, 2.780E-04, 2.780E-04, 2.780E-04, 1.243E+03,2019-07-20
21,1563667200000.0, 2.770E-04, 2.770E-04, 2.770E-04, 2.770E-04, 1.206E+03,2019-07-21
22,1563753600000.0, 2.760E-04, 2.760E-04, 2.760E-04, 2.760E-04, 1.169E+03,2019-07-22
23,1563840000000.0, 2.750E-04, 2.750E-04, 2.750E-04, 2.750E-04, 1.132E+03,2019-07-23
24,1563926400000.0, 2.740E-04, 2.740E-04, 2.740E-04, 2.740E-04, 1.094E+03,2019-07-24
25,1564012800000.0, 2.731E-04, 2.731E-04, 2.731E-04, 2.731E-04, 1.057E+03,2019-07-25
26,1564099200000.0, 2.721E-04, 2.721E-04, 2.721E-04, 2.721E-04, 1.020E+03,2019-07-26
27,1564193400000.0,2.71E-4,2.71E-4,2.71E-4,2.71E-4,979.85501844,2019-07-27
28,1564272000000.0, 3.187E-04, 3.187E-04, 3.187E-04, 3.187E-04, 8.165E+02,2019-07-28
29,1564358400000.0, 3.712E-04, 3.712E-04, 3.712E-04, 3.712E-04, 6.370E+02,2019-07-29
30,1564444800000.0, 4.237E-04, 4.237E-04, 4.237E-04, 4.237E-04, 4.575E+02,2019-07-30
31,1564602300000.0,5.194E-4,5.194E-4,5.194E-4,5.194E-4,130.21126972,2019-07-31
32,1564666740000.0,3.46E-4,3.46E-4,3.46E-4,3.46E-4,57.0,2019-08-01
33,1564729140000.0,4.0E-4,4.0E-4,4.0E-4,4.0E-4,57.0,2019-08-02
34,1564790400000.0, 3.851E-04, 3.851E-04, 3.851E-04, 3.851E-04, 6.093E+01,2019-08-03
35,1564876800000.0, 3.642E-04, 3.642E-04, 3.642E-04, 3.642E-04, 6.648E+01,2019-08-04
36,1564963200000.0, 3.432E-04, 3.432E-04, 3.432E-04, 3.432E-04, 7.203E+01,2019-08-05
37,1565049600000.0, 3.223E-04, 3.223E-04, 3.223E-04, 3.223E-04, 7.758E+01,2019-08-06
38,1565136000000.0, 3.013E-04, 3.013E-04, 3.013E-04, 3.013E-04, 8.313E+01,2019-08-07
39,1565222400000.0, 2.804E-04, 2.804E-04, 2.804E-04, 2.804E-04, 8.868E+01,2019-08-08
40,1565308800000.0, 2.594E-04, 2.594E-04, 2.594E-04, 2.594E-04, 9.422E+01,2019-08-09
41,1565395200000.0, 2.385E-04, 2.385E-04, 2.385E-04, 2.385E-04, 9.977E+01,2019-08-10
42,1565481600000.0, 2.175E-04, 2.175E-04, 2.175E-04, 2.175E-04, 1.053E+02,2019-08-11
43,1565568000000.0, 1.966E-04, 1.966E-04, 1.966E-04, 1.966E-04, 1.109E+02,2019-08-12
44,1565654400000.0, 1.756E-04, 1.756E-04, 1.756E-04, 1.756E-04, 1.164E+02,2019-08-13
45,1565740800000.0, 1.547E-04, 1.547E-04, 1.547E-04, 1.547E-04, 1.220E+02,2019-08-14
46,1565877900000.0,1.2141E-4,1.2141E-4,1.2141E-4,1.2141E-4,130.77,2019-08-15
47,1565913600000.0, 1.341E-04, 1.341E-04, 1.341E-04, 1.341E-04, 1.666E+02,2019-08-16
48,1566000000000.0, 1.648E-04, 1.648E-04, 1.648E-04, 1.648E-04, 2.532E+02,2019-08-17
49,1566086400000.0, 1.955E-04, 1.955E-04, 1.955E-04, 1.955E-04, 3.398E+02,2019-08-18
50,1566172800000.0, 2.262E-04, 2.262E-04, 2.262E-04, 2.262E-04, 4.264E+02,2019-08-19
51,1566259200000.0, 2.569E-04, 2.569E-04, 2.569E-04, 2.569E-04, 5.131E+02,2019-08-20
52,1566345600000.0, 2.876E-04, 2.876E-04, 2.876E-04, 2.876E-04, 5.997E+02,2019-08-21
53,1566432000000.0, 3.183E-04, 3.183E-04, 3.183E-04, 3.183E-04, 6.863E+02,2019-08-22
54,1566518400000.0, 3.490E-04, 3.490E-04, 3.490E-04, 3.490E-04, 7.730E+02,2019-08-23
55,1566604800000.0, 3.797E-04, 3.797E-04, 3.797E-04, 3.797E-04, 8.596E+02,2019-08-24
56,1566691200000.0, 4.104E-04, 4.104E-04, 4.104E-04, 4.104E-04, 9.462E+02,2019-08-25
57,1566777600000.0, 4.411E-04, 4.411E-04, 4.411E-04, 4.411E-04, 1.033E+03,2019-08-26
58,1566943200000.0,5.0E-4,5.0E-4,5.0E-4,5.0E-4,1198.864643,2019-08-27
59,1566950400000.0, 4.995E-04, 4.995E-04, 4.995E-04, 4.995E-04, 1.193E+03,2019-08-28
60,1567036800000.0, 4.931E-04, 4.931E-04, 4.931E-04, 4.931E-04, 1.120E+03,2019-08-29
61,1567123200000.0, 4.868E-04, 4.868E-04, 4.868E-04, 4.868E-04, 1.048E+03,2019-08-30
62,1567209600000.0, 4.804E-04, 4.804E-04, 4.804E-04, 4.804E-04, 9.751E+02,2019-08-31
63,1567296000000.0, 4.740E-04, 4.740E-04, 4.740E-04, 4.740E-04, 9.026E+02,2019-09-01
64,1567382400000.0, 4.677E-04, 4.677E-04, 4.677E-04, 4.677E-04, 8.300E+02,2019-09-02
65,1567468800000.0, 4.613E-04, 4.613E-04, 4.613E-04, 4.613E-04, 7.575E+02,2019-09-03
66,1567555200000.0, 4.550E-04, 4.550E-04, 4.550E-04, 4.550E-04, 6.849E+02,2019-09-04
67,1567641600000.0, 4.486E-04, 4.486E-04, 4.486E-04, 4.486E-04, 6.123E+02,2019-09-05
68,1567728000000.0, 4.423E-04, 4.423E-04, 4.423E-04, 4.423E-04, 5.398E+02,2019-09-06
69,1567814400000.0, 4.359E-04, 4.359E-04, 4.359E-04, 4.359E-04, 4.672E+02,2019-09-07
70,1567900800000.0, 4.295E-04, 4.295E-04, 4.295E-04, 4.295E-04, 3.947E+02,2019-09-08
71,1567987200000.0, 4.232E-04, 4.232E-04, 4.232E-04, 4.232E-04, 3.221E+02,2019-09-09
72,1568073600000.0, 4.168E-04, 4.168E-04, 4.168E-04, 4.168E-04, 2.495E+02,2019-09-10
73,1568160000000.0, 4.105E-04, 4.105E-04, 4.105E-04, 4.105E-04, 1.770E+02,2019-09-11
74,1568302200000.0,4.0E-4,4.0E-4,4.0E-4,4.0E-4,57.56194857,2019-09-12
75,1568401320000.0,4.0E-4,4.0E-4,4.0E-4,4.0E-4,192.876078,2019-09-13
76,1568419200000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 1.907E+02,2019-09-14
77,1568505600000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 1.804E+02,2019-09-15
78,1568592000000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 1.701E+02,2019-09-16
79,1568709540000.0,4.0E-4,4.0E-4,4.0E-4,4.0E-4,156.123922,2019-09-17
80,1568764800000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 8.856E+02,2019-09-18
81,1568851200000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 2.026E+03,2019-09-19
82,1568937600000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 3.167E+03,2019-09-20
83,1569024000000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 4.307E+03,2019-09-21
84,1569110400000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 5.448E+03,2019-09-22
85,1569196800000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 6.589E+03,2019-09-23
86,1569283200000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 7.729E+03,2019-09-24
87,1569455220000.0,4.0E-4,4.0E-4,4.0E-4,4.0E-4,10000.0,2019-09-25
88,1569456000000.0, 4.000E-04, 4.000E-04, 4.000E-04, 4.000E-04, 9.981E+03,2019-09-26
89,1569542400000.0, 4.040E-04, 4.000E-04, 4.040E-04, 4.000E-04, 7.897E+03,2019-09-27
90,1569628800000.0, 4.080E-04, 4.000E-04, 4.080E-04, 4.000E-04, 5.813E+03,2019-09-28
91,1569715200000.0, 4.120E-04, 4.000E-04, 4.120E-04, 4.000E-04, 3.728E+03,2019-09-29
92,1569815700000.0,4.1668E-4,4.0E-4,4.1668E-4,4.0E-4,1303.721656,2019-09-30
