,time,open,close,high,low,volume,the_date
0,1536624000000,0.002933,0.0028153,0.0029509,0.0027085,44201.13536704,2018-09-11
1,1536710400000,0.002815,0.0027822,0.0028219,0.0026018,41929.31651651,2018-09-12
2,1536796800000,0.0027915,0.0028038,0.002885,0.0027348,48360.94378611,2018-09-13
3,1536883200000,0.0028122,0.0027425,0.0028669,0.0027358,36465.74103663,2018-09-14
4,1536969600000,0.0027453,0.0027709,0.0028175,0.002743,12425.83346215,2018-09-15
5,1537056000000,0.0027677,0.0027612,0.0027841,0.0026985,20762.53774586,2018-09-16
6,1537142400000,0.0027612,0.0026355,0.0028048,0.002614,80586.20431044,2018-09-17
7,1537228800000,0.002638,0.0026655,0.0027354,0.002617,36562.8417426,2018-09-18
8,1537315200000,0.0026655,0.0026769,0.0027553,0.0026236,42057.30142959,2018-09-19
9,1537401600000,0.0026791,0.0028105,0.0028474,0.0026697,29605.31239111,2018-09-20
10,1537488000000,0.0028108,0.0029376,0.0030043,0.00273,72094.45947118,2018-09-21
11,1537574400000,0.0029364,0.0028087,0.0029619,0.0027574,35396.18707375,2018-09-22
12,1537660800000,0.0027996,0.0029163,0.0030731,0.0027788,52192.36076525,2018-09-23
13,1537747200000,0.0029157,0.0028045,0.002926,0.0027492,60864.09129187,2018-09-24
14,1537833600000,0.0028023,0.0028236,0.0028236,0.0026846,24235.50002552,2018-09-25
15,1537920000000,0.0028216,0.0027473,0.002852,0.0027234,23482.04345811,2018-09-26
16,1538006400000,0.0027467,0.0028453,0.0029259,0.0027185,32590.31220452,2018-09-27
17,1538092800000,0.0028459,0.0029011,0.0030778,0.0028345,59089.09708798,2018-09-28
18,1538179200000,0.0028894,0.0029146,0.0029326,0.0028258,16810.31226869,2018-09-29
19,1538265600000,0.0029138,0.0028611,0.0029149,0.0028091,26537.06318106,2018-09-30
20,1538352000000,0.0028619,0.0028282,0.0028808,0.0027932,14124.40064093,2018-10-01
21,1538438400000,0.0028333,0.0028276,0.0028487,0.0027839,16367.51041594,2018-10-02
22,1538524800000,0.0028276,0.0027696,0.0028342,0.0027325,14723.56413332,2018-10-03
23,1538611200000,0.00277,0.0027315,0.0027892,0.0027315,9061.41725814,2018-10-04
24,1538697600000,0.0027317,0.0027517,0.0027523,0.0027128,11045.71126319,2018-10-05
25,1538784000000,0.0027508,0.002721,0.0028164,0.002701,18236.45388168,2018-10-06
26,1538870400000,0.0027217,0.0027511,0.0027731,0.0027217,9358.97632153,2018-10-07
27,1538956800000,0.0027512,0.0027809,0.00281,0.0027457,11324.9292301,2018-10-08
28,1539043200000,0.0027832,0.0027584,0.0027864,0.0027372,7735.34961414,2018-10-09
29,1539129600000,0.0027518,0.0027596,0.002783,0.0027347,7190.79865188,2018-10-10
30,1539216000000,0.0027553,0.0024796,0.0027643,0.0024767,71780.84187,2018-10-11
31,1539302400000,0.0024798,0.0024962,0.0025572,0.0024549,12798.33771713,2018-10-12
32,1539388800000,0.0024971,0.0025218,0.0025455,0.002497,37215.177105049996,2018-10-13
