,time,open,close,high,low,volume,the_date
0,1535062860000.0,1.2001E-4,1.2001E-4,1.2001E-4,1.2001E-4,4000.0,2018-08-23
1,1535152920000.0,1.0289E-4,1.0289E-4,1.0289E-4,1.0289E-4,5977.50071715,2018-08-24
2,1535228280000.0,1.0E-4,1.0E-4,1.0E-4,1.0E-4,370.37621382,2018-08-25
3,1535241600000.0, 9.928E-05, 9.928E-05, 9.928E-05, 9.928E-05, 1.137E+03,2018-08-26
4,1535395620000.0,9.1E-5,9.1E-5,9.1E-5,9.1E-5,10000.0,2018-08-27
5,1535494500000.0,9.0E-5,9.0E-5,9.0E-5,9.0E-5,0.06396952,2018-08-28
6,1535543280000.0,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1400.0,2018-08-29
7,1535587200000.0, 9.632E-05, 9.632E-05, 9.632E-05, 9.632E-05, 1.079E+03,2018-08-30
8,1535674560000.0,8.9E-5,8.9E-5,8.9E-5,8.9E-5,440.0,2018-08-31
9,1535830440000.0,8.899E-5,8.9E-5,8.9E-5,8.899E-5,10092.20056179,2018-09-01
10,1535846400000.0, 8.706E-05, 8.707E-05, 8.707E-05, 8.706E-05, 9.070E+03,2018-09-02
11,1535978340000.0,7.11E-5,7.11E-5,7.11E-5,7.11E-5,620.22814765,2018-09-03
12,1536103380000.0,8.7E-5,8.9E-5,8.9E-5,8.7E-5,24800.32310442,2018-09-04
13,1536191220000.0,8.9E-5,8.9E-5,8.9E-5,8.9E-5,83.01658211,2018-09-05
14,1536227700000.0,7.11E-5,7.11E-5,7.11E-5,7.11E-5,5000.0,2018-09-06
15,1536317040000.0,7.11E-5,7.0E-5,7.11E-5,7.0E-5,5811.0,2018-09-07
16,1536398340000.0,5.518E-5,5.518E-5,5.518E-5,5.518E-5,11981.775,2018-09-08
17,1536451200000.0, 6.106E-05, 6.106E-05, 6.106E-05, 6.106E-05, 1.288E+04,2018-09-09
18,1536537600000.0, 7.067E-05, 7.068E-05, 7.068E-05, 7.067E-05, 1.434E+04,2018-09-10
19,1536624000000.0, 8.028E-05, 8.030E-05, 8.030E-05, 8.028E-05, 1.581E+04,2018-09-11
20,1536783000000.0,9.797E-5,9.8E-5,9.8E-5,9.797E-5,18501.22391096,2018-09-12
21,1536862920000.0,6.002E-5,6.002E-5,6.002E-5,6.002E-5,4922.62,2018-09-13
22,1536883200000.0, 6.115E-05, 6.115E-05, 6.115E-05, 6.115E-05, 4.758E+03,2018-09-14
23,1536969600000.0, 6.599E-05, 6.599E-05, 6.599E-05, 6.599E-05, 4.058E+03,2018-09-15
24,1537056000000.0, 7.082E-05, 7.082E-05, 7.082E-05, 7.082E-05, 3.358E+03,2018-09-16
25,1537142400000.0, 7.565E-05, 7.565E-05, 7.565E-05, 7.565E-05, 2.658E+03,2018-09-17
26,1537228800000.0, 8.048E-05, 8.048E-05, 8.048E-05, 8.048E-05, 1.958E+03,2018-09-18
27,1537363200000.0,8.8E-5,8.8E-5,8.8E-5,8.8E-5,868.56908062,2018-09-19
28,1537401600000.0, 9.034E-05, 9.034E-05, 9.034E-05, 9.034E-05, 1.900E+03,2018-09-20
29,1537527600000.0,9.8E-5,9.8E-5,9.8E-5,9.8E-5,5283.74874948,2018-09-21
30,1537574400000.0, 9.800E-05, 9.800E-05, 9.800E-05, 9.800E-05, 4.375E+03,2018-09-22
