,time,open,close,high,low,volume,the_date
0,1560422100000.0,1.48,1.48,1.48,1.48,5.0,2019-06-13
1,1560470400000.0, 1.529E+00, 1.529E+00, 1.529E+00, 1.529E+00, 4.474E+00,2019-06-14
2,1560556800000.0, 1.616E+00, 1.616E+00, 1.616E+00, 1.616E+00, 3.532E+00,2019-06-15
3,1560643200000.0, 1.703E+00, 1.703E+00, 1.703E+00, 1.703E+00, 2.591E+00,2019-06-16
4,1560775080000.0,1.8367,1.8366,1.8367,1.8366,1.15377709,2019-06-17
5,1560856020000.0,1.7084,1.7083,1.7084,1.7083,0.5,2019-06-18
6,1560902400000.0, 1.695E+00, 1.695E+00, 1.695E+00, 1.695E+00, 1.937E+00,2019-06-19
7,1560988800000.0, 1.671E+00, 1.671E+00, 1.671E+00, 1.671E+00, 4.615E+00,2019-06-20
8,1561075200000.0, 1.647E+00, 1.647E+00, 1.647E+00, 1.647E+00, 7.292E+00,2019-06-21
9,1561240560000.0,1.6,1.6,1.6,1.6,12.41699383,2019-06-22
10,1561248000000.0, 1.604E+00, 1.604E+00, 1.604E+00, 1.604E+00, 1.183E+01,2019-06-23
11,1561370280000.0,1.67,1.67,1.67,1.67,2.1,2019-06-24
12,1561420800000.0, 1.675E+00, 1.675E+00, 1.675E+00, 1.675E+00, 2.093E+00,2019-06-25
13,1561507200000.0, 1.684E+00, 1.684E+00, 1.684E+00, 1.684E+00, 2.081E+00,2019-06-26
14,1561593600000.0, 1.692E+00, 1.692E+00, 1.692E+00, 1.692E+00, 2.068E+00,2019-06-27
15,1561680000000.0, 1.701E+00, 1.701E+00, 1.701E+00, 1.701E+00, 2.056E+00,2019-06-28
16,1561766400000.0, 1.709E+00, 1.709E+00, 1.709E+00, 1.709E+00, 2.044E+00,2019-06-29
17,1561852800000.0, 1.718E+00, 1.718E+00, 1.718E+00, 1.718E+00, 2.032E+00,2019-06-30
18,1561939200000.0, 1.726E+00, 1.726E+00, 1.726E+00, 1.726E+00, 2.020E+00,2019-07-01
