,time,open,close,high,low,volume,the_date
0,1530834480000.0,1.52,1.52,1.52,1.52,20.0,2018-07-05
1,1530921180000.0,1.101,1.1,1.101,1.1,194.805195,2018-07-06
2,1530965340000.0,1.15,1.16,1.16,1.15,271.01380967,2018-07-07
3,1531088880000.0,1.37,1.37,1.37,1.37,295.31142324,2018-07-08
4,1531180560000.0,1.3743,1.3742,1.3743,1.3742,187.60203724,2018-07-09
5,1531265160000.0,1.16,1.16,1.16,1.16,173.25659392,2018-07-10
6,1531347780000.0,1.145,1.145,1.145,1.145,20.0,2018-07-11
7,1531439520000.0,1.1111,1.145,1.145,1.1111,563.6798301700002,2018-07-12
8,1531501380000.0,1.0399,1.04,1.04,1.0399,2642.68944486,2018-07-13
9,1531604520000.0,1.0016,1.0016,1.0018,1.0016,110.0,2018-07-14
10,1531698240000.0,1.1998,1.1998,1.1998,1.1998,154.98155,2018-07-15
11,1531785180000.0,1.2479,1.2479,1.2479,1.2479,150.31410974,2018-07-16
12,1531871040000.0,1.14,1.14,1.14,1.14,10.0,2018-07-17
13,1531956240000.0,0.93999,0.93999,0.93999,0.93999,84.9103035,2018-07-18
14,1532040240000.0,0.9201,0.9201,0.9201,0.9201,97.0968055,2018-07-19
15,1532130420000.0,0.78028,0.78,0.78028,0.78,1980.74906482,2018-07-20
16,1532213400000.0,0.7014199999999999,0.7,0.7014199999999999,0.7,895.98127295,2018-07-21
17,1532295780000.0,0.8011,0.8011,0.8011,0.8011,74.85,2018-07-22
18,1532358720000.0,0.8800100000000001,0.88,0.8800100000000001,0.88,455.28968561,2018-07-23
19,1532476740000.0,0.8582799999999999,0.82842,0.8582799999999999,0.82842,1634.43652003,2018-07-24
20,1532543880000.0,0.8409700000000001,0.8409700000000001,0.8409700000000001,0.8409700000000001,29.97,2018-07-25
21,1532644080000.0,0.8623799999999999,0.8640000000000001,0.8640100000000001,0.8623700000000001,439.48825247,2018-07-26
22,1532734680000.0,0.8599700000000001,0.86,0.86,0.8599700000000001,40.4063,2018-07-27
23,1532778120000.0,0.9247299999999999,0.9247299999999999,0.9247299999999999,0.9247299999999999,729.70459819,2018-07-28
24,1532879220000.0,0.97,0.95,0.97,0.95,28.0,2018-07-29
25,1532992500000.0,1.013,1.013,1.013,1.013,1000.0,2018-07-30
26,1533073200000.0,0.8730100000000001,0.8730100000000001,0.8730100000000001,0.8730100000000001,152.0,2018-07-31
27,1533163560000.0,0.79804,0.76,0.79804,0.76,14.0,2018-08-01
28,1533240060000.0,0.7589199999999999,0.7589199999999999,0.7589199999999999,0.7589199999999999,87.77589496,2018-08-02
29,1533330540000.0,0.79428,0.79428,0.79428,0.79428,14.0,2018-08-03
30,1533422340000.0,0.62822,0.6282300000000001,0.6282300000000001,0.62822,80.0,2018-08-04
31,1533485220000.0,0.6006199999999999,0.6006199999999999,0.6006199999999999,0.6006199999999999,30.109859999999998,2018-08-05
32,1533578820000.0,0.60101,0.60101,0.60101,0.60101,924.0,2018-08-06
33,1533684900000.0,0.56,0.56,0.56,0.56,120.07552407,2018-08-07
34,1533772680000.0,0.45405,0.45405,0.45405,0.45405,16.0,2018-08-08
35,1533854520000.0,0.45,0.45,0.45,0.45,20.0,2018-08-09
36,1533939780000.0,0.41468,0.41468,0.41468,0.41468,20.0,2018-08-10
37,1534031520000.0,0.37,0.37,0.37,0.37,20.0,2018-08-11
38,1534116420000.0,0.4,0.4,0.4,0.4,20.0,2018-08-12
39,1534201380000.0,0.37001,0.37001999999999996,0.37001999999999996,0.37,757.704918,2018-08-13
40,1534270080000.0,0.32,0.32,0.32,0.32,314.20884618,2018-08-14
41,1534374960000.0,0.34,0.34,0.34,0.34,20.0,2018-08-15
42,1534433460000.0,0.33,0.33,0.33,0.33,20.0,2018-08-16
43,1534544040000.0,0.45898999999999995,0.45899999999999996,0.45899999999999996,0.45898999999999995,1516.99623992,2018-08-17
44,1534610520000.0,0.38800999999999997,0.38799999999999996,0.38800999999999997,0.38799999999999996,761.03213223,2018-08-18
45,1534719960000.0,0.43605,0.43605,0.43605,0.43605,468.37093417,2018-08-19
46,1534806060000.0,0.35,0.35,0.35,0.35,573.44730711,2018-08-20
47,1534879560000.0,0.34849,0.34849,0.34849,0.34849,211.0,2018-08-21
48,1534956720000.0,0.34999,0.35,0.35,0.34999,298.0978580700001,2018-08-22
49,1535038020000.0,0.30580999999999997,0.30580999999999997,0.30580999999999997,0.30580999999999997,75.85827658,2018-08-23
50,1535148240000.0,0.36383000000000004,0.36383000000000004,0.36383000000000004,0.36383000000000004,35.964,2018-08-24
51,1535209920000.0,0.36855,0.36855,0.36855,0.36855,500.0,2018-08-25
52,1535281260000.0,0.36022,0.36022,0.36022,0.36022,1888.1099769000002,2018-08-26
53,1535381280000.0,0.36022,0.36022,0.36022,0.36022,982.83237807,2018-08-27
54,1535485980000.0,0.39771,0.39774,0.39774,0.39771,3000.0,2018-08-28
55,1535559360000.0,0.38472,0.38472,0.38472,0.38472,277.50000416,2018-08-29
56,1535630220000.0,0.35715,0.35393,0.35715,0.35393,332.04229118,2018-08-30
57,1535719440000.0,0.361,0.361,0.361,0.361,30.0,2018-08-31
58,1535824860000.0,0.37879,0.37878,0.37879,0.37878,420.0,2018-09-01
59,1535932620000.0,0.37299,0.37299,0.37299,0.37299,120.0,2018-09-02
60,1536018480000.0,0.35201,0.35201,0.35201,0.35201,39.582,2018-09-03
61,1536035520000.0,0.35200000000000004,0.35001,0.35200000000000004,0.35001,98.360656,2018-09-04
62,1536191880000.0,0.25003000000000003,0.25003000000000003,0.25003000000000003,0.25003000000000003,866.0385894,2018-09-05
63,1536259320000.0,0.33924,0.33924,0.33924,0.33924,174.02892357,2018-09-06
64,1536316320000.0,0.2505,0.2505,0.2505,0.2505,49.9,2018-09-07
65,1536447840000.0,0.217,0.217,0.217,0.217,200.957,2018-09-08
66,1536535260000.0,0.2,0.2,0.2,0.2,1091.92719766,2018-09-09
67,1536612540000.0,0.21658000000000002,0.217,0.217,0.21658000000000002,748.45674386,2018-09-10
68,1536678120000.0,0.21,0.2,0.21,0.2,789.20314448,2018-09-11
69,1536796320000.0,0.21,0.21,0.21,0.21,79.92,2018-09-12
70,1536876660000.0,0.20114,0.20114,0.20114,0.20114,99.9,2018-09-13
71,1536891840000.0,0.20114,0.20114,0.20114,0.20114,6000.0,2018-09-14
72,1536969600000.0, 1.996E-01, 1.996E-01, 1.996E-01, 1.996E-01, 4.906E+03,2018-09-15
