,time,open,close,high,low,volume,the_date
0,1541114460000.0,0.007511,0.007511,0.007511,0.007511,7880.0,2018-11-01
1,1541199060000.0,0.0085756,0.0085756,0.0085756,0.0085756,3500.0,2018-11-02
2,1541256780000.0,0.008,0.008,0.008,0.008,4684.78932533,2018-11-03
3,1541367180000.0,0.008118,0.008118,0.008118,0.008118,7503.01250979,2018-11-04
4,1541419140000.0,0.0077465,0.0077465,0.0077465,0.0077465,12836.91514063,2018-11-05
5,1541544840000.0,0.0082796,0.008301600000000001,0.008301600000000001,0.0082796,17908.52922594,2018-11-06
6,1541566560000.0,0.0082112,0.0082112,0.0082112,0.0082112,5759.60183467,2018-11-07
7,1541706480000.0,0.0081,0.0081,0.0081,0.0081,3318.85185185,2018-11-08
8,1541798160000.0,0.008,0.008,0.008,0.008,30631.80700418,2018-11-09
9,1541854920000.0,0.0081,0.0081,0.0081,0.0081,6128.2070605,2018-11-10
10,1541976780000.0,0.008,0.008,0.008,0.008,27957.99019678,2018-11-11
11,1542055380000.0,0.008,0.0079,0.008,0.0079,28104.59226528,2018-11-12
12,1542147600000.0,0.0079574,0.0079574,0.0079574,0.0079574,5601.82396686,2018-11-13
13,1542238020000.0,0.007499,0.007499,0.007499,0.007499,3992.0,2018-11-14
14,1542326160000.0,0.00755,0.00755,0.00755,0.00755,1.077E-5,2018-11-15
15,1542408900000.0,0.007322499999999999,0.007322499999999999,0.007322499999999999,0.007322499999999999,4587.32102736,2018-11-16
16,1542483180000.0,0.00716,0.0071671999999999994,0.0071671999999999994,0.00716,8692.951650370003,2018-11-17
17,1542576240000.0,0.0072923,0.0072923,0.0072923,0.0072923,4981.40922825,2018-11-18
18,1542663960000.0,0.0062186,0.0062186,0.0062186,0.0062186,3356.20815715,2018-11-19
19,1542758160000.0,0.0056,0.0056,0.0056,0.0056,4156.34249192,2018-11-20
20,1542836100000.0,0.005797999999999999,0.005797999999999999,0.005797999999999999,0.005797999999999999,4936.64175449,2018-11-21
21,1542931020000.0,0.0056457,0.0056423,0.0056457,0.0056423,10395.48140238,2018-11-22
22,1543013760000.0,0.0053189,0.005326699999999999,0.005326699999999999,0.0053189,49786.30769909,2018-11-23
23,1543099140000.0,0.004917899999999999,0.004917899999999999,0.004917899999999999,0.004917899999999999,1981.53131,2018-11-24
24,1543182420000.0,0.0050783,0.0050783,0.0050783,0.0050783,9961.03742752,2018-11-25
25,1543276320000.0,0.0046,0.0046152,0.0046152,0.0046,32009.95608075,2018-11-26
26,1543358580000.0,0.0045765,0.004599499999999999,0.004599499999999999,0.0045765,30520.59464239,2018-11-27
27,1543437720000.0,0.0049722,0.0049722,0.0049722,0.0049722,5008.872977,2018-11-28
28,1543533180000.0,0.0047455,0.0047505,0.0047505,0.0047455,5021.98500796,2018-11-29
29,1543613640000.0,0.0049422,0.0049069,0.0049422,0.0049069,32490.86853495,2018-11-30
30,1543663980000.0,0.0050515000000000004,0.0050566000000000005,0.0050566000000000005,0.0050515000000000004,9965.05126015,2018-12-01
31,1543788180000.0,0.0050305,0.0050305,0.0050305,0.0050305,3586.3290488000007,2018-12-02
32,1543874880000.0,0.0047427,0.004737699999999999,0.0047427,0.004737699999999999,5255.20723704,2018-12-03
33,1543965540000.0,0.005060800000000001,0.005060800000000001,0.005060800000000001,0.005060800000000001,41712.92581551,2018-12-04
34,1544053500000.0,0.00443,0.00443,0.00443,0.00443,4956.83967735,2018-12-05
35,1544140020000.0,0.0054778,0.0054778,0.0054778,0.0054778,4579.49333135,2018-12-06
36,1544210160000.0,0.0058,0.0058101,0.0058101,0.0058,8079.02449412,2018-12-07
37,1544227200000.0, 5.806E-03, 5.815E-03, 5.815E-03, 5.806E-03, 7.616E+03,2018-12-08
38,1544387760000.0,0.0058606000000000005,0.0058606000000000005,0.0058606000000000005,0.0058606000000000005,3256.73167082,2018-12-09
39,1544457660000.0,0.005293899999999999,0.005292100000000001,0.005293899999999999,0.005292100000000001,7486.04058942,2018-12-10
40,1544514240000.0,0.0052583,0.005169399999999999,0.0052583,0.005169399999999999,93177.35018902,2018-12-11
41,1544606640000.0,0.0051664,0.0051294,0.0051664,0.0051294,19936.89912433,2018-12-12
42,1544660580000.0,0.0054635,0.0054731,0.0054731,0.0054635,6190.071164610001,2018-12-13
43,1544824440000.0,0.0050343,0.0050343,0.0050343,0.0050343,4902.36108721,2018-12-14
44,1544897940000.0,0.0055765,0.0057479,0.0057479,0.0055765,172439.04072941002,2018-12-15
45,1544918400000.0, 5.627E-03, 5.798E-03, 5.798E-03, 5.627E-03, 1.731E+05,2018-12-16
46,1545084480000.0,0.006039,0.006206499999999999,0.006206499999999999,0.006039,178919.33236664,2018-12-17
47,1545091200000.0, 6.049E-03, 6.210E-03, 6.210E-03, 6.049E-03, 1.728E+05,2018-12-18
48,1545225000000.0,0.0062478,0.006280300000000001,0.006280300000000001,0.0062478,51808.00453707,2018-12-19
49,1545323220000.0,0.006379999999999999,0.006379999999999999,0.006379999999999999,0.006379999999999999,1236.63004077,2018-12-20
50,1545350400000.0, 7.556E-03, 7.556E-03, 7.556E-03, 7.556E-03, 1.232E+03,2018-12-21
51,1545522480000.0,0.015,0.015,0.015,0.015,1200.0,2018-12-22
52,1545597420000.0,0.0071,0.0071021999999999995,0.0071021999999999995,0.0071,30754.06380001,2018-12-23
53,1545647460000.0,0.0079352,0.0079352,0.0079352,0.0079352,5821.39,2018-12-24
54,1545696000000.0, 7.706E-03, 7.690E-03, 7.706E-03, 7.690E-03, 5.690E+03,2018-12-25
55,1545782400000.0, 7.299E-03, 7.255E-03, 7.299E-03, 7.255E-03, 5.455E+03,2018-12-26
56,1545951960000.0,0.006500100000000001,0.0064,0.006500100000000001,0.0064,4994.99942148,2018-12-27
57,1545955200000.0, 6.534E-03, 6.438E-03, 6.534E-03, 6.438E-03, 4.873E+03,2018-12-28
58,1546046940000.0,0.0075,0.0075,0.0075,0.0075,1406.03579035,2018-12-29
59,1546191300000.0,0.007443099999999999,0.007443099999999999,0.007443099999999999,0.007443099999999999,8091.60776136,2018-12-30
60,1546294860000.0,0.006792100000000001,0.006780800000000001,0.006792100000000001,0.006780800000000001,9974.42925873,2018-12-31
61,1546373460000.0,0.0073,0.0073,0.0073,0.0073,27566.80316986,2019-01-01
62,1546465860000.0,0.0072789000000000005,0.0072789000000000005,0.0072789000000000005,0.0072789000000000005,4888.94747804,2019-01-02
63,1546473600000.0, 7.279E-03, 7.279E-03, 7.279E-03, 7.279E-03, 4.689E+03,2019-01-03
64,1546603860000.0,0.0072789000000000005,0.0072789000000000005,0.0072789000000000005,0.0072789000000000005,1324.0,2019-01-04
65,1546647540000.0,0.0072789000000000005,0.0072789000000000005,0.0072789000000000005,0.0072789000000000005,10069.20651893,2019-01-05
66,1546768260000.0,0.0072858,0.0072858,0.0072858,0.0072858,3019.57231875,2019-01-06
67,1546885440000.0,0.0067,0.0067,0.0067,0.0067,414.68702011,2019-01-07
68,1546905600000.0, 6.769E-03, 6.769E-03, 6.769E-03, 6.769E-03, 1.735E+03,2019-01-08
69,1547069100000.0,0.0073271000000000005,0.0073271000000000005,0.0073271000000000005,0.0073271000000000005,12445.51123091,2019-01-09
70,1547147820000.0,0.0063490000000000005,0.0063398000000000005,0.0063490000000000005,0.0063398000000000005,13562.5501497,2019-01-10
71,1547240940000.0,0.006268500000000001,0.006231899999999999,0.006268500000000001,0.006231899999999999,12420.62020845,2019-01-11
72,1547325660000.0,0.0059911,0.0058973,0.0059911,0.0058973,27246.0,2019-01-12
73,1547423940000.0,0.0057455,0.0056827,0.0057455,0.0056827,9346.74851,2019-01-13
74,1547485620000.0,0.0062999,0.0062999,0.0062999,0.0062999,1500.0000111,2019-01-14
75,1547584800000.0,0.0056088,0.0055848,0.0056088,0.0055848,10097.27115836,2019-01-15
76,1547662020000.0,0.0057902,0.005831899999999999,0.005831899999999999,0.0057902,56211.22835803,2019-01-16
77,1547761380000.0,0.0056841,0.0056841,0.0056841,0.0056841,2910.13969436,2019-01-17
78,1547827380000.0,0.0057735,0.0057735,0.0057735,0.0057735,2846.89133108,2019-01-18
79,1547893860000.0,0.0059583,0.0059583,0.0059583,0.0059583,4550.09540472,2019-01-19
80,1548005820000.0,0.005571899999999999,0.0055598999999999996,0.005571899999999999,0.0055598999999999996,6315.21690097,2019-01-20
81,1548110640000.0,0.0053284,0.005301,0.0053284,0.005301,15505.18872804,2019-01-21
82,1548188040000.0,0.0053225,0.005340600000000001,0.005340600000000001,0.0053225,5266.51301232,2019-01-22
83,1548201600000.0, 5.319E-03, 5.334E-03, 5.335E-03, 5.317E-03, 6.693E+03,2019-01-23
84,1548327780000.0,0.0052859,0.0052693,0.0052859,0.0052693,19971.22450168,2019-01-24
85,1548374400000.0, 5.264E-03, 5.243E-03, 5.264E-03, 5.243E-03, 2.317E+04,2019-01-25
