,time,open,close,high,low,volume,the_date
0,1529017920000.0,1.1938E-4,1.1939E-4,1.1939E-4,1.1938E-4,10.0,2018-06-14
1,1529103240000.0,7.0E-5,7.0E-5,7.0E-5,7.0E-5,1324.06154454,2018-06-15
2,1529187420000.0,6.056E-5,5.914E-5,6.056E-5,5.912E-5,4519.7505,2018-06-16
3,1529231760000.0,7.0E-5,7.0E-5,7.0E-5,7.0E-5,34.0,2018-06-17
4,1529355060000.0,5.9E-5,5.9E-5,5.9E-5,5.9E-5,236.29305084,2018-06-18
5,1529427180000.0,5.607E-5,5.607E-5,5.607E-5,5.607E-5,603.52225779,2018-06-19
6,1529538960000.0,6.53E-5,6.53E-5,6.53E-5,6.53E-5,55.0,2018-06-20
7,1529589960000.0,6.49E-5,6.49E-5,6.49E-5,6.49E-5,27.0,2018-06-21
8,1529705760000.0,5.405E-5,5.405E-5,5.405E-5,5.405E-5,275.0,2018-06-22
9,1529712000000.0, 5.373E-05, 5.373E-05, 5.373E-05, 5.373E-05, 2.750E+02,2018-06-23
10,1529798400000.0, 4.925E-05, 4.925E-05, 4.925E-05, 4.925E-05, 2.749E+02,2018-06-24
11,1529970780000.0,4.033E-5,4.033E-5,4.033E-5,4.033E-5,274.72,2018-06-25
12,1530041340000.0,4.558E-5,4.332E-5,4.5600000000000004E-5,4.332E-5,3878.57782833,2018-06-26
13,1530057600000.0, 4.539E-05, 4.340E-05, 4.541E-05, 4.340E-05, 3.446E+03,2018-06-27
14,1530174960000.0,4.4E-5,4.4E-5,4.4E-5,4.4E-5,322.30613636,2018-06-28
15,1530230400000.0, 4.567E-05, 4.567E-05, 4.567E-05, 4.567E-05, 3.477E+02,2018-06-29
16,1530375600000.0,5.003E-5,5.003E-5,5.003E-5,5.003E-5,414.16,2018-06-30
17,1530471600000.0,4.904E-5,4.904E-5,4.904E-5,4.904E-5,63.998999999999995,2018-07-01
18,1530511620000.0,6.607E-5,6.607E-5,6.607E-5,6.607E-5,50.0,2018-07-02
19,1530610740000.0,5.920000000000001E-5,5.920000000000001E-5,5.920000000000001E-5,5.920000000000001E-5,134.48226351,2018-07-03
20,1530662400000.0, 5.933E-05, 5.933E-05, 5.933E-05, 5.933E-05, 2.098E+02,2018-07-04
21,1530748800000.0, 5.956E-05, 5.956E-05, 5.956E-05, 5.956E-05, 3.356E+02,2018-07-05
22,1530921120000.0,5.9999999999999995E-5,5.9999999999999995E-5,5.9999999999999995E-5,5.9999999999999995E-5,586.73098363,2018-07-06
23,1530997380000.0,5.199E-5,5.199E-5,5.199E-5,5.199E-5,356.38326,2018-07-07
24,1531055100000.0,6.993E-5,6.993E-5,6.993E-5,6.993E-5,143.00013732,2018-07-08
25,1531172820000.0,5.749E-5,5.748E-5,5.749E-5,5.748E-5,612.0,2018-07-09
26,1531182480000.0,5.501E-5,5.501E-5,5.501E-5,5.501E-5,77.24359207,2018-07-10
27,1531267200000.0, 5.271E-05, 5.271E-05, 5.271E-05, 5.271E-05, 1.829E+02,2018-07-11
28,1531431300000.0,4.825E-5,4.825E-5,4.825E-5,4.825E-5,387.58577961,2018-07-12
29,1531515900000.0,7.3E-5,7.3E-5,7.3E-5,7.3E-5,200.0,2018-07-13
30,1531607400000.0,4.77E-5,4.77E-5,4.77E-5,4.77E-5,199.6,2018-07-14
31,1531678020000.0,7.264E-5,7.264E-5,7.264E-5,7.264E-5,284.57378854,2018-07-15
32,1531765440000.0,7.097E-5,7.097E-5,7.097E-5,7.097E-5,152.73707199999998,2018-07-16
33,1531785600000.0, 7.076E-05, 7.076E-05, 7.076E-05, 7.076E-05, 1.435E+02,2018-07-17
34,1531923780000.0,6.935E-5,6.935E-5,6.935E-5,6.935E-5,80.0,2018-07-18
35,1532013900000.0,5.3E-5,5.3E-5,5.3E-5,5.3E-5,142.71413705,2018-07-19
36,1532099700000.0,5.2000000000000004E-5,5.2000000000000004E-5,5.2000000000000004E-5,5.2000000000000004E-5,85.47692307,2018-07-20
37,1532200440000.0,5.3E-5,5.406E-5,5.407E-5,5.3E-5,5283.74289605,2018-07-21
38,1532221860000.0,5.2000000000000004E-5,5.2000000000000004E-5,5.2000000000000004E-5,5.2000000000000004E-5,198.71846153,2018-07-22
39,1532357460000.0,5.195E-5,5.195E-5,5.195E-5,5.195E-5,89.2879692,2018-07-23
40,1532438280000.0,4.795E-5,4.795E-5,4.795E-5,4.795E-5,1288.31138699,2018-07-24
41,1532489880000.0,4.795E-5,4.795E-5,4.795E-5,4.795E-5,380.4225599,2018-07-25
42,1532563200000.0, 4.795E-05, 4.795E-05, 4.795E-05, 4.795E-05, 3.090E+02,2018-07-26
43,1532649600000.0, 4.795E-05, 4.795E-05, 4.795E-05, 4.795E-05, 2.249E+02,2018-07-27
44,1532815800000.0,4.795E-5,4.795E-5,4.795E-5,4.795E-5,63.09091042,2018-07-28
45,1532906580000.0,4.5E-5,4.5E-5,4.5E-5,4.5E-5,66.64001418,2018-07-29
46,1532978100000.0,5.02E-5,5.02E-5,5.02E-5,5.02E-5,97.29154825,2018-07-30
47,1533038340000.0,5.035E-5,5.031E-5,5.035E-5,5.031E-5,3218.19556724,2018-07-31
48,1533089940000.0,4.9E-5,4.9E-5,4.9E-5,4.9E-5,222.5,2018-08-01
49,1533228540000.0,4.15E-5,4.15E-5,4.15E-5,4.15E-5,1499.85793023,2018-08-02
50,1533264840000.0,3.757E-5,3.71E-5,3.757E-5,3.71E-5,1313.05806977,2018-08-03
51,1533396420000.0,3.5E-5,3.5E-5,3.5E-5,3.5E-5,1198.21787535,2018-08-04
52,1533427200000.0, 3.579E-05, 3.579E-05, 3.579E-05, 3.579E-05, 1.116E+03,2018-08-05
53,1533570240000.0,3.944E-5,3.944E-5,3.944E-5,3.944E-5,735.52801348,2018-08-06
54,1533683580000.0,4.017E-5,4.017E-5,4.017E-5,4.017E-5,0.16495489,2018-08-07
55,1533755100000.0,3.01E-5,2.9999999999999997E-5,3.01E-5,2.9999999999999997E-5,4152.0,2018-08-08
56,1533799980000.0,3.6E-5,3.6E-5,3.6E-5,3.6E-5,144.0,2018-08-09
57,1533925740000.0,3.623E-5,3.624E-5,3.624E-5,3.623E-5,176.04394122,2018-08-10
58,1534031760000.0,3.451E-5,3.452E-5,3.452E-5,3.451E-5,484.0,2018-08-11
59,1534091580000.0,3.431E-5,3.431E-5,3.431E-5,3.431E-5,87.956,2018-08-12
60,1534199100000.0,2.857E-5,2.857E-5,2.857E-5,2.857E-5,499.7250864,2018-08-13
61,1534260960000.0,2.482E-5,2.481E-5,2.482E-5,2.481E-5,2464.0,2018-08-14
62,1534342980000.0,2.514E-5,2.514E-5,2.514E-5,2.514E-5,167.37621406,2018-08-15
63,1534440060000.0,3.101E-5,3.101E-5,3.101E-5,3.101E-5,1498.5,2018-08-16
64,1534503120000.0,3.076E-5,3.072E-5,3.076E-5,3.072E-5,4004.35072468,2018-08-17
65,1534556160000.0,3.166E-5,3.165E-5,3.166E-5,3.165E-5,1288.23900682,2018-08-18
66,1534636800000.0, 3.073E-05, 3.072E-05, 3.073E-05, 3.072E-05, 9.813E+02,2018-08-19
67,1534723200000.0, 2.973E-05, 2.972E-05, 2.973E-05, 2.972E-05, 6.524E+02,2018-08-20
68,1534868340000.0,2.805E-5,2.805E-5,2.805E-5,2.805E-5,100.0,2018-08-21
69,1534930980000.0,2.95E-5,2.95E-5,2.95E-5,2.95E-5,3335.2854,2018-08-22
70,1534982400000.0, 2.897E-05, 2.897E-05, 2.897E-05, 2.897E-05, 2.554E+03,2018-08-23
71,1535123220000.0,2.75E-5,2.75E-5,2.75E-5,2.75E-5,413.23356495,2018-08-24
72,1535239500000.0,3.1E-5,3.1E-5,3.1E-5,3.1E-5,538.46673614,2018-08-25
73,1535243280000.0,3.096E-5,3.096E-5,3.096E-5,3.096E-5,56.7518688,2018-08-26
74,1535414100000.0,3.8900000000000004E-5,3.8900000000000004E-5,3.8900000000000004E-5,3.8900000000000004E-5,134.66580976,2018-08-27
75,1535498280000.0,2.896E-5,2.896E-5,2.896E-5,2.896E-5,293.0,2018-08-28
76,1535554680000.0,3.17E-5,3.17E-5,3.17E-5,3.17E-5,200.0,2018-08-29
77,1535624100000.0,3.122E-5,3.397E-5,3.397E-5,3.122E-5,535.7921198,2018-08-30
