,time,open,close,high,low,volume,the_date
0,1516838100000.0,2.8199999999999998E-5,2.8199999999999998E-5,2.8199999999999998E-5,2.8199999999999998E-5,201.0694,2018-01-24
1,1516922400000.0,2.9100000000000003E-5,2.9100000000000003E-5,2.9100000000000003E-5,2.9100000000000003E-5,4.639E-5,2018-01-25
2,1517011140000.0,2.894E-5,2.886E-5,2.895E-5,2.886E-5,1398.8895,2018-01-26
3,1517097540000.0,2.896E-5,2.894E-5,2.896E-5,2.891E-5,7294.8312,2018-01-27
4,1517183940000.0,2.823E-5,2.823E-5,2.824E-5,2.823E-5,2341.3477000000007,2018-01-28
5,1517270100000.0,2.871E-5,2.871E-5,2.871E-5,2.871E-5,983.7094,2018-01-29
6,1517356740000.0,2.539E-5,2.539E-5,2.54E-5,2.539E-5,3599.5002,2018-01-30
7,1517442540000.0,2.49E-5,2.492E-5,2.492E-5,2.49E-5,1988.8623710000002,2018-01-31
8,1517526120000.0,2.259E-5,2.259E-5,2.259E-5,2.259E-5,482.90047487,2018-02-01
9,1517614800000.0,2.111E-5,2.111E-5,2.112E-5,2.111E-5,18126.4,2018-02-02
10,1517701500000.0,2.1899999999999997E-5,2.1899999999999997E-5,2.1899999999999997E-5,2.1899999999999997E-5,100.005865,2018-02-03
11,1517785620000.0,2.08E-5,2.103E-5,2.103E-5,2.08E-5,571.50177917,2018-02-04
12,1517874600000.0,1.961E-5,1.961E-5,1.961E-5,1.961E-5,2025.0770000000002,2018-02-05
13,1517961540000.0,2.08E-5,2.068E-5,2.08E-5,2.068E-5,2167.6889,2018-02-06
14,1518047880000.0,2.033E-5,2.033E-5,2.033E-5,2.033E-5,207.99862255,2018-02-07
15,1518131100000.0,2.141E-5,2.141E-5,2.141E-5,2.141E-5,62.0,2018-02-08
16,1518216960000.0,2.169E-5,2.169E-5,2.169E-5,2.169E-5,732.7330000000001,2018-02-09
17,1518307140000.0,2.066E-5,2.065E-5,2.066E-5,2.065E-5,2057.7833,2018-02-10
18,1518392760000.0,2.144E-5,2.145E-5,2.145E-5,2.144E-5,2560.0373,2018-02-11
19,1518479940000.0,2.168E-5,2.167E-5,2.168E-5,2.167E-5,2275.8179999999998,2018-02-12
20,1518566340000.0,2.108E-5,2.108E-5,2.108E-5,2.108E-5,3353.261,2018-02-13
21,1518652740000.0,2.033E-5,2.032E-5,2.033E-5,2.032E-5,3549.8456,2018-02-14
22,1518736500000.0,1.841E-5,1.841E-5,1.841E-5,1.841E-5,522.87743491,2018-02-15
23,1518825300000.0,1.89E-5,1.891E-5,1.891E-5,1.89E-5,360.41911773,2018-02-16
24,1518900600000.0,1.85E-5,1.85E-5,1.85E-5,1.85E-5,242.87520259,2018-02-17
25,1518996420000.0,1.7100000000000002E-5,1.7100000000000002E-5,1.7100000000000002E-5,1.7100000000000002E-5,750.0,2018-02-18
26,1519075800000.0,1.65E-5,1.65E-5,1.65E-5,1.65E-5,499.5,2018-02-19
27,1519170180000.0,1.419E-5,1.419E-5,1.419E-5,1.419E-5,7740.86784263,2018-02-20
28,1519255620000.0,1.499E-5,1.499E-5,1.499E-5,1.499E-5,2850.0,2018-02-21
29,1519339440000.0,1.498E-5,1.498E-5,1.498E-5,1.498E-5,688.975,2018-02-22
30,1519426560000.0,1.503E-5,1.504E-5,1.504E-5,1.503E-5,5634.589,2018-02-23
31,1519504620000.0,1.459E-5,1.459E-5,1.459E-5,1.459E-5,151.36808759,2018-02-24
32,1519603140000.0,1.473E-5,1.473E-5,1.473E-5,1.473E-5,2395.5805,2018-02-25
33,1519689540000.0,1.429E-5,1.428E-5,1.429E-5,1.428E-5,4775.4566860099985,2018-02-26
34,1519771020000.0,1.343E-5,1.343E-5,1.343E-5,1.343E-5,838.32,2018-02-27
35,1519858200000.0,1.298E-5,1.295E-5,1.298E-5,1.295E-5,298.73,2018-02-28
36,1519946340000.0,1.329E-5,1.34E-5,1.34E-5,1.329E-5,4580.58907665,2018-03-01
37,1520030460000.0,1.379E-5,1.386E-5,1.386E-5,1.379E-5,3270.74854401,2018-03-02
38,1520120760000.0,1.25E-5,1.25E-5,1.25E-5,1.25E-5,250.0,2018-03-03
39,1520207940000.0,1.233E-5,1.233E-5,1.233E-5,1.233E-5,1796.9204,2018-03-04
40,1520294340000.0,1.264E-5,1.265E-5,1.265E-5,1.264E-5,1304.2194,2018-03-05
41,1520380740000.0,1.3800000000000002E-5,1.382E-5,1.382E-5,1.3800000000000002E-5,2292.531,2018-03-06
42,1520467140000.0,1.267E-5,1.267E-5,1.267E-5,1.267E-5,1346.8926,2018-03-07
43,1520553540000.0,1.231E-5,1.239E-5,1.239E-5,1.231E-5,3763.5611,2018-03-08
44,1520639940000.0,1.181E-5,1.181E-5,1.181E-5,1.181E-5,986.1546,2018-03-09
45,1520726340000.0,1.154E-5,1.155E-5,1.155E-5,1.154E-5,3364.6167,2018-03-10
46,1520812740000.0,1.167E-5,1.167E-5,1.167E-5,1.167E-5,1930.1597,2018-03-11
47,1520899140000.0,1.164E-5,1.164E-5,1.164E-5,1.164E-5,2740.9154,2018-03-12
48,1520985540000.0,1.131E-5,1.13E-5,1.131E-5,1.13E-5,1656.4232,2018-03-13
49,1521071940000.0,1.119E-5,1.119E-5,1.119E-5,1.119E-5,728.7328,2018-03-14
50,1521158340000.0,1.221E-5,1.221E-5,1.221E-5,1.221E-5,1884.0685,2018-03-15
51,1521244740000.0,1.187E-5,1.186E-5,1.187E-5,1.186E-5,1418.3211,2018-03-16
52,1521331140000.0,1.129E-5,1.129E-5,1.129E-5,1.129E-5,2323.2011,2018-03-17
53,1521417540000.0,1.027E-5,1.023E-5,1.027E-5,1.023E-5,2966.2574,2018-03-18
