,time,open,close,high,low,volume,the_date
0,1516836540000.0,3.1120000000000003E-4,3.111E-4,3.1120000000000003E-4,3.111E-4,200.0,2018-01-24
1,1516912500000.0,3.0308E-4,3.0308E-4,3.0308E-4,3.0308E-4,160.16068365,2018-01-25
2,1517008440000.0,3.0548E-4,3.0548E-4,3.0548E-4,3.0548E-4,6775.057643699999,2018-01-26
3,1517077680000.0,3.06E-4,3.06E-4,3.06E-4,3.06E-4,60.0,2018-01-27
4,1517178480000.0,2.6839999999999996E-4,2.6839999999999996E-4,2.6839999999999996E-4,2.6839999999999996E-4,1398.6,2018-01-28
5,1517257200000.0,2.738E-4,2.738E-4,2.738E-4,2.738E-4,998.0,2018-01-29
6,1517354040000.0,2.4707E-4,2.4707E-4,2.4707E-4,2.4707E-4,2113.98016275,2018-01-30
7,1517437020000.0,2.2418E-4,2.2418E-4,2.2418E-4,2.2418E-4,389.924113,2018-01-31
8,1517520660000.0,2.1568E-4,2.1655E-4,2.1655E-4,2.1568E-4,2380.07919147,2018-02-01
9,1517603100000.0,1.8736E-4,1.8595E-4,1.8736E-4,1.8595E-4,18781.2,2018-02-02
10,1517701860000.0,2.1396E-4,2.1387E-4,2.1396E-4,2.1387E-4,1790.0,2018-02-03
11,1517764680000.0,2.0325E-4,2.0313E-4,2.0325E-4,2.0313E-4,629.471403,2018-02-04
12,1517864580000.0,1.9633E-4,1.9519E-4,1.9633E-4,1.9519E-4,4395.138,2018-02-05
13,1517961540000.0,2.0221E-4,2.0221E-4,2.0221E-4,2.0221E-4,222.21599999999998,2018-02-06
14,1518047880000.0,2.0455E-4,2.0452E-4,2.0455E-4,2.0452E-4,741.75,2018-02-07
15,1518122760000.0,2.1883E-4,2.1883E-4,2.1883E-4,2.1883E-4,452.52367000000004,2018-02-08
16,1518185340000.0,2.1285E-4,2.1285E-4,2.1285E-4,2.1285E-4,186.0,2018-02-09
17,1518266520000.0,2.06E-4,2.06E-4,2.06E-4,2.06E-4,204.62999101,2018-02-10
18,1518386880000.0,2.6000000000000003E-4,2.6000000000000003E-4,2.6000000000000003E-4,2.6000000000000003E-4,581.83086492,2018-02-11
19,1518466200000.0,2.3227E-4,2.3227E-4,2.3227E-4,2.3227E-4,101.90263849,2018-02-12
20,1518550200000.0,2.1435E-4,2.1435E-4,2.1435E-4,2.1435E-4,250.0,2018-02-13
21,1518637860000.0,2.0528E-4,2.0529E-4,2.0529E-4,2.0528E-4,2253.8,2018-02-14
22,1518738900000.0,1.9980000000000003E-4,1.9973E-4,1.9980000000000003E-4,1.9973E-4,974.2947,2018-02-15
23,1518825180000.0,2.0667E-4,2.0764E-4,2.0766E-4,2.0667E-4,3632.5488,2018-02-16
24,1518905340000.0,2.0465E-4,2.0465E-4,2.0465E-4,2.0465E-4,130.62947427,2018-02-17
25,1518997440000.0,1.9575E-4,1.9575E-4,1.9575E-4,1.9575E-4,3339.792,2018-02-18
26,1519080060000.0,1.9186E-4,1.9186E-4,1.9186E-4,1.9186E-4,2105.6,2018-02-19
