,time,open,close,high,low,volume,the_date
0,1523136900000.0,1.75E-4,1.75E-4,1.75E-4,1.75E-4,10.0,2018-04-07
1,1523226420000.0,2.13E-4,2.13E-4,2.13E-4,2.13E-4,11.0,2018-04-08
2,1523312100000.0,1.84E-4,1.8449999999999999E-4,1.8449999999999999E-4,1.84E-4,171.15982617,2018-04-09
3,1523401260000.0,1.7998E-4,1.7998E-4,1.7998E-4,1.7998E-4,240.47116746,2018-04-10
4,1523481360000.0,1.8691E-4,1.8691E-4,1.8691E-4,1.8691E-4,32.83802103,2018-04-11
5,1523564820000.0,1.8225E-4,1.8225E-4,1.8225E-4,1.8225E-4,170.98866633999995,2018-04-12
6,1523660880000.0,1.9402E-4,1.9402E-4,1.9402E-4,1.9402E-4,40.0,2018-04-13
7,1523740020000.0,1.9409999999999997E-4,1.9409999999999997E-4,1.9409999999999997E-4,1.9409999999999997E-4,785.97402142,2018-04-14
8,1523823120000.0,2.0134E-4,2.0134E-4,2.0134E-4,2.0134E-4,75.13651693,2018-04-15
9,1523908320000.0,2.0143E-4,2.0143E-4,2.0143E-4,2.0143E-4,125.042172,2018-04-16
10,1523975340000.0,2.077E-4,2.077E-4,2.077E-4,2.077E-4,31.995,2018-04-17
11,1524093420000.0,2.1930000000000002E-4,2.1930000000000002E-4,2.1930000000000002E-4,2.1930000000000002E-4,56.98914927,2018-04-18
12,1524180600000.0,2.4731E-4,2.4731E-4,2.4731E-4,2.4731E-4,16.16618842,2018-04-19
13,1524254460000.0,2.3740000000000002E-4,2.3740000000000002E-4,2.3740000000000002E-4,2.3740000000000002E-4,41.99663016,2018-04-20
14,1524329400000.0,2.0849E-4,2.0848E-4,2.085E-4,2.0848E-4,324.71968,2018-04-21
15,1524439740000.0,2.3522E-4,2.3505E-4,2.3522E-4,2.3504E-4,1375.34,2018-04-22
16,1524525780000.0,2.2007E-4,2.2007E-4,2.2007E-4,2.2007E-4,134.25599586,2018-04-23
17,1524612060000.0,2.3744E-4,2.3707E-4,2.3744E-4,2.3707E-4,136.0,2018-04-24
18,1524700200000.0,2.1777E-4,2.1777E-4,2.1777E-4,2.1777E-4,264.24102999999997,2018-04-25
19,1524779040000.0,2.2822E-4,2.2822E-4,2.2822E-4,2.2822E-4,8.81777777,2018-04-26
20,1524861720000.0,2.2891E-4,2.2891E-4,2.2891E-4,2.2891E-4,13.150494,2018-04-27
21,1524945480000.0,2.5246E-4,2.5246E-4,2.5246E-4,2.5246E-4,11.880247099999998,2018-04-28
22,1525041780000.0,2.496E-4,2.496E-4,2.496E-4,2.496E-4,21.21849276,2018-04-29
23,1525132440000.0,2.5021E-4,2.5099E-4,2.5099E-4,2.5E-4,730.584,2018-04-30
24,1525217340000.0,2.4767E-4,2.4774E-4,2.4774E-4,2.4767E-4,158.89904805999996,2018-05-01
25,1525272360000.0,2.4743E-4,2.4743E-4,2.4743E-4,2.4743E-4,23.02302303,2018-05-02
26,1525380060000.0,2.625E-4,2.6014E-4,2.625E-4,2.6014E-4,160.0,2018-05-03
27,1525470240000.0,2.4155E-4,2.4155E-4,2.4155E-4,2.4155E-4,12.298737,2018-05-04
28,1525564680000.0,2.3148E-4,2.3148E-4,2.3148E-4,2.3148E-4,122.67622623,2018-05-05
29,1525629840000.0,2.3777E-4,2.3777E-4,2.3777E-4,2.3777E-4,100.0,2018-05-06
30,1525708560000.0,2.3665E-4,2.3665E-4,2.3665E-4,2.3665E-4,10.0,2018-05-07
31,1525800780000.0,2.1415E-4,2.1415E-4,2.1415E-4,2.1415E-4,150.51599344,2018-05-08
