,time,open,close,high,low,volume,the_date
0,1547591700000,6.039e-05,6.039e-05,6.039e-05,6.039e-05,0.001,2019-01-15
1,1547679960000,5.062e-05,5.062e-05,5.062e-05,5.062e-05,98.67167127,2019-01-16
2,1547765160000,5.231e-05,5.204e-05,5.231e-05,5.204e-05,17732.0,2019-01-17
3,1547853420000,4.59e-05,4.59e-05,4.59e-05,4.59e-05,1000.0,2019-01-18
4,1547941080000,3.845e-05,3.845e-05,3.845e-05,3.845e-05,259.0,2019-01-19
5,1548028620000,3.465e-05,3.465e-05,3.465e-05,3.465e-05,54.0,2019-01-20
6,1548113820000,3.109e-05,3.2500000000000004e-05,3.2500000000000004e-05,3.109e-05,15934.71405218,2019-01-21
7,1548182760000,3.646e-05,3.63e-05,3.646e-05,3.63e-05,6961.30708144,2019-01-22
8,1548287940000,3.7e-05,3.589e-05,3.7e-05,3.589e-05,2836.19552731,2019-01-23
9,1548373680000,3.63e-05,3.63e-05,3.63e-05,3.63e-05,2460.0,2019-01-24
10,1548458400000,3.782e-05,3.782e-05,3.782e-05,3.782e-05,3171.70512,2019-01-25
11,1548529200000,3.764e-05,3.764e-05,3.764e-05,3.764e-05,1685.41289998,2019-01-26
12,1548629820000,3.9e-05,3.9e-05,3.9e-05,3.9e-05,2275.06265999,2019-01-27
13,1548719820000,3.75e-05,3.75e-05,3.75e-05,3.75e-05,1859.35268602,2019-01-28
14,1548805920000,3.637e-05,3.591e-05,3.744e-05,3.591e-05,3305.35000261,2019-01-29
15,1548891060000,3.7e-05,3.7e-05,3.7e-05,3.7e-05,16038.17500795,2019-01-30
16,1548976560000,3.5e-05,3.5e-05,3.5e-05,3.5e-05,8850.83634,2019-01-31
17,1549043640000,3.358e-05,3.358e-05,3.358e-05,3.358e-05,4605.0,2019-02-01
18,1549146840000,2.95e-05,2.95e-05,2.95e-05,2.95e-05,7711.6856,2019-02-02
19,1549236360000,2.8100000000000002e-05,2.8100000000000002e-05,2.8100000000000002e-05,2.8100000000000002e-05,110.46,2019-02-03
20,1549315260000,2.694e-05,2.694e-05,2.694e-05,2.694e-05,6585.96,2019-02-04
21,1549398540000,2.645e-05,2.645e-05,2.645e-05,2.645e-05,299.2024307,2019-02-05
22,1549495860000,2.7600000000000003e-05,2.7600000000000003e-05,2.7600000000000003e-05,2.7600000000000003e-05,210.57971014,2019-02-06
23,1549577640000,2.9199999999999998e-05,2.8899999999999998e-05,2.9199999999999998e-05,2.8899999999999998e-05,8639.9698,2019-02-07
24,1549669560000,2.582e-05,2.582e-05,2.582e-05,2.582e-05,11625.0,2019-02-08
25,1549755300000,2.203e-05,2.225e-05,2.225e-05,2.203e-05,10068.42852707,2019-02-09
26,1549838460000,2.151e-05,2.151e-05,2.151e-05,2.151e-05,2238.01912296,2019-02-10
27,1549929180000,2.33e-05,2.33e-05,2.33e-05,2.33e-05,0.23812994,2019-02-11
28,1550012460000,2.083e-05,2.083e-05,2.083e-05,2.083e-05,8550.00001433,2019-02-12
29,1550102280000,1.675e-05,1.675e-05,1.675e-05,1.675e-05,3630.93632311,2019-02-13
30,1550187960000,2e-05,2.019e-05,2.019e-05,2e-05,202.95,2019-02-14
31,1550274240000,2.161e-05,2.161e-05,2.161e-05,2.161e-05,518.0,2019-02-15
32,1550343960000,2.752e-05,2.752e-05,2.752e-05,2.752e-05,132.0,2019-02-16
33,1550446680000,2.442e-05,2.4100000000000003e-05,2.442e-05,2.4100000000000003e-05,20000.0,2019-02-17
34,1550528160000,2.45e-05,2.45e-05,2.45e-05,2.45e-05,1758.0,2019-02-18
35,1550620200000,2.36e-05,2.317e-05,2.36e-05,2.317e-05,50000.0,2019-02-19
36,1550681040000,2.425e-05,2.4100000000000003e-05,2.425e-05,2.4100000000000003e-05,3593.1800000000007,2019-02-20
37,1550789100000,2.47e-05,2.47e-05,2.47e-05,2.47e-05,3211.49103791,2019-02-21
38,1550873940000,2.471e-05,2.471e-05,2.471e-05,2.471e-05,513.76572,2019-02-22
39,1550953860000,2.343e-05,2.319e-05,2.343e-05,2.319e-05,5300.0,2019-02-23
40,1551020820000,2.5300000000000002e-05,2.5300000000000002e-05,2.5300000000000002e-05,2.5300000000000002e-05,1000.0,2019-02-24
41,1551138180000,2.211e-05,2.192e-05,2.211e-05,2.192e-05,3000.0,2019-02-25
42,1551223860000,2.45e-05,2.45e-05,2.45e-05,2.45e-05,729.67,2019-02-26
43,1551306420000,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2926.27919063,2019-02-27
44,1551385080000,2.369e-05,2.388e-05,2.388e-05,2.369e-05,50000.0,2019-02-28
45,1551464760000,2.379e-05,2.379e-05,2.379e-05,2.379e-05,8390.079865489999,2019-03-01
46,1551551220000,2.233e-05,2.233e-05,2.233e-05,2.233e-05,2096.17,2019-03-02
47,1551648600000,2.23e-05,2.177e-05,2.257e-05,2.177e-05,52500.0,2019-03-03
48,1551730500000,2.104e-05,2.104e-05,2.104e-05,2.104e-05,869.9364,2019-03-04
49,1551824880000,2.056e-05,2.039e-05,2.056e-05,2.039e-05,5081.87303999,2019-03-05
50,1551915300000,2.0300000000000002e-05,2.0300000000000002e-05,2.0300000000000002e-05,2.0300000000000002e-05,8690.0,2019-03-06
