,time,open,close,high,low,volume,the_date
0,1476125280000.0,0.00162,0.00162,0.00162,0.00162,0.1,2016-10-10
1,1476230100000.0,1.8559999999999998E-4,1.8559999999999998E-4,1.8559999999999998E-4,1.8559999999999998E-4,55.99198397,2016-10-11
2,1476316560000.0,2.299E-4,2.299E-4,2.299E-4,2.299E-4,604.20841683,2016-10-12
3,1476399900000.0,2.201E-4,2.201E-4,2.201E-4,2.201E-4,540.99865062,2016-10-13
4,1476470460000.0,2.0171E-4,2.0171E-4,2.0171E-4,2.0171E-4,225.43454754,2016-10-14
5,1476566700000.0,1.9998E-4,1.9998E-4,1.9998E-4,1.9998E-4,120.0,2016-10-15
6,1476576000000.0, 1.975E-04, 1.975E-04, 1.975E-04, 1.975E-04, 1.294E+02,2016-10-16
7,1476747780000.0,1.508E-4,1.508E-4,1.508E-4,1.508E-4,302.244,2016-10-17
8,1476807660000.0,1.51E-4,1.51E-4,1.51E-4,1.416E-4,11455.91552095,2016-10-18
9,1476904260000.0,1.57E-4,1.57E-4,1.57E-4,1.57E-4,63.49315522,2016-10-19
10,1476972240000.0,1.57E-4,1.57E-4,1.57E-4,1.57E-4,168.73187022,2016-10-20
11,1477090500000.0,1.5E-4,1.5E-4,1.5E-4,1.5E-4,2500.0,2016-10-21
12,1477180020000.0,1.3753E-4,1.359E-4,1.3753E-4,1.359E-4,8028.02746457,2016-10-22
13,1477247040000.0,1.4E-4,1.459E-4,1.459E-4,1.4E-4,100.0,2016-10-23
14,1477319820000.0,1.301E-4,1.3000000000000002E-4,1.301E-4,1.3000000000000002E-4,937.4830000000001,2016-10-24
15,1477372140000.0,1.3609E-4,1.3609E-4,1.3609E-4,1.3609E-4,100.0,2016-10-25
16,1477521720000.0,1.1E-4,1.1E-4,1.1E-4,1.1E-4,1606.7298,2016-10-26
17,1477607880000.0,1.0029999999999998E-4,1.0029999999999998E-4,1.0029999999999998E-4,1.0029999999999998E-4,2000.0,2016-10-27
18,1477691160000.0,1.001E-4,1.0E-4,1.001E-4,1.0E-4,895.80579903,2016-10-28
19,1477773780000.0,1.004E-4,1.004E-4,1.004E-4,1.004E-4,3313.750400000001,2016-10-29
20,1477846680000.0,1.057E-4,1.0561E-4,1.057E-4,1.0561E-4,1477.8281,2016-10-30
21,1477906320000.0,1.0E-4,1.0E-4,1.0E-4,1.0E-4,301.475,2016-10-31
22,1478037540000.0,8.87E-5,8.87E-5,8.87E-5,8.87E-5,13.89020332,2016-11-01
23,1478107560000.0,8.9E-5,8.9E-5,8.9E-5,8.9E-5,5.69397169,2016-11-02
24,1478213520000.0,9.696E-5,9.696E-5,9.696E-5,9.696E-5,0.15489999,2016-11-03
25,1478291400000.0,9.429999999999999E-5,9.441E-5,9.441E-5,9.429999999999999E-5,1399.4295119,2016-11-04
26,1478347560000.0,8.56E-5,8.56E-5,8.56E-5,8.56E-5,1398.2321271,2016-11-05
27,1478390400000.0, 8.650E-05, 8.650E-05, 8.650E-05, 8.650E-05, 1.461E+03,2016-11-06
28,1478562420000.0,9.01E-5,9.01E-5,9.01E-5,9.01E-5,1714.805,2016-11-07
29,1478636760000.0,9.01E-5,9.01E-5,9.01E-5,9.01E-5,1604.29,2016-11-08
30,1478719080000.0,9.702E-5,8.83E-5,9.702E-5,8.83E-5,232.24553500000002,2016-11-09
31,1478808960000.0,1.008E-4,1.008E-4,1.008E-4,1.008E-4,465.03888888,2016-11-10
32,1478860680000.0,9.826899999999999E-5,9.826899999999999E-5,9.826899999999999E-5,9.826899999999999E-5,9.7699,2016-11-11
33,1478955240000.0,9.790000000000001E-5,9.790000000000001E-5,9.790000000000001E-5,9.790000000000001E-5,0.10684591,2016-11-12
34,1479066900000.0,9.71E-5,9.71E-5,9.71E-5,9.71E-5,92.3307,2016-11-13
35,1479143700000.0,8.909999999999998E-5,7.051E-5,8.909999999999998E-5,7.051E-5,266.9498567,2016-11-14
36,1479168000000.0, 8.790E-05, 7.216E-05, 8.790E-05, 7.216E-05, 3.682E+02,2016-11-15
37,1479302280000.0,8.13E-5,8.13E-5,8.13E-5,8.13E-5,928.0,2016-11-16
38,1479340800000.0, 8.016E-05, 8.016E-05, 8.016E-05, 8.016E-05, 8.017E+02,2016-11-17
39,1479427200000.0, 7.762E-05, 7.762E-05, 7.762E-05, 7.762E-05, 5.184E+02,2016-11-18
40,1479580500000.0,7.31E-5,7.31E-5,7.31E-5,7.31E-5,15.73715846,2016-11-19
41,1479670500000.0,7.099999999999999E-5,7.099999999999999E-5,7.099999999999999E-5,7.099999999999999E-5,550.0,2016-11-20
42,1479760920000.0,7.609999999999999E-5,7.609999999999999E-5,7.609999999999999E-5,7.609999999999999E-5,1000.0,2016-11-21
43,1479781320000.0,7.52E-5,7.52E-5,7.52E-5,7.52E-5,1000.0,2016-11-22
44,1479917160000.0,6.73E-5,6.73E-5,6.73E-5,6.73E-5,289.93778467,2016-11-23
45,1479969480000.0,6.74E-5,6.74E-5,6.74E-5,6.74E-5,28.57142857,2016-11-24
46,1480062420000.0,7.87E-5,7.87E-5,7.87E-5,7.87E-5,1250.0,2016-11-25
47,1480179720000.0,7.615E-5,7.615E-5,7.615E-5,7.615E-5,1000.0,2016-11-26
48,1480276080000.0,7.288E-5,7.288E-5,7.288E-5,7.288E-5,0.7809543000000001,2016-11-27
49,1480368240000.0,7.666E-5,7.666E-5,7.666E-5,7.666E-5,1000.0,2016-11-28
50,1480449240000.0,7.6479E-5,7.6479E-5,7.6479E-5,7.6479E-5,1000.0,2016-11-29
51,1480464000000.0, 7.585E-05, 7.590E-05, 7.590E-05, 7.585E-05, 9.888E+02,2016-11-30
52,1480634160000.0,6.863899999999999E-5,6.925E-5,6.925E-5,6.863899999999999E-5,859.70609372,2016-12-01
53,1480717920000.0,6.767E-5,6.821E-5,6.821E-5,6.767E-5,3347.868,2016-12-02
54,1480803180000.0,7.131E-5,7.131E-5,7.131E-5,7.131E-5,2500.0,2016-12-03
55,1480894620000.0,6.856100000000001E-5,6.856E-5,6.856100000000001E-5,6.856E-5,818.27179778,2016-12-04
56,1480978800000.0,6.786E-5,6.786E-5,6.786E-5,6.786E-5,823.16186431,2016-12-05
57,1481067600000.0,6.689E-5,6.689E-5,6.689E-5,6.689E-5,0.88264449,2016-12-06
58,1481092980000.0,6.807E-5,6.8069E-5,6.807E-5,6.8069E-5,4059.83830691,2016-12-07
59,1481225880000.0,9.5349E-5,9.5349E-5,9.5349E-5,9.5349E-5,500.0,2016-12-08
60,1481319060000.0,6.7809E-5,6.781E-5,6.781E-5,6.7809E-5,1195.90905536,2016-12-09
61,1481356320000.0,6.679E-5,6.6799E-5,6.6799E-5,6.679E-5,110.0,2016-12-10
62,1481414400000.0, 6.605E-05, 6.605E-05, 6.605E-05, 6.605E-05, 9.568E+01,2016-12-11
63,1481500800000.0, 6.494E-05, 6.495E-05, 6.495E-05, 6.494E-05, 7.438E+01,2016-12-12
64,1481599680000.0,6.368E-5,6.368E-5,6.368E-5,6.368E-5,50.0,2016-12-13
65,1481673600000.0, 6.408E-05, 6.408E-05, 6.408E-05, 6.408E-05, 3.772E+01,2016-12-14
66,1481801340000.0,6.477E-5,6.477E-5,6.477E-5,6.477E-5,16.50874314,2016-12-15
67,1481846400000.0, 6.480E-05, 6.480E-05, 6.480E-05, 6.480E-05, 3.947E+01,2016-12-16
68,1481969460000.0,6.49E-5,6.49E-5,6.49E-5,6.49E-5,102.1822525,2016-12-17
69,1482025560000.0,7.0E-5,7.0E-5,7.0E-5,7.0E-5,4312.81435779,2016-12-18
70,1482183480000.0,7.26E-5,7.26E-5,7.26E-5,7.26E-5,2500.0,2016-12-19
71,1482277440000.0,7.7231E-5,7.5E-5,7.7231E-5,7.5E-5,51181.46914545,2016-12-20
72,1482349080000.0,8.0E-5,8.0E-5,8.0E-5,8.0E-5,1781.0,2016-12-21
73,1482397500000.0,6.7E-5,6.7E-5,6.7E-5,6.7E-5,1.0,2016-12-22
74,1482532560000.0,5.2191E-5,5.219E-5,5.2191E-5,5.219E-5,47687.73177765001,2016-12-23
75,1482577740000.0,6.182E-5,6.1829E-5,6.1829E-5,6.182E-5,6215.25288785,2016-12-24
76,1482624000000.0, 6.178E-05, 6.183E-05, 6.183E-05, 6.178E-05, 8.125E+03,2016-12-25
77,1482722520000.0,6.1709E-5,6.182E-5,6.182E-5,6.1709E-5,12193.0,2016-12-26
78,1482839880000.0,7.55E-5,7.55E-5,7.55E-5,7.55E-5,1619.45126276,2016-12-27
79,1482961680000.0,9.0E-5,9.0E-5,9.0E-5,9.0E-5,6.45011111,2016-12-28
80,1482969600000.0, 8.896E-05, 8.896E-05, 8.896E-05, 8.896E-05, 3.525E+01,2016-12-29
81,1483128540000.0,6.8E-5,6.8E-5,6.8E-5,6.8E-5,613.1816298800002,2016-12-30
82,1483160340000.0,9.9789E-5,9.984E-5,9.984E-5,9.9789E-5,3554.1705,2016-12-31
83,1483301160000.0,5.7499999999999995E-5,5.6999999999999996E-5,5.7499999999999995E-5,5.6999999999999996E-5,20000.0,2017-01-01
84,1483397100000.0,5.0381000000000004E-5,5.0381000000000004E-5,5.0381000000000004E-5,5.0381000000000004E-5,0.1,2017-01-02
85,1483456980000.0,5.0701E-5,5.0701E-5,5.0701E-5,5.0701E-5,500.0,2017-01-03
86,1483564680000.0,7.3919E-5,7.3919E-5,7.3919E-5,7.3919E-5,0.30000000000000004,2017-01-04
87,1483635720000.0,6.846E-5,6.846E-5,6.846E-5,6.846E-5,0.99,2017-01-05
88,1483696440000.0,5.933E-5,5.933E-5,5.933E-5,5.933E-5,4.286E-5,2017-01-06
89,1483803120000.0,4.011E-5,4.011E-5,4.011E-5,4.011E-5,23.0769,2017-01-07
90,1483833600000.0, 4.546E-05, 4.546E-05, 4.546E-05, 4.546E-05, 4.722E+01,2017-01-08
91,1483953960000.0,6.661E-5,6.661E-5,6.661E-5,6.661E-5,142.57142857,2017-01-09
92,1484081220000.0,5.8899999999999995E-5,5.8899999999999995E-5,5.8899999999999995E-5,5.8899999999999995E-5,9.0039,2017-01-10
93,1484158380000.0,6.999E-5,6.999E-5,6.999E-5,6.999E-5,172.03543363,2017-01-11
94,1484258160000.0,5.978E-5,5.978E-5,5.978E-5,5.978E-5,1635.94797591,2017-01-12
95,1484279400000.0,5.998E-5,5.998E-5,5.998E-5,5.998E-5,3000.0,2017-01-13
96,1484409960000.0,5.389E-5,5.389E-5,5.389E-5,5.389E-5,42.4886,2017-01-14
97,1484510580000.0,6.112E-5,6.112E-5,6.112E-5,6.112E-5,3.9707,2017-01-15
98,1484590740000.0,5.156E-5,5.156E-5,5.156E-5,5.156E-5,156.3883,2017-01-16
99,1484682960000.0,5.155E-5,5.155E-5,5.155E-5,5.155E-5,28.0,2017-01-17
100,1484697600000.0, 5.143E-05, 5.143E-05, 5.143E-05, 5.143E-05, 3.754E+01,2017-01-18
101,1484863140000.0,5.005E-5,5.005E-5,5.005E-5,5.005E-5,145.3745,2017-01-19
102,1484932080000.0,5.0E-5,5.0E-5,5.0E-5,5.0E-5,110.229,2017-01-20
103,1485030480000.0,5.0E-5,5.0E-5,5.0E-5,5.0E-5,920.7326132000001,2017-01-21
104,1485077040000.0,5.0E-5,5.0E-5,5.0E-5,5.0E-5,25.0056,2017-01-22
105,1485202920000.0,5.218E-5,5.308E-5,5.31E-5,5.218E-5,14840.442459,2017-01-23
106,1485289320000.0,4.969E-5,4.970000000000001E-5,4.970000000000001E-5,4.969E-5,9.33396581,2017-01-24
107,1485382200000.0,5.67E-5,5.67E-5,5.67E-5,5.67E-5,2588.95023227,2017-01-25
108,1485466140000.0,5.933E-5,5.933E-5,5.933E-5,5.933E-5,7.30538218,2017-01-26
109,1485546300000.0,9.501E-5,9.501E-5,9.501E-5,9.501E-5,535.51835007,2017-01-27
110,1485641700000.0,9.762E-5,9.761E-5,9.762E-5,9.761E-5,1000.0,2017-01-28
111,1485732000000.0,1.8088E-4,1.8088E-4,1.8088E-4,1.8088E-4,2.0,2017-01-29
112,1485805140000.0,1.2501E-4,1.2501E-4,1.2501E-4,1.2501E-4,0.1,2017-01-30
113,1485898680000.0,2.0E-4,2.0E-4,2.0E-4,2.0E-4,300.0,2017-01-31
114,1485975540000.0,1.5501E-4,1.55E-4,1.5501E-4,1.55E-4,4927.731,2017-02-01
115,1486072620000.0,1.7987E-4,1.7988E-4,1.7988E-4,1.7987E-4,1666.66666666,2017-02-02
116,1486144200000.0,1.7095E-4,1.7096E-4,1.7096E-4,1.7095E-4,20.004,2017-02-03
117,1486245120000.0,1.6999999999999999E-4,1.6999999999999999E-4,1.6999999999999999E-4,1.6999999999999999E-4,945.4249823999999,2017-02-04
118,1486313040000.0,1.8876E-4,1.8875E-4,1.8876E-4,1.8875E-4,2618.88115789,2017-02-05
