,time,open,close,high,low,volume,the_date
0,1530827460000.0,2.294E-5,2.294E-5,2.294E-5,2.294E-5,1618.487,2018-07-05
1,1530906000000.0,2.131E-5,2.131E-5,2.131E-5,2.131E-5,2735.80478648,2018-07-06
2,1530981360000.0,2.091E-5,2.091E-5,2.091E-5,2.091E-5,1150.0,2018-07-07
3,1531080720000.0,2.077E-5,2.077E-5,2.077E-5,2.077E-5,6270.264805,2018-07-08
4,1531131000000.0,2.0E-5,2.0E-5,2.0E-5,2.0E-5,6505.1585,2018-07-09
5,1531226760000.0,1.995E-5,1.995E-5,1.995E-5,1.995E-5,1396.0,2018-07-10
6,1531267200000.0, 1.975E-05, 1.975E-05, 1.975E-05, 1.975E-05, 2.164E+03,2018-07-11
7,1531437120000.0,1.889E-5,1.889E-5,1.889E-5,1.889E-5,5393.0,2018-07-12
8,1531440000000.0, 1.880E-05, 1.880E-05, 1.880E-05, 1.880E-05, 5.410E+03,2018-07-13
9,1531612620000.0,1.34E-5,1.339E-5,1.34E-5,1.339E-5,6434.84158241,2018-07-14
10,1531658100000.0,1.201E-5,1.2E-5,1.201E-5,1.2E-5,10283.467967,2018-07-15
11,1531699200000.0, 1.181E-05, 1.181E-05, 1.181E-05, 1.181E-05, 8.367E+03,2018-07-16
12,1531821060000.0,1.123E-5,1.123E-5,1.123E-5,1.123E-5,2685.03784264,2018-07-17
13,1531933980000.0,1.863E-5,1.889E-5,1.889E-5,1.863E-5,10256.6167,2018-07-18
14,1532040240000.0,1.303E-5,1.303E-5,1.303E-5,1.303E-5,4990.0,2018-07-19
15,1532071680000.0,1.302E-5,1.302E-5,1.302E-5,1.302E-5,5000.0,2018-07-20
16,1532131200000.0, 1.301E-05, 1.301E-05, 1.301E-05, 1.301E-05, 5.072E+03,2018-07-21
17,1532242140000.0,1.3000000000000001E-5,1.3000000000000001E-5,1.3000000000000001E-5,1.3000000000000001E-5,5206.19538462,2018-07-22
18,1532324340000.0,1.3000000000000001E-5,1.3000000000000001E-5,1.3000000000000001E-5,1.3000000000000001E-5,21798.7326,2018-07-23
19,1532452680000.0,1.31E-5,1.31E-5,1.31E-5,1.31E-5,4918.06912714,2018-07-24
20,1532496840000.0,1.29E-5,1.29E-5,1.29E-5,1.29E-5,1996.0,2018-07-25
21,1532571360000.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,2489.50250251,2018-07-26
22,1532705700000.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,5259.5134,2018-07-27
23,1532736000000.0, 1.075E-05, 1.075E-05, 1.075E-05, 1.075E-05, 9.122E+03,2018-07-28
24,1532899740000.0,1.479E-5,1.479E-5,1.479E-5,1.479E-5,29993.34609062,2018-07-29
25,1532932500000.0,9.58E-6,9.58E-6,9.58E-6,9.58E-6,29964.0,2018-07-30
26,1533067860000.0,9.59E-6,9.59E-6,9.59E-6,9.59E-6,2200.0,2018-07-31
27,1533081600000.0, 9.478E-06, 9.478E-06, 9.478E-06, 9.478E-06, 3.166E+03,2018-08-01
28,1533251460000.0,8.1E-6,8.1E-6,8.1E-6,8.1E-6,15113.01181462,2018-08-02
29,1533339900000.0,8.38E-6,8.39E-6,8.39E-6,8.38E-6,10023.895261639998,2018-08-03
