,time,open,close,high,low,volume,the_date
0,1530346980000.0,2.8E-6,2.8E-6,2.8E-6,2.8E-6,14596.7,2018-06-30
1,1530403200000.0, 2.403E-06, 2.403E-06, 2.403E-06, 2.403E-06, 1.123E+04,2018-07-01
2,1530573780000.0,1.2E-6,1.2E-6,1.2E-6,1.2E-6,1024.81764351,2018-07-02
3,1530576000000.0, 1.220E-06, 1.221E-06, 1.221E-06, 1.220E-06, 1.434E+03,2018-07-03
4,1530745080000.0,2.78E-6,2.79E-6,2.79E-6,2.78E-6,32586.141840210006,2018-07-04
5,1530808680000.0,2.79E-6,2.79E-6,2.79E-6,2.79E-6,24847.54353374,2018-07-05
6,1530849720000.0,2.79E-6,2.79E-6,2.79E-6,2.79E-6,1000.0,2018-07-06
7,1530987000000.0,2.82E-6,2.82E-6,2.82E-6,2.82E-6,30007.42077772,2018-07-07
8,1531008000000.0, 2.785E-06, 2.785E-06, 2.785E-06, 2.785E-06, 2.916E+04,2018-07-08
9,1531167900000.0,2.52E-6,2.52E-6,2.52E-6,2.52E-6,22724.0,2018-07-09
10,1531246260000.0,2.52E-6,2.52E-6,2.68E-6,2.52E-6,224234.58055166,2018-07-10
11,1531340700000.0,2.31E-6,2.31E-6,2.31E-6,2.31E-6,12000.0,2018-07-11
12,1531366500000.0,2.31E-6,2.31E-6,2.31E-6,2.31E-6,26709.64643036,2018-07-12
13,1531440000000.0, 2.277E-06, 2.277E-06, 2.277E-06, 2.277E-06, 2.217E+04,2018-07-13
14,1531526400000.0, 2.238E-06, 2.238E-06, 2.238E-06, 2.238E-06, 1.682E+04,2018-07-14
15,1531612800000.0, 2.199E-06, 2.199E-06, 2.199E-06, 2.199E-06, 1.148E+04,2018-07-15
16,1531766640000.0,2.13E-6,2.13E-6,2.13E-6,2.13E-6,1972.0,2018-07-16
17,1531785600000.0, 2.524E-06, 2.545E-06, 2.545E-06, 2.524E-06, 2.939E+03,2018-07-17
18,1531942860000.0,5.79E-6,5.99E-6,5.99E-6,5.79E-6,10955.42070117,2018-07-18
19,1531958400000.0, 5.631E-06, 5.814E-06, 5.824E-06, 5.621E-06, 1.294E+04,2018-07-19
20,1532044800000.0, 4.750E-06, 4.833E-06, 4.899E-06, 4.684E-06, 2.397E+04,2018-07-20
21,1532131200000.0, 3.868E-06, 3.853E-06, 3.974E-06, 3.746E-06, 3.500E+04,2018-07-21
22,1532217600000.0, 2.986E-06, 2.873E-06, 3.050E-06, 2.809E-06, 4.603E+04,2018-07-22
23,1532346540000.0,1.67E-6,1.41E-6,1.67E-6,1.41E-6,62497.77044380001,2018-07-23
24,1532412360000.0,1.87E-6,1.87E-6,1.87E-6,1.87E-6,3321.4383,2018-07-24
25,1532476800000.0, 1.742E-06, 1.742E-06, 1.742E-06, 1.742E-06, 2.502E+03,2018-07-25
