,time,open,close,high,low,volume,the_date
0,1516837800000,6.6e-05,6.6e-05,6.6e-05,6.6e-05,12637.44047078,2018-01-24
1,1516923840000,6.582e-05,6.582e-05,6.582e-05,6.582e-05,2158.20738377,2018-01-25
2,1517007600000,6.28e-05,6.28e-05,6.28e-05,6.28e-05,179.32,2018-01-26
3,1517095260000,6.275e-05,6.275e-05,6.275e-05,6.275e-05,6731.81418326,2018-01-27
4,1517183400000,5.379999999999999e-05,5.379999999999999e-05,5.379999999999999e-05,5.379999999999999e-05,380.0,2018-01-28
5,1517268960000,5.479999999999999e-05,5.479999999999999e-05,5.479999999999999e-05,5.479999999999999e-05,4380.732299,2018-01-29
6,1517356320000,5.13e-05,5.04e-05,5.13e-05,5.04e-05,33441.70806315,2018-01-30
7,1517440800000,5e-05,5e-05,5e-05,5e-05,558.4409218899998,2018-01-31
8,1517529120000,4.492e-05,4.491e-05,4.492e-05,4.491e-05,15657.0,2018-02-01
9,1517615820000,4.5799999999999995e-05,4.581e-05,4.581e-05,4.5799999999999995e-05,4906.97674419,2018-02-02
10,1517702160000,4.666e-05,4.667e-05,4.667e-05,4.666e-05,2247.29751102,2018-02-03
11,1517788560000,4.719e-05,4.719e-05,4.719e-05,4.719e-05,7602.27611782,2018-02-04
12,1517874180000,4.295e-05,4.295e-05,4.295e-05,4.295e-05,1545.57568205,2018-02-05
13,1517960400000,4.52e-05,4.52e-05,4.52e-05,4.52e-05,14590.0,2018-02-06
14,1518047880000,4.34e-05,4.339e-05,4.34e-05,4.338e-05,9102.132656,2018-02-07
15,1518134340000,4.657e-05,4.657e-05,4.657e-05,4.657e-05,381.0148368,2018-02-08
16,1518219600000,5.328e-05,5.328e-05,5.328e-05,5.328e-05,3636.2907149000002,2018-02-09
17,1518306840000,5.7999999999999994e-05,5.802e-05,5.802e-05,5.7999999999999994e-05,5555.0,2018-02-10
18,1518391740000,5.187e-05,5.187e-05,5.187e-05,5.187e-05,5791.0,2018-02-11
19,1518479460000,5.311e-05,5.311e-05,5.311e-05,5.311e-05,4000.0,2018-02-12
20,1518566220000,5.136e-05,5.08e-05,5.136e-05,5.08e-05,107331.02780936,2018-02-13
21,1518652380000,5.079e-05,5.079e-05,5.079e-05,5.079e-05,7816.25024592,2018-02-14
22,1518739140000,5.014e-05,5.014e-05,5.014e-05,5.014e-05,28.62584762,2018-02-15
23,1518824760000,5.610000000000001e-05,5.610000000000001e-05,5.610000000000001e-05,5.610000000000001e-05,2100.0,2018-02-16
24,1518911940000,5.634e-05,5.634e-05,5.634e-05,5.634e-05,350.0,2018-02-17
25,1518995100000,5.429999999999999e-05,5.429999999999999e-05,5.429999999999999e-05,5.429999999999999e-05,875.06,2018-02-18
26,1519081620000,5.516e-05,5.516e-05,5.516e-05,5.516e-05,478.775,2018-02-19
27,1519170360000,5.253e-05,5.253e-05,5.253e-05,5.253e-05,6515.3484,2018-02-20
28,1519257480000,5.269e-05,5.269e-05,5.269e-05,5.269e-05,699.1404441000001,2018-02-21
29,1519341600000,5.068e-05,5.068e-05,5.068e-05,5.068e-05,584.0,2018-02-22
30,1519429680000,4.964e-05,4.964e-05,4.964e-05,4.964e-05,611.2688032000001,2018-02-23
31,1519516560000,4.88e-05,4.88e-05,4.88e-05,4.88e-05,2500.0,2018-02-24
32,1519600800000,4.7600000000000005e-05,4.7600000000000005e-05,4.7600000000000005e-05,4.7600000000000005e-05,330.0,2018-02-25
33,1519689480000,4.819e-05,4.818e-05,4.819e-05,4.818e-05,5139.54851308,2018-02-26
34,1519775700000,4.868e-05,4.868e-05,4.868e-05,4.868e-05,2476.84362866,2018-02-27
35,1519860720000,5.097e-05,5.097e-05,5.097e-05,5.097e-05,19162.26713265,2018-02-28
36,1519948380000,5.654e-05,5.654e-05,5.654e-05,5.654e-05,19461.62847665,2018-03-01
37,1520032440000,6.221e-05,6.221e-05,6.221e-05,6.221e-05,1077.92054816,2018-03-02
38,1520120640000,5.753e-05,5.753e-05,5.753e-05,5.753e-05,555.7471842,2018-03-03
39,1520206020000,5.512e-05,5.499e-05,5.512e-05,5.499e-05,20000.0,2018-03-04
40,1520292420000,5.534e-05,5.534e-05,5.534e-05,5.534e-05,2000.0,2018-03-05
41,1520379360000,5.366e-05,5.366e-05,5.366e-05,5.366e-05,305.0,2018-03-06
42,1520466540000,5.166e-05,5.166e-05,5.166e-05,5.166e-05,2335.0,2018-03-07
43,1520550600000,5.198e-05,5.198e-05,5.198e-05,5.198e-05,300.0,2018-03-08
44,1520639520000,5.133e-05,5.132e-05,5.133e-05,5.132e-05,6676.316999999999,2018-03-09
45,1520725920000,5.077e-05,5.077e-05,5.077e-05,5.077e-05,11818.59821,2018-03-10
46,1520812020000,5.349e-05,5.349e-05,5.349e-05,5.349e-05,1100.0,2018-03-11
47,1520896320000,5.212e-05,5.212e-05,5.212e-05,5.212e-05,300.0,2018-03-12
48,1520985300000,5.21e-05,5.21e-05,5.21e-05,5.21e-05,2390.0,2018-03-13
49,1521071580000,5.058e-05,5.047e-05,5.058e-05,5.047e-05,112500.0,2018-03-14
50,1521157380000,4.969e-05,4.969e-05,4.969e-05,4.969e-05,20334.5556672,2018-03-15
51,1521244140000,5.008e-05,5.009e-05,5.009e-05,5.008e-05,3499.21,2018-03-16
52,1521328680000,5.111e-05,5.111e-05,5.111e-05,5.111e-05,6680.5987948,2018-03-17
53,1521414600000,5.355e-05,5.355e-05,5.355e-05,5.355e-05,3186.0,2018-03-18
54,1521501780000,5.912e-05,5.934e-05,5.934e-05,5.912e-05,4054.05417,2018-03-19
