,time,open,close,high,low,volume,the_date
0,1560816000000.0,1.88,1.88,1.88,1.88,7.8,2019-06-18
1,1560902400000.0,1.1001,1.1001,1.1001,1.1001,0.08,2019-06-19
2,1560988800000.0,1.1001,1.1001,1.1001,1.1001,4.0,2019-06-20
3,1561075200000.0,1.1001,1.1001,1.1001,1.1001,4.0,2019-06-21
4,1561161600000.0, 1.100E+00, 1.100E+00, 1.100E+00, 1.100E+00, 7.333E+00,2019-06-22
5,1561248000000.0, 1.100E+00, 1.100E+00, 1.100E+00, 1.100E+00, 1.067E+01,2019-06-23
6,1561334400000.0,1.1001,1.1,1.1001,1.1,14.0,2019-06-24
7,1561420800000.0, 1.123E+00, 1.035E+00, 1.123E+00, 1.035E+00, 1.320E+01,2019-06-25
8,1561507200000.0, 1.146E+00, 9.704E-01, 1.146E+00, 9.704E-01, 1.240E+01,2019-06-26
9,1561593600000.0, 1.169E+00, 9.056E-01, 1.169E+00, 9.056E-01, 1.159E+01,2019-06-27
10,1561680000000.0, 1.192E+00, 8.408E-01, 1.192E+00, 8.408E-01, 1.079E+01,2019-06-28
11,1561766400000.0,1.215,0.776,1.215,0.776,9.99,2019-06-29
12,1561852800000.0,0.787,0.787,0.787,0.787,7.74552472,2019-06-30
13,1561939200000.0, 7.910E-01, 7.910E-01, 7.910E-01, 7.910E-01, 7.982E+00,2019-07-01
14,1562025600000.0, 7.950E-01, 7.950E-01, 7.950E-01, 7.950E-01, 8.219E+00,2019-07-02
15,1562112000000.0, 7.991E-01, 7.991E-01, 7.991E-01, 7.991E-01, 8.456E+00,2019-07-03
16,1562198400000.0, 8.031E-01, 8.031E-01, 8.031E-01, 8.031E-01, 8.693E+00,2019-07-04
17,1562284800000.0, 8.071E-01, 8.071E-01, 8.071E-01, 8.071E-01, 8.930E+00,2019-07-05
18,1562371200000.0, 8.111E-01, 8.111E-01, 8.111E-01, 8.111E-01, 9.167E+00,2019-07-06
19,1562457600000.0, 8.151E-01, 8.151E-01, 8.151E-01, 8.151E-01, 9.404E+00,2019-07-07
20,1562544000000.0, 8.192E-01, 8.192E-01, 8.192E-01, 8.192E-01, 9.641E+00,2019-07-08
21,1562630400000.0, 8.232E-01, 8.232E-01, 8.232E-01, 8.232E-01, 9.878E+00,2019-07-09
22,1562716800000.0, 8.272E-01, 8.272E-01, 8.272E-01, 8.272E-01, 1.012E+01,2019-07-10
23,1562803200000.0, 8.312E-01, 8.312E-01, 8.312E-01, 8.312E-01, 1.035E+01,2019-07-11
24,1562889600000.0, 8.352E-01, 8.352E-01, 8.352E-01, 8.352E-01, 1.059E+01,2019-07-12
25,1562976000000.0, 8.393E-01, 8.393E-01, 8.393E-01, 8.393E-01, 1.083E+01,2019-07-13
26,1563062400000.0, 8.433E-01, 8.433E-01, 8.433E-01, 8.433E-01, 1.106E+01,2019-07-14
27,1563148800000.0, 8.473E-01, 8.473E-01, 8.473E-01, 8.473E-01, 1.130E+01,2019-07-15
28,1563235200000.0, 8.513E-01, 8.513E-01, 8.513E-01, 8.513E-01, 1.154E+01,2019-07-16
29,1563321600000.0, 8.554E-01, 8.554E-01, 8.554E-01, 8.554E-01, 1.177E+01,2019-07-17
30,1563408000000.0, 8.594E-01, 8.594E-01, 8.594E-01, 8.594E-01, 1.201E+01,2019-07-18
