,time,open,close,high,low,volume,the_date
0,1561526700000.0,0.9990100000000001,0.9990100000000001,0.9990100000000001,0.9990100000000001,107.19528999999999,2019-06-26
1,1561593600000.0, 1.037E+00, 1.037E+00, 1.037E+00, 1.037E+00, 9.008E+01,2019-06-27
2,1561680000000.0, 1.086E+00, 1.086E+00, 1.086E+00, 1.086E+00, 6.798E+01,2019-06-28
3,1561766400000.0, 1.135E+00, 1.135E+00, 1.135E+00, 1.135E+00, 4.588E+01,2019-06-29
4,1561935000000.0,1.23,1.23,1.23,1.23,2.74620765,2019-06-30
5,1561939200000.0, 1.227E+00, 1.227E+00, 1.227E+00, 1.227E+00, 2.856E+00,2019-07-01
6,1562025600000.0, 1.168E+00, 1.168E+00, 1.168E+00, 1.168E+00, 5.122E+00,2019-07-02
7,1562112000000.0, 1.108E+00, 1.108E+00, 1.108E+00, 1.108E+00, 7.388E+00,2019-07-03
8,1562198400000.0, 1.049E+00, 1.049E+00, 1.049E+00, 1.049E+00, 9.654E+00,2019-07-04
9,1562284800000.0, 9.891E-01, 9.891E-01, 9.891E-01, 9.891E-01, 1.192E+01,2019-07-05
10,1562371200000.0, 9.296E-01, 9.296E-01, 9.296E-01, 9.296E-01, 1.419E+01,2019-07-06
11,1562457600000.0, 8.700E-01, 8.700E-01, 8.700E-01, 8.700E-01, 1.645E+01,2019-07-07
12,1562544000000.0, 8.105E-01, 8.105E-01, 8.105E-01, 8.105E-01, 1.872E+01,2019-07-08
13,1562634780000.0,0.7480100000000001,0.7480100000000001,0.7480100000000001,0.7480100000000001,21.09955,2019-07-09
14,1562716800000.0, 7.523E-01, 7.523E-01, 7.523E-01, 7.523E-01, 2.077E+01,2019-07-10
15,1562803200000.0, 7.569E-01, 7.569E-01, 7.569E-01, 7.569E-01, 2.042E+01,2019-07-11
16,1562889600000.0, 7.615E-01, 7.615E-01, 7.615E-01, 7.615E-01, 2.008E+01,2019-07-12
17,1562976000000.0, 7.661E-01, 7.661E-01, 7.661E-01, 7.661E-01, 1.973E+01,2019-07-13
18,1563062400000.0, 7.706E-01, 7.706E-01, 7.706E-01, 7.706E-01, 1.939E+01,2019-07-14
19,1563148800000.0, 7.752E-01, 7.752E-01, 7.752E-01, 7.752E-01, 1.904E+01,2019-07-15
20,1563235200000.0, 7.798E-01, 7.798E-01, 7.798E-01, 7.798E-01, 1.869E+01,2019-07-16
21,1563321600000.0, 7.843E-01, 7.843E-01, 7.843E-01, 7.843E-01, 1.835E+01,2019-07-17
22,1563408000000.0, 7.889E-01, 7.889E-01, 7.889E-01, 7.889E-01, 1.800E+01,2019-07-18
23,1563494400000.0, 7.935E-01, 7.935E-01, 7.935E-01, 7.935E-01, 1.765E+01,2019-07-19
24,1563580800000.0, 7.980E-01, 7.980E-01, 7.980E-01, 7.980E-01, 1.731E+01,2019-07-20
25,1563667200000.0, 8.026E-01, 8.026E-01, 8.026E-01, 8.026E-01, 1.696E+01,2019-07-21
26,1563753600000.0, 8.072E-01, 8.072E-01, 8.072E-01, 8.072E-01, 1.661E+01,2019-07-22
27,1563840000000.0, 8.118E-01, 8.118E-01, 8.118E-01, 8.118E-01, 1.627E+01,2019-07-23
28,1563926400000.0, 8.163E-01, 8.163E-01, 8.163E-01, 8.163E-01, 1.592E+01,2019-07-24
29,1564012800000.0, 8.209E-01, 8.209E-01, 8.209E-01, 8.209E-01, 1.558E+01,2019-07-25
30,1564099200000.0, 8.255E-01, 8.255E-01, 8.255E-01, 8.255E-01, 1.523E+01,2019-07-26
31,1564185600000.0, 8.300E-01, 8.300E-01, 8.300E-01, 8.300E-01, 1.488E+01,2019-07-27
32,1564272000000.0, 8.346E-01, 8.346E-01, 8.346E-01, 8.346E-01, 1.454E+01,2019-07-28
33,1564358400000.0, 8.392E-01, 8.392E-01, 8.392E-01, 8.392E-01, 1.419E+01,2019-07-29
34,1564444800000.0, 8.437E-01, 8.437E-01, 8.437E-01, 8.437E-01, 1.384E+01,2019-07-30
35,1564531200000.0, 8.483E-01, 8.483E-01, 8.483E-01, 8.483E-01, 1.350E+01,2019-07-31
36,1564617600000.0, 8.529E-01, 8.529E-01, 8.529E-01, 8.529E-01, 1.315E+01,2019-08-01
37,1564704000000.0, 8.575E-01, 8.575E-01, 8.575E-01, 8.575E-01, 1.280E+01,2019-08-02
38,1564790400000.0, 8.620E-01, 8.620E-01, 8.620E-01, 8.620E-01, 1.246E+01,2019-08-03
39,1564876800000.0, 8.666E-01, 8.666E-01, 8.666E-01, 8.666E-01, 1.211E+01,2019-08-04
40,1564963200000.0, 8.712E-01, 8.712E-01, 8.712E-01, 8.712E-01, 1.177E+01,2019-08-05
41,1565049600000.0, 8.757E-01, 8.757E-01, 8.757E-01, 8.757E-01, 1.142E+01,2019-08-06
42,1565136000000.0, 8.803E-01, 8.803E-01, 8.803E-01, 8.803E-01, 1.107E+01,2019-08-07
43,1565222400000.0, 8.849E-01, 8.849E-01, 8.849E-01, 8.849E-01, 1.073E+01,2019-08-08
44,1565308800000.0, 8.894E-01, 8.894E-01, 8.894E-01, 8.894E-01, 1.038E+01,2019-08-09
45,1565395200000.0, 8.940E-01, 8.940E-01, 8.940E-01, 8.940E-01, 1.003E+01,2019-08-10
46,1565481600000.0, 8.986E-01, 8.986E-01, 8.986E-01, 8.986E-01, 9.687E+00,2019-08-11
47,1565568000000.0, 9.032E-01, 9.032E-01, 9.032E-01, 9.032E-01, 9.341E+00,2019-08-12
48,1565654400000.0, 9.077E-01, 9.077E-01, 9.077E-01, 9.077E-01, 8.994E+00,2019-08-13
49,1565740800000.0, 9.123E-01, 9.123E-01, 9.123E-01, 9.123E-01, 8.648E+00,2019-08-14
50,1565827200000.0, 9.169E-01, 9.169E-01, 9.169E-01, 9.169E-01, 8.301E+00,2019-08-15
51,1565913600000.0, 9.214E-01, 9.214E-01, 9.214E-01, 9.214E-01, 7.955E+00,2019-08-16
52,1566000000000.0, 9.260E-01, 9.260E-01, 9.260E-01, 9.260E-01, 7.609E+00,2019-08-17
53,1566086400000.0, 9.306E-01, 9.306E-01, 9.306E-01, 9.306E-01, 7.262E+00,2019-08-18
54,1566172800000.0, 9.351E-01, 9.351E-01, 9.351E-01, 9.351E-01, 6.916E+00,2019-08-19
55,1566259200000.0, 9.397E-01, 9.397E-01, 9.397E-01, 9.397E-01, 6.570E+00,2019-08-20
56,1566345600000.0, 9.443E-01, 9.443E-01, 9.443E-01, 9.443E-01, 6.223E+00,2019-08-21
57,1566432000000.0, 9.488E-01, 9.488E-01, 9.488E-01, 9.488E-01, 5.877E+00,2019-08-22
58,1566518400000.0, 9.534E-01, 9.534E-01, 9.534E-01, 9.534E-01, 5.531E+00,2019-08-23
59,1566604800000.0, 9.580E-01, 9.580E-01, 9.580E-01, 9.580E-01, 5.184E+00,2019-08-24
60,1566691200000.0, 9.626E-01, 9.626E-01, 9.626E-01, 9.626E-01, 4.838E+00,2019-08-25
61,1566777600000.0, 9.671E-01, 9.671E-01, 9.671E-01, 9.671E-01, 4.491E+00,2019-08-26
62,1566864000000.0, 9.717E-01, 9.717E-01, 9.717E-01, 9.717E-01, 4.145E+00,2019-08-27
63,1566950400000.0, 9.763E-01, 9.763E-01, 9.763E-01, 9.763E-01, 3.799E+00,2019-08-28
64,1567036800000.0, 9.808E-01, 9.808E-01, 9.808E-01, 9.808E-01, 3.452E+00,2019-08-29
65,1567123200000.0, 9.854E-01, 9.854E-01, 9.854E-01, 9.854E-01, 3.106E+00,2019-08-30
66,1567209600000.0, 9.900E-01, 9.900E-01, 9.900E-01, 9.900E-01, 2.760E+00,2019-08-31
