,time,open,close,high,low,volume,the_date
0,1527796860000.0,3.7799999999999997E-4,3.7799999999999997E-4,3.7799999999999997E-4,3.7799999999999997E-4,521.28981579,2018-05-31
1,1527876120000.0,1.83E-4,1.83E-4,1.83E-4,1.83E-4,724.0860529,2018-06-01
2,1527982020000.0,2.0101E-4,2.0099999999999998E-4,2.0101E-4,2.0099999999999998E-4,4953.36132153,2018-06-02
3,1528025760000.0,1.8999999999999998E-4,1.8999999999999998E-4,1.8999999999999998E-4,1.8999999999999998E-4,2000.0,2018-06-03
4,1528123920000.0,1.8563E-4,1.8562E-4,1.8563E-4,1.8562E-4,555.0,2018-06-04
5,1528212660000.0,1.8765E-4,1.8765E-4,1.8765E-4,1.8765E-4,222.98427924,2018-06-05
6,1528245120000.0,1.8564E-4,1.8564E-4,1.8564E-4,1.8564E-4,441.0,2018-06-06
7,1528358160000.0,1.8E-4,1.8E-4,1.8E-4,1.8E-4,518.73994444,2018-06-07
8,1528498140000.0,1.8999999999999998E-4,1.6353E-4,1.8999999999999998E-4,1.6353E-4,264.31151678000003,2018-06-08
9,1528558020000.0,1.4085E-4,1.4085E-4,1.4085E-4,1.4085E-4,139.59722391,2018-06-09
10,1528640280000.0,1.3781E-4,1.3781E-4,1.3781E-4,1.3781E-4,9.341E-5,2018-06-10
11,1528760340000.0,1.5E-4,1.5E-4,1.5002E-4,1.5E-4,27573.37436279,2018-06-11
12,1528847520000.0,1.4697E-4,1.4698E-4,1.4698E-4,1.4697E-4,3986.17969192,2018-06-12
13,1528908360000.0,1.3001E-4,1.3001E-4,1.3001E-4,1.3001E-4,261.738,2018-06-13
14,1529011740000.0,1.5987E-4,1.5988E-4,1.5988E-4,1.5987E-4,714.33804423,2018-06-14
15,1529020800000.0, 1.591E-04, 1.592E-04, 1.592E-04, 1.591E-04, 9.664E+02,2018-06-15
16,1529107200000.0, 1.522E-04, 1.522E-04, 1.522E-04, 1.522E-04, 3.371E+03,2018-06-16
17,1529229480000.0,1.4236E-4,1.4235E-4,1.4239E-4,1.4235E-4,6773.29,2018-06-17
18,1529280000000.0, 1.382E-04, 1.381E-04, 1.382E-04, 1.381E-04, 4.935E+03,2018-06-18
19,1529377800000.0,1.3001E-4,1.3000000000000002E-4,1.3001E-4,1.3000000000000002E-4,1375.72311031,2018-06-19
20,1529473380000.0,1.415E-4,1.415E-4,1.415E-4,1.415E-4,2900.0,2018-06-20
21,1529592240000.0,1.3378E-4,1.3378E-4,1.3378E-4,1.3378E-4,173.79685482,2018-06-21
22,1529706540000.0,1.7009E-4,1.701E-4,1.701E-4,1.7009E-4,3227.453491590001,2018-06-22
23,1529712000000.0, 1.689E-04, 1.689E-04, 1.689E-04, 1.689E-04, 3.116E+03,2018-06-23
24,1529820120000.0,1.45E-4,1.45E-4,1.45E-4,1.45E-4,918.78,2018-06-24
25,1529928240000.0,1.421E-4,1.422E-4,1.422E-4,1.421E-4,309.95805229,2018-06-25
26,1529971200000.0, 1.421E-04, 1.421E-04, 1.421E-04, 1.421E-04, 1.080E+03,2018-06-26
27,1530069780000.0,1.4199999999999998E-4,1.4199999999999998E-4,1.4199999999999998E-4,1.4199999999999998E-4,2847.82486849,2018-06-27
28,1530144000000.0, 1.461E-04, 1.331E-04, 1.461E-04, 1.331E-04, 2.894E+03,2018-06-28
29,1530230400000.0, 1.508E-04, 1.227E-04, 1.508E-04, 1.227E-04, 2.948E+03,2018-06-29
30,1530316800000.0, 1.555E-04, 1.123E-04, 1.555E-04, 1.123E-04, 3.002E+03,2018-06-30
31,1530489480000.0,1.65E-4,9.15E-5,1.65E-4,9.15E-5,3110.0,2018-07-01
32,1530513420000.0,1.65E-4,1.65E-4,1.65E-4,1.65E-4,1403.77156387,2018-07-02
33,1530631080000.0,1.595E-4,1.659E-4,1.659E-4,1.595E-4,3816.0,2018-07-03
34,1530662400000.0, 1.535E-04, 1.584E-04, 1.586E-04, 1.534E-04, 3.502E+03,2018-07-04
35,1530780960000.0,1.3093E-4,1.3023E-4,1.3093E-4,1.3023E-4,2311.368,2018-07-05
36,1530889560000.0,1.5999E-4,1.5999E-4,1.5999E-4,1.5999E-4,170.0,2018-07-06
37,1530921600000.0, 1.623E-04, 1.623E-04, 1.623E-04, 1.623E-04, 2.740E+02,2018-07-07
