,time,open,close,high,low,volume,the_date
0,1547855940000.0,9.19E-6,9.19E-6,9.19E-6,9.19E-6,59.22373732,2019-01-18
1,1547942340000.0,1.133E-5,1.137E-5,1.137E-5,1.133E-5,49.63775689,2019-01-19
2,1548028740000.0,8.72E-6,8.72E-6,8.72E-6,8.72E-6,55.66478966,2019-01-20
3,1548115140000.0,9.44E-6,9.47E-6,9.47E-6,9.44E-6,75.16281681999997,2019-01-21
4,1548201540000.0,8.52E-6,8.52E-6,8.52E-6,8.52E-6,436.09484440000006,2019-01-22
5,1548287940000.0,8.69E-6,8.67E-6,8.69E-6,8.66E-6,656.64991198,2019-01-23
6,1548374340000.0,8.45E-6,8.46E-6,8.46E-6,8.45E-6,799.63253349,2019-01-24
7,1548460740000.0,8.91E-6,8.96E-6,8.96E-6,8.91E-6,1163.48282214,2019-01-25
8,1548547140000.0,8.78E-6,8.79E-6,8.79E-6,8.78E-6,738.02333319,2019-01-26
9,1548633540000.0,7.75E-6,7.66E-6,7.75E-6,7.66E-6,752.87243451,2019-01-27
10,1548719880000.0,7.52E-6,7.52E-6,7.52E-6,7.52E-6,1116.2477675,2019-01-28
11,1548800820000.0,8.28E-6,8.2E-6,8.28E-6,8.2E-6,1233.0,2019-01-29
12,1548891300000.0,7.39E-6,7.400000000000001E-6,7.400000000000001E-6,7.39E-6,726.00732578,2019-01-30
13,1548979080000.0,7.000000000000001E-6,6.93E-6,7.000000000000001E-6,6.93E-6,718.83681624,2019-01-31
14,1549065420000.0,6.45E-6,6.45E-6,6.45E-6,6.45E-6,376.43197539,2019-02-01
15,1549151940000.0,5.76E-6,5.76E-6,5.76E-6,5.76E-6,1871.18454299,2019-02-02
16,1549238340000.0,6.04E-6,6.03E-6,6.04E-6,6.03E-6,1847.73015256,2019-02-03
17,1549324740000.0,6.06E-6,6.06E-6,6.06E-6,6.06E-6,705.41766282,2019-02-04
18,1549411140000.0,7.81E-6,7.82E-6,7.82E-6,7.81E-6,1490.18584058,2019-02-05
19,1549497540000.0,7.82E-6,7.82E-6,7.82E-6,7.82E-6,769.04938394,2019-02-06
20,1549583940000.0,9.04E-6,9.04E-6,9.04E-6,9.04E-6,390.40731449,2019-02-07
21,1549670340000.0,9.77E-6,9.77E-6,9.77E-6,9.77E-6,770.06264968,2019-02-08
22,1549756740000.0,9.55E-6,9.55E-6,9.55E-6,9.55E-6,390.07229305,2019-02-09
23,1549843140000.0,9.83E-6,9.83E-6,9.83E-6,9.83E-6,385.24156299,2019-02-10
24,1549929540000.0,9.02E-6,9.02E-6,9.02E-6,9.02E-6,776.0378395600002,2019-02-11
25,1550015880000.0,9.12E-6,9.12E-6,9.12E-6,9.12E-6,386.52927204,2019-02-12
26,1550102340000.0,9.13E-6,9.12E-6,9.13E-6,9.11E-6,1162.60506958,2019-02-13
27,1550188680000.0,8.62E-6,8.62E-6,8.62E-6,8.62E-6,391.31748394,2019-02-14
28,1550275140000.0,9.17E-6,9.18E-6,9.18E-6,9.17E-6,772.48648854,2019-02-15
29,1550361540000.0,8.88E-6,8.88E-6,8.88E-6,8.88E-6,784.53327381,2019-02-16
30,1550447940000.0,8.81E-6,8.81E-6,8.81E-6,8.81E-6,386.55477233,2019-02-17
31,1550534340000.0,9.01E-6,9.01E-6,9.01E-6,9.01E-6,387.17640994,2019-02-18
32,1550620740000.0,8.91E-6,8.91E-6,8.91E-6,8.91E-6,1907.1164,2019-02-19
33,1550707140000.0,8.96E-6,8.96E-6,8.96E-6,8.96E-6,5909.58767439,2019-02-20
34,1550793540000.0,8.63E-6,8.63E-6,8.63E-6,8.63E-6,896.36686484,2019-02-21
35,1550879940000.0,8.56E-6,8.56E-6,8.56E-6,8.56E-6,1229.20138317,2019-02-22
36,1550966340000.0,8.49E-6,8.49E-6,8.49E-6,8.49E-6,1986.75436346,2019-02-23
37,1551052740000.0,8.51E-6,8.51E-6,8.51E-6,8.51E-6,1135.387,2019-02-24
38,1551139080000.0,8.52E-6,8.52E-6,8.52E-6,8.52E-6,467.3276,2019-02-25
39,1551225420000.0,8.51E-6,8.51E-6,8.51E-6,8.51E-6,795.17391392,2019-02-26
40,1551311940000.0,8.34E-6,8.34E-6,8.34E-6,8.34E-6,393.37302222,2019-02-27
41,1551398340000.0,8.31E-6,8.32E-6,8.32E-6,8.31E-6,820.9910915600002,2019-02-28
42,1551484740000.0,8.32E-6,8.32E-6,8.32E-6,8.32E-6,817.6101859,2019-03-01
43,1551571140000.0,8.31E-6,8.31E-6,8.31E-6,8.31E-6,787.27750138,2019-03-02
44,1551657540000.0,8.31E-6,8.32E-6,8.32E-6,8.31E-6,802.4562246200002,2019-03-03
45,1551743880000.0,8.31E-6,8.32E-6,8.32E-6,8.31E-6,792.3667338099998,2019-03-04
46,1551830280000.0,8.33E-6,8.33E-6,8.33E-6,8.33E-6,414.06317957,2019-03-05
47,1551916740000.0,8.41E-6,8.41E-6,8.41E-6,8.41E-6,811.2629812800002,2019-03-06
48,1552003140000.0,8.42E-6,8.41E-6,8.42E-6,8.41E-6,805.6127561400001,2019-03-07
49,1552089540000.0,8.32E-6,8.32E-6,8.32E-6,8.32E-6,830.18884856,2019-03-08
50,1552175940000.0,8.44E-6,8.44E-6,8.44E-6,8.44E-6,404.0622393,2019-03-09
51,1552262040000.0,7.67E-6,7.67E-6,7.67E-6,7.67E-6,386.52494669,2019-03-10
52,1552348740000.0,7.61E-6,7.61E-6,7.61E-6,7.61E-6,792.3196490299998,2019-03-11
53,1552435140000.0,7.83E-6,7.83E-6,7.83E-6,7.83E-6,806.11699426,2019-03-12
54,1552521540000.0,7.62E-6,7.62E-6,7.62E-6,7.62E-6,397.20967191,2019-03-13
55,1552606080000.0,8.75E-6,8.75E-6,8.75E-6,8.75E-6,382.61492941,2019-03-14
56,1552694160000.0,8.65E-6,8.65E-6,8.65E-6,8.65E-6,387.63532266,2019-03-15
57,1552780740000.0,7.65E-6,7.65E-6,7.65E-6,7.65E-6,823.22278065,2019-03-16
58,1552867140000.0,7.66E-6,7.66E-6,7.66E-6,7.66E-6,1245.68348968,2019-03-17
59,1552953540000.0,7.74E-6,7.74E-6,7.74E-6,7.74E-6,417.36733222,2019-03-18
60,1553039940000.0,7.69E-6,7.69E-6,7.69E-6,7.69E-6,415.97170363,2019-03-19
61,1553126340000.0,1.078E-5,1.078E-5,1.078E-5,1.078E-5,816.21742595,2019-03-20
62,1553212740000.0,1.351E-5,1.351E-5,1.351E-5,1.351E-5,396.56016277,2019-03-21
63,1553299140000.0,1.696E-5,1.695E-5,1.696E-5,1.695E-5,807.9082840799998,2019-03-22
64,1553371800000.0,1.86E-5,1.86E-5,1.86E-5,1.86E-5,388.99447307,2019-03-23
65,1553385600000.0, 1.870E-05, 1.870E-05, 1.870E-05, 1.870E-05, 3.915E+02,2019-03-24
66,1553532420000.0,1.98E-5,1.98E-5,1.98E-5,1.98E-5,418.46717428,2019-03-25
67,1553644680000.0,2.402E-5,2.401E-5,2.402E-5,2.401E-5,803.13055443,2019-03-26
68,1553698440000.0,2.191E-5,2.191E-5,2.191E-5,2.191E-5,394.06971522,2019-03-27
69,1553817540000.0,2.281E-5,2.281E-5,2.281E-5,2.281E-5,778.14499611,2019-03-28
70,1553882040000.0,2.107E-5,2.107E-5,2.107E-5,2.107E-5,868.62505932,2019-03-29
71,1553951340000.0,2.3899999999999998E-5,2.3899999999999998E-5,2.3899999999999998E-5,2.3899999999999998E-5,860.05475017,2019-03-30
72,1554039420000.0,3.1E-5,3.1E-5,3.1E-5,3.1E-5,358.0,2019-03-31
73,1554156600000.0,2.4E-5,2.4E-5,2.4E-5,2.4E-5,316.05604319,2019-04-01
74,1554249480000.0,2.074E-5,2.074E-5,2.074E-5,2.074E-5,573.95593847,2019-04-02
75,1554335940000.0,1.852E-5,1.852E-5,1.852E-5,1.852E-5,407.9746,2019-04-03
76,1554422340000.0,1.933E-5,1.934E-5,1.934E-5,1.933E-5,1826.85483137,2019-04-04
77,1554495120000.0,2.002E-5,2.002E-5,2.002E-5,2.002E-5,746.878,2019-04-05
78,1554595140000.0,1.912E-5,1.911E-5,1.912E-5,1.911E-5,1940.56652677,2019-04-06
79,1554650700000.0,1.879E-5,1.89E-5,1.89E-5,1.879E-5,947.64387281,2019-04-07
