,time,open,close,high,low,volume,the_date
0,1556923500000.0,12000.0,12000.0,12000.0,12000.0,0.0021,2019-05-03
1,1556948880000.0,4160.0,4160.0,4160.0,4160.0,0.00398202,2019-05-04
2,1557089100000.0,6500.0,6500.0,6500.0,6500.0,0.001,2019-05-05
3,1557100800000.0, 6.415E+03, 6.415E+03, 6.415E+03, 6.415E+03, 9.999E-04,2019-05-06
4,1557187200000.0, 5.787E+03, 5.787E+03, 5.787E+03, 5.787E+03, 9.992E-04,2019-05-07
5,1557322620000.0,4803.0,4803.0,4803.0,4803.0,9.98E-4,2019-05-08
6,1557360000000.0, 4.926E+03, 4.923E+03, 4.926E+03, 4.923E+03, 3.003E-03,2019-05-09
7,1557446400000.0, 5.210E+03, 5.202E+03, 5.210E+03, 5.202E+03, 7.636E-03,2019-05-10
8,1557532800000.0, 5.495E+03, 5.480E+03, 5.495E+03, 5.480E+03, 1.227E-02,2019-05-11
9,1557694320000.0,6026.0,6000.0,6026.0,6000.0,0.02093127,2019-05-12
10,1557777540000.0,5884.5,5884.5,5884.5,5884.5,0.00263792,2019-05-13
11,1557792000000.0, 6.232E+03, 6.232E+03, 6.232E+03, 6.232E+03, 2.562E-03,2019-05-14
12,1557954600000.0,10137.0,10137.0,10137.0,10137.0,0.00171356,2019-05-15
13,1557977820000.0,6355.0,6211.0,6355.0,6211.0,0.06607,2019-05-16
14,1558137300000.0,8250.1,8250.0,8250.1,8250.0,0.00836907,2019-05-17
15,1558217760000.0,7070.0,7070.0,7070.0,7070.0,0.00391237,2019-05-18
16,1558238040000.0,8840.0,8900.0,8900.0,8840.0,0.00124224,2019-05-19
17,1558386720000.0,8500.0,8500.0,8500.0,8500.0,0.025838,2019-05-20
18,1558477020000.0,7940.0,7940.0,7940.0,7940.0,8.3031E-4,2019-05-21
19,1558551780000.0,9665.0,9665.0,9665.0,9665.0,0.01,2019-05-22
20,1558569600000.0, 9.503E+03, 9.406E+03, 9.503E+03, 9.406E+03, 1.059E-02,2019-05-23
21,1558680000000.0,8500.0,7800.0,8500.0,7800.0,0.01425792,2019-05-24
22,1558742400000.0, 7.895E+03, 7.424E+03, 7.895E+03, 7.424E+03, 1.028E-02,2019-05-25
23,1558870740000.0,6651.0,6651.0,6651.0,6651.0,0.00211162,2019-05-26
24,1558974180000.0,6835.0,6835.0,6835.0,6835.0,0.0019309999999999998,2019-05-27
25,1559031540000.0,8598.9,8599.0,8599.0,8598.9,0.03572703,2019-05-28
26,1559088000000.0, 8.423E+03, 8.424E+03, 8.424E+03, 8.423E+03, 3.224E-02,2019-05-29
27,1559174400000.0, 8.155E+03, 8.155E+03, 8.155E+03, 8.155E+03, 2.689E-02,2019-05-30
28,1559260800000.0, 7.886E+03, 7.886E+03, 7.886E+03, 7.886E+03, 2.155E-02,2019-05-31
29,1559347200000.0, 7.618E+03, 7.618E+03, 7.618E+03, 7.618E+03, 1.621E-02,2019-06-01
30,1559433600000.0, 7.349E+03, 7.349E+03, 7.349E+03, 7.349E+03, 1.087E-02,2019-06-02
31,1559574660000.0,6911.0,6911.0,6911.0,6911.0,0.00214772,2019-06-03
32,1559651340000.0,6911.0,6650.0,6911.0,6650.0,0.0157966,2019-06-04
33,1559692800000.0, 7.001E+03, 6.760E+03, 7.001E+03, 6.760E+03, 1.467E-02,2019-06-05
34,1559779200000.0, 7.190E+03, 6.990E+03, 7.190E+03, 6.990E+03, 1.233E-02,2019-06-06
35,1559865600000.0, 7.378E+03, 7.220E+03, 7.378E+03, 7.220E+03, 9.979E-03,2019-06-07
36,1559952000000.0, 7.567E+03, 7.450E+03, 7.567E+03, 7.450E+03, 7.633E-03,2019-06-08
37,1560038400000.0, 7.755E+03, 7.680E+03, 7.755E+03, 7.680E+03, 5.288E-03,2019-06-09
38,1560196320000.0,8100.0,8100.0,8100.0,8100.0,0.001,2019-06-10
39,1560211200000.0, 8.099E+03, 8.099E+03, 8.099E+03, 8.099E+03, 9.986E-04,2019-06-11
40,1560297600000.0, 8.091E+03, 8.091E+03, 8.091E+03, 8.091E+03, 9.902E-04,2019-06-12
41,1560384000000.0, 8.084E+03, 8.084E+03, 8.084E+03, 8.084E+03, 9.819E-04,2019-06-13
42,1560470400000.0, 8.076E+03, 8.076E+03, 8.076E+03, 8.076E+03, 9.736E-04,2019-06-14
43,1560556800000.0, 8.069E+03, 8.069E+03, 8.069E+03, 8.069E+03, 9.653E-04,2019-06-15
44,1560643200000.0, 8.062E+03, 8.062E+03, 8.062E+03, 8.062E+03, 9.570E-04,2019-06-16
45,1560800880000.0,8048.0,8048.0,8048.0,8048.0,9.4177E-4,2019-06-17
46,1560816000000.0, 8.118E+03, 8.118E+03, 8.118E+03, 8.118E+03, 1.499E-03,2019-06-18
47,1560902400000.0, 8.516E+03, 8.516E+03, 8.516E+03, 8.516E+03, 4.682E-03,2019-06-19
48,1560988800000.0, 8.914E+03, 8.914E+03, 8.914E+03, 8.914E+03, 7.865E-03,2019-06-20
49,1561075200000.0, 9.312E+03, 9.312E+03, 9.312E+03, 9.312E+03, 1.105E-02,2019-06-21
50,1561224120000.0,9997.9,9998.0,9998.0,9997.9,0.01653547,2019-06-22
51,1561248000000.0, 1.009E+04, 1.009E+04, 1.009E+04, 1.009E+04, 1.537E-02,2019-06-23
52,1561334400000.0, 1.040E+04, 1.040E+04, 1.040E+04, 1.040E+04, 1.116E-02,2019-06-24
53,1561498080000.0,11001.0,11001.0,11001.0,11001.0,0.00317561,2019-06-25
54,1561590480000.0,15500.0,15500.0,15500.0,15500.0,4.0E-8,2019-06-26
55,1561643340000.0,11001.0,11001.0,11001.0,11001.0,0.00279666,2019-06-27
56,1561732500000.0,14500.0,14999.0,14999.0,14500.0,0.00149996,2019-06-28
57,1561842840000.0,10011.0,10011.0,10011.0,10011.0,0.00728632,2019-06-29
58,1561899180000.0,10020.0,10020.0,10020.0,10020.0,0.013085399999999999,2019-06-30
59,1561939200000.0, 1.002E+04, 1.001E+04, 1.002E+04, 1.001E+04, 1.235E-02,2019-07-01
60,1562049900000.0,10031.0,10000.0,10031.0,10000.0,0.010320200000000002,2019-07-02
61,1562112000000.0, 1.057E+04, 1.055E+04, 1.057E+04, 1.055E+04, 8.615E-03,2019-07-03
62,1562277540000.0,11999.0,11999.0,11999.0,11999.0,0.004070000000000001,2019-07-04
63,1562365500000.0,10011.0,10001.0,10011.0,10001.0,0.021826599999999998,2019-07-05
64,1562371200000.0, 1.004E+04, 1.003E+04, 1.004E+04, 1.003E+04, 2.092E-02,2019-07-06
65,1562499660000.0,10801.0,10801.0,10801.0,10801.0,4.8311E-4,2019-07-07
66,1562614680000.0,11999.0,12000.0,12000.0,11999.0,0.00523335,2019-07-08
67,1562635560000.0,10511.0,10511.0,10511.0,10511.0,0.010528000000000001,2019-07-09
68,1562787600000.0,12501.0,12501.0,12501.0,12501.0,8.2508E-4,2019-07-10
69,1562878320000.0,14000.0,14000.0,14000.0,14000.0,0.001167,2019-07-11
70,1562910840000.0,11800.0,11800.0,11800.0,11800.0,8.818E-4,2019-07-12
