,time,open,close,high,low,volume,the_date
0,1542665400000.0,0.11,0.11,0.11,0.11,680.0,2018-11-19
1,1542672000000.0, 1.102E-01, 1.102E-01, 1.102E-01, 1.102E-01, 6.828E+02,2018-11-20
2,1542758400000.0, 1.121E-01, 1.121E-01, 1.121E-01, 1.121E-01, 7.191E+02,2018-11-21
3,1542844800000.0, 1.141E-01, 1.141E-01, 1.141E-01, 1.141E-01, 7.554E+02,2018-11-22
4,1542931200000.0, 1.160E-01, 1.160E-01, 1.160E-01, 1.160E-01, 7.917E+02,2018-11-23
5,1543017600000.0, 1.180E-01, 1.180E-01, 1.180E-01, 1.180E-01, 8.280E+02,2018-11-24
6,1543104000000.0, 1.200E-01, 1.200E-01, 1.200E-01, 1.200E-01, 8.643E+02,2018-11-25
7,1543190400000.0, 1.219E-01, 1.219E-01, 1.219E-01, 1.219E-01, 9.006E+02,2018-11-26
8,1543276800000.0, 1.239E-01, 1.239E-01, 1.239E-01, 1.239E-01, 9.369E+02,2018-11-27
9,1543363200000.0, 1.259E-01, 1.259E-01, 1.259E-01, 1.259E-01, 9.732E+02,2018-11-28
10,1543449600000.0, 1.278E-01, 1.278E-01, 1.278E-01, 1.278E-01, 1.009E+03,2018-11-29
11,1543536000000.0, 1.298E-01, 1.298E-01, 1.298E-01, 1.298E-01, 1.046E+03,2018-11-30
12,1543622400000.0, 1.318E-01, 1.318E-01, 1.318E-01, 1.318E-01, 1.082E+03,2018-12-01
13,1543708800000.0, 1.337E-01, 1.337E-01, 1.337E-01, 1.337E-01, 1.118E+03,2018-12-02
14,1543795200000.0, 1.357E-01, 1.357E-01, 1.357E-01, 1.357E-01, 1.155E+03,2018-12-03
15,1543881600000.0, 1.376E-01, 1.376E-01, 1.376E-01, 1.376E-01, 1.191E+03,2018-12-04
16,1543968000000.0, 1.396E-01, 1.396E-01, 1.396E-01, 1.396E-01, 1.227E+03,2018-12-05
17,1544054400000.0, 1.416E-01, 1.416E-01, 1.416E-01, 1.416E-01, 1.264E+03,2018-12-06
18,1544140800000.0, 1.435E-01, 1.435E-01, 1.435E-01, 1.435E-01, 1.300E+03,2018-12-07
19,1544227200000.0, 1.455E-01, 1.455E-01, 1.455E-01, 1.455E-01, 1.336E+03,2018-12-08
20,1544313600000.0, 1.475E-01, 1.475E-01, 1.475E-01, 1.475E-01, 1.372E+03,2018-12-09
21,1544400000000.0, 1.494E-01, 1.494E-01, 1.494E-01, 1.494E-01, 1.409E+03,2018-12-10
22,1544486400000.0, 1.514E-01, 1.514E-01, 1.514E-01, 1.514E-01, 1.445E+03,2018-12-11
23,1544613000000.0,0.15427000000000002,0.15427000000000002,0.15427000000000002,0.15427000000000002,1498.2520000000002,2018-12-12
24,1544659200000.0, 1.446E-01, 1.446E-01, 1.446E-01, 1.446E-01, 1.251E+03,2018-12-13
25,1544776020000.0,0.12,0.12,0.12,0.12,626.0,2018-12-14
26,1544832000000.0, 1.192E-01, 1.192E-01, 1.192E-01, 1.192E-01, 9.897E+02,2018-12-15
27,1544918400000.0, 1.180E-01, 1.180E-01, 1.180E-01, 1.180E-01, 1.551E+03,2018-12-16
28,1545004800000.0, 1.168E-01, 1.168E-01, 1.168E-01, 1.168E-01, 2.112E+03,2018-12-17
29,1545091200000.0, 1.156E-01, 1.156E-01, 1.156E-01, 1.156E-01, 2.674E+03,2018-12-18
30,1545177600000.0, 1.144E-01, 1.144E-01, 1.144E-01, 1.144E-01, 3.235E+03,2018-12-19
31,1545264000000.0, 1.132E-01, 1.132E-01, 1.132E-01, 1.132E-01, 3.796E+03,2018-12-20
32,1545350400000.0, 1.120E-01, 1.120E-01, 1.120E-01, 1.120E-01, 4.357E+03,2018-12-21
