,time,open,close,high,low,volume,the_date
0,1525217340000,4.828e-05,4.829e-05,4.829e-05,4.828e-05,2000.0,2018-05-01
1,1525303140000,4.741e-05,4.74e-05,4.741e-05,4.74e-05,300.0,2018-05-02
2,1525391100000,4.442e-05,4.442e-05,4.442e-05,4.442e-05,353.0,2018-05-03
3,1525476660000,4.415e-05,4.415e-05,4.415e-05,4.415e-05,500.0,2018-05-04
4,1525552140000,4.379e-05,4.379e-05,4.379e-05,4.379e-05,200.31970769,2018-05-05
5,1525651020000,4.246e-05,4.246e-05,4.246e-05,4.246e-05,2043.00399,2018-05-06
6,1525737000000,4.202e-05,4.202e-05,4.202e-05,4.202e-05,145.58126278,2018-05-07
7,1525823400000,4.146e-05,4.146e-05,4.146e-05,4.146e-05,87.10938063,2018-05-08
8,1525909860000,3.996e-05,3.996e-05,3.996e-05,3.996e-05,2986.625,2018-05-09
9,1525996020000,3.844e-05,3.844e-05,3.844e-05,3.844e-05,1000.0,2018-05-10
10,1526082720000,3.71e-05,3.712e-05,3.712e-05,3.71e-05,6228.77864984,2018-05-11
11,1526169420000,4.226e-05,4.223e-05,4.226e-05,4.223e-05,915.54630715,2018-05-12
12,1526255700000,4.257e-05,4.256e-05,4.257e-05,4.256e-05,32.43776,2018-05-13
13,1526340600000,4.175e-05,4.175e-05,4.175e-05,4.175e-05,300.0,2018-05-14
14,1526428740000,4.017e-05,4.017e-05,4.017e-05,4.017e-05,249.56326,2018-05-15
15,1526513880000,3.965e-05,3.965e-05,3.965e-05,3.965e-05,386.023,2018-05-16
16,1526600760000,3.8e-05,3.801e-05,3.801e-05,3.8e-05,1809.129,2018-05-17
17,1526687340000,3.833e-05,3.833e-05,3.833e-05,3.833e-05,842.029,2018-05-18
18,1526768460000,3.817e-05,3.817e-05,3.817e-05,3.817e-05,63.99100000000001,2018-05-19
19,1526849700000,3.874e-05,3.874e-05,3.874e-05,3.874e-05,700.0,2018-05-20
20,1526940900000,3.725e-05,3.725e-05,3.725e-05,3.725e-05,35.0,2018-05-21
21,1527029760000,3.694e-05,3.694e-05,3.694e-05,3.694e-05,50.0,2018-05-22
