filename,date,open,close,high,low,volume,Empfehlung
agieth,2019-08-19,1.6949E-4,1.6931E-4,1.6949E-4,1.6931E-4,406.77432955,K3
agiusd,2019-08-19,0.03661,0.03671,0.03671,0.03661,1288.0,H3
abseth,2019-08-19,6.869E-5,6.869E-5,6.869E-5,6.869E-5,222.0,H3
absusd,2019-08-19,0.0141,0.01351,0.0141,0.01351,222.0,H3
agibtc,2019-08-19,3.25E-6,3.25E-6,3.25E-6,3.25E-6,114.0,H3
aidbtc,2019-08-19,1.56E-6,1.56E-6,1.56E-6,1.56E-6,2564.1026,H3
aideth,2019-08-19,6.376E-5,6.392E-5,6.392E-5,6.376E-5,1877.3467,H3
aidusd,2019-08-19,0.0119,0.0119,0.0119,0.0119,10000.0,H3
aiobtc,2019-08-19,7.25E-6,7.24E-6,7.25E-6,7.24E-6,724.93150685,H3
aioeth,2019-08-19,3.878E-4,3.876E-4,3.878E-4,3.876E-4,49.44,H3
aiousd,2019-08-19,0.0721,0.0721,0.0721,0.0721,251.2,H3
algbtc,2019-08-19,6.167E-5,6.167E-5,6.167E-5,6.167E-5,4.45959226,K3
algusd,2019-08-19,0.6993,0.6993,0.6993,0.6993,19.65,H3
algust,2019-08-19,0.6564300000000001,0.6564300000000001,0.6564300000000001,0.6564300000000001,551.20918,H3
ampbtc,2019-08-19,6.4E-5,6.4E-5,6.4E-5,6.4E-5,5.06E-6,H3
ampusd,2019-08-19,0.6913,0.6917,0.6918,0.6913,162.25068805,H3
ampust,2019-08-19,0.6947,0.6937,0.6947,0.6937,228.14856109,H3
antbtc,2019-08-19,6.699E-5,6.699E-5,6.699E-5,6.699E-5,63.9,H3
anteth,2019-08-19,0.003728,0.003704,0.003728,0.003704,63.93,H3
antusd,2019-08-19,0.6,0.6,0.6,0.6,81.7,H0
asteth,2019-08-19,1.45E-4,1.45E-4,1.45E-4,1.45E-4,355.0,H3
astusd,2019-08-19,0.0302,0.0302,0.0302,0.0302,970.0,H3
atmbtc,2019-08-19,4.557E-8,4.557E-8,4.557E-8,4.557E-8,181300.0,H3
atmeth,2019-08-19,1.801E-6,1.745E-6,1.801E-6,1.745E-6,137400.0,H3
atmusd,2019-08-19,3.391E-4,3.378E-4,3.391E-4,3.378E-4,179100.0,H3
atobtc,2019-08-19,2.7239E-4,2.7239E-4,2.7239E-4,2.7239E-4,42.825195,H3
atoeth,2019-08-19,0.01469,0.01469,0.01469,0.01469,2.25993734,H3
atousd,2019-08-19,2.8848,2.8848,2.8848,2.8848,3.32953762,H3
aucbtc,2019-08-19,5.4E-7,5.4E-7,5.4E-7,5.4E-7,1021.5,H3
avtbtc,2019-08-19,1.062E-5,1.062E-5,1.062E-5,1.062E-5,139.595,H3
avteth,2019-08-19,7.0071E-4,7.0E-4,7.0071E-4,7.0E-4,108.61201129999999,K0
auceth,2019-08-19,1.665E-5,1.665E-5,1.665E-5,1.665E-5,20630.0,H0
aucusd,2019-08-19,0.004229999999999999,0.004229999999999999,0.004229999999999999,0.004229999999999999,10000.0,H3
avtusd,2019-08-19,0.1328,0.1327,0.1328,0.1327,908.9,H0
babbtc,2019-08-19,0.029876,0.029910000000000003,0.029910000000000003,0.029876,0.8196143899999999,H3
babusd,2019-08-19,325.87,325.87,325.87,325.87,0.62319372,H3
babust,2019-08-19,324.26,324.26,324.26,324.26,1.58725815,H3
batbtc,2019-08-19,1.723E-5,1.723E-5,1.723E-5,1.723E-5,336.89349418,H3
bateth,2019-08-19,9.5865E-4,9.5865E-4,9.5865E-4,9.5865E-4,831.0,H3
batusd,2019-08-19,0.18607,0.18607,0.18607,0.18607,18.6164865,H3
bbneth,2019-08-19,1.47E-6,1.47E-6,1.47E-6,1.47E-6,25010.0,H3
bbnusd,2019-08-19,3.498E-4,3.484E-4,3.498E-4,3.484E-4,41260.0,H3
bcibtc,2019-08-19,6.196E-6,6.196E-6,6.196E-6,6.196E-6,155.7,H3
bciusd,2019-08-19,0.052070000000000005,0.052070000000000005,0.052070000000000005,0.052070000000000005,1000.0,H0
bftbtc,2019-08-19,2.01E-6,2.01E-6,2.01E-6,2.01E-6,4570.0,H3
bnteth,2019-08-19,0.0020350000000000004,0.0020350000000000004,0.0020350000000000004,0.0020350000000000004,25.47472514,K3
bntusd,2019-08-19,0.3979,0.3935,0.3982,0.3933,89.11,H3
bfteth,2019-08-19,1.163E-4,1.163E-4,1.163E-4,1.163E-4,508.4,H0
bftusd,2019-08-19,0.021032,0.02101,0.021032,0.02101,1000.0,H3
bntbtc,2019-08-19,3.737E-5,3.737E-5,3.737E-5,3.737E-5,25.50022537,H3
boxeth,2019-08-19,1.423E-4,1.423E-4,1.423E-4,1.423E-4,495.2,H3
boxusd,2019-08-19,0.01736,0.0174,0.0174,0.01736,1489.0,H3
bsvbtc,2019-08-19,0.013318,0.013316999999999999,0.013318,0.013316999999999999,2.1578328900000003,H3
bsvusd,2019-08-19,145.89,145.99,145.99,145.89,10.0,H3
btceur,2019-08-19,9878.2,9865.6,9878.2,9865.6,0.02064233,H3
btcgbp,2019-08-19,9031.1,9026.8,9031.1,9026.8,0.798276,H3
btcjpy,2019-08-19,1165700.0,1165500.0,1165800.0,1165500.0,0.02807301,H3
btcusd,2019-08-19,10946.10167836,10938.0,10946.10167836,10931.0,3.59182069,H3
btcust,2019-08-19,10907.0,10913.0,10913.0,10907.0,0.45896553,H3
btcxch,2019-08-19,10545.0,10545.0,10545.0,10545.0,2.8E-4,H3
btgbtc,2019-08-19,0.0012950999999999998,0.0012916,0.0012950999999999998,0.0012916,10.0,H3
btgusd,2019-08-19,14.11,14.109000000000002,14.11,14.109000000000002,50.77047,K0
cbtbtc,2019-08-19,6.529E-6,6.451E-6,6.529E-6,6.451E-6,14490.0,K3
cbteth,2019-08-19,2.63E-4,2.63E-4,2.63E-4,2.63E-4,253.9,H0
bttbtc,2019-08-19,7.0E-8,7.0E-8,7.0E-8,7.0E-8,233577.857142,H0
bttusd,2019-08-19,6.6E-4,6.6E-4,6.6E-4,6.6E-4,145711.10777688,H3
cbtusd,2019-08-19,0.06757,0.06757,0.06757,0.06757,63.14,H0
clobtc,2019-08-19,1.5E-7,1.5E-7,1.5E-7,1.5E-7,41039.87223942,H3
clousd,2019-08-19,0.00185,0.00185,0.00185,0.00185,7171.47319813,H3
cndbtc,2019-08-19,6.5E-7,6.5E-7,6.5E-7,6.5E-7,2842.8096,H3
cndeth,2019-08-19,3.658E-5,3.658E-5,3.658E-5,3.658E-5,1211.0,H3
cndusd,2019-08-19,0.01034,0.00851,0.01034,0.00851,529.46000039,H0
cnneth,2019-08-19,7.3E-7,7.3E-7,7.3E-7,7.3E-7,24032.0,H3
cnnusd,2019-08-19,1.2405E-4,1.2405E-4,1.2405E-4,1.2405E-4,43912.0,K3
csxeth,2019-08-19,3.121E-4,3.121E-4,3.121E-4,3.121E-4,67.19,H3
csxusd,2019-08-19,0.04102,0.04105,0.04105,0.04102,816.6,H3
ctxbtc,2019-08-19,1.06E-5,1.06E-5,1.06E-5,1.06E-5,413.0,H3
ctxeth,2019-08-19,5.425E-4,5.421E-4,5.425E-4,5.421E-4,557.2,H0
ctxusd,2019-08-19,0.1384,0.1162,0.1384,0.1162,33.33,H3
dadbtc,2019-08-19,5.416E-6,5.416E-6,5.416E-6,5.416E-6,59.24,H0
dadeth,2019-08-19,3.042E-4,3.042E-4,3.042E-4,3.042E-4,94.27,H0
dadusd,2019-08-19,0.05073,0.04936,0.05073,0.04936,651.2,H3
daibtc,2019-08-19,9.215E-5,9.215E-5,9.215E-5,9.215E-5,99.28020059,H3
daieth,2019-08-19,0.0050118,0.0050118,0.0050118,0.0050118,51.0,H0
daiusd,2019-08-19,1.0081,1.0081,1.0081,1.0081,14.179583,H3
datbtc,2019-08-19,9.8E-7,9.8E-7,9.8E-7,9.8E-7,519.51951952,H3
dateth,2019-08-19,5.386E-5,5.382E-5,5.386E-5,5.382E-5,1500.6078,H3
datusd,2019-08-19,0.010801999999999999,0.010709999999999999,0.010801999999999999,0.010709999999999999,2345.2539309999997,H3
dgbbtc,2019-08-19,8.7E-7,8.7E-7,8.7E-7,8.7E-7,5924.99599757,H3
dgbusd,2019-08-19,0.009659,0.009387,0.009665,0.009381,1096.0,H0
dgxeth,2019-08-19,0.24034,0.24034,0.24034,0.24034,0.47655421,H0
dgxusd,2019-08-19,48.068999999999996,48.068999999999996,48.068999999999996,48.068999999999996,0.48805566,H0
drneth,2019-08-19,3.875E-4,3.875E-4,3.875E-4,3.875E-4,622.6,K3
drnusd,2019-08-19,0.045346,0.045346,0.045346,0.045346,102.717166,H3
dshbtc,2019-08-19,0.008923899999999999,0.008923899999999999,0.008923899999999999,0.008923899999999999,2.253,H3
dshusd,2019-08-19,97.62299999999999,97.62299999999999,97.62299999999999,97.62299999999999,0.05,H3
dtabtc,2019-08-19,7.253E-8,7.253E-8,7.253E-8,7.253E-8,35430.0,H3
dtaeth,2019-08-19,3.9E-6,3.93E-6,3.93E-6,3.8E-6,162609.34527836,H0
dtausd,2019-08-19,7.8E-4,7.8E-4,7.8E-4,7.8E-4,13676.348065,K3
dthbtc,2019-08-19,2.779E-7,2.779E-7,2.779E-7,2.779E-7,27440.0,H3
dtheth,2019-08-19,1.242E-5,1.242E-5,1.242E-5,1.242E-5,18090.0,H3
dthusd,2019-08-19,0.002834,0.002834,0.002834,0.002834,1955.0,H0
dtxusd,2019-08-19,4.901,4.901,4.901,4.901,0.6431,H3
edoeth,2019-08-19,0.0022108,0.0022104,0.0022108,0.0022104,368.10788349,H3
edousd,2019-08-19,0.44685,0.44685,0.44685,0.44685,150.0,H3
dtxust,2019-08-19,4.907,4.907,4.907,4.907,0.6479,H3
edobtc,2019-08-19,4.025E-5,4.025E-5,4.025E-5,4.025E-5,50.0,H3
elfbtc,2019-08-19,8.47E-6,8.47E-6,8.47E-6,8.47E-6,69.14147104,H3
elfeth,2019-08-19,4.594E-4,4.595E-4,4.595E-4,4.594E-4,224.8,H3
elfusd,2019-08-19,0.090312,0.090312,0.090312,0.090312,299.4,H3
enjeth,2019-08-19,3.5348E-4,3.5348E-4,3.5348E-4,3.5348E-4,1500.0,H3
enjusd,2019-08-19,0.060198,0.060198,0.060198,0.060198,762.398,H3
eosbtc,2019-08-19,3.4042E-4,3.4042E-4,3.4042E-4,3.4042E-4,1.1,H3
eoseth,2019-08-19,0.01829,0.01829,0.01829,0.01829,2.95298198,H3
eoseur,2019-08-19,3.36145119,3.36145119,3.36145119,3.36145119,12.0,H3
eosgbp,2019-08-19,3.0723,3.0723,3.0723,3.0723,13.41813595,H3
eosjpy,2019-08-19,397.30999959,397.30999959,397.30999959,397.30999959,120.0,H3
eosusd,2019-08-19,3.72675985,3.7263,3.72675985,3.7263,767.94336542,H3
eosust,2019-08-19,3.719,3.719,3.719,3.719,13.42444509,H3
essbtc,2019-08-19,7.0E-8,7.0E-8,7.0E-8,7.0E-8,4349.0,H0
esseth,2019-08-19,3.795E-6,3.795E-6,3.795E-6,3.795E-6,33420.0,H3
essusd,2019-08-19,0.00103,0.00103,0.00103,0.00103,4999.0,H0
etcbtc,2019-08-19,5.099999999999999E-4,5.099999999999999E-4,5.099999999999999E-4,5.099999999999999E-4,12587.36270344,H3
etcusd,2019-08-19,5.5713,5.571000000000001,5.5713,5.571000000000001,85.93151633,H0
ethbtc,2019-08-19,0.018865,0.018526,0.018948,0.018407,11334.42967545,H3
etheur,2019-08-19,182.78,182.79,182.79,182.67,3.35,H3
ethgbp,2019-08-19,167.41,167.41,167.41,167.41,0.02904361,H3
ethjpy,2019-08-19,21655.99999949,21655.99999949,21655.99999949,21655.99999949,14.04083552,H0
ethusd,2019-08-19,202.56,202.66,202.66,202.32,158.42302,H3
ethust,2019-08-19,202.31,202.31,202.31,202.31,0.42102674,H3
etpbtc,2019-08-19,7.981E-5,7.882E-5,7.981E-5,7.882E-5,825.65317993,H3
etpeth,2019-08-19,0.004301300000000001,0.004301300000000001,0.004301300000000001,0.004301300000000001,16.750225,H3
etpusd,2019-08-19,0.8669100000000001,0.8608,0.8669100000000001,0.8608,567.1311222,H3
euseth,2019-08-19,0.005742,0.005742,0.005742,0.005742,73.43,H0
eususd,2019-08-19,1.1092,1.1092,1.1092,1.1092,2.0,H3
euteur,2019-08-19,0.9658,0.9658,0.9658,0.9658,74.56,H3
eutusd,2019-08-19,1.068,1.068,1.068,1.068,25.0,K0
foaeth,2019-08-19,1.5463E-4,1.8499E-4,1.8764E-4,1.5463E-4,3477.13384749,H3
foausd,2019-08-19,0.03932,0.03932,0.03932,0.03932,115.2,H0
fsnbtc,2019-08-19,6.37E-5,6.37E-5,6.37E-5,6.37E-5,30.3,H3
fsneth,2019-08-19,0.003944,0.003935,0.003944,0.003935,93.38,H3
fsnusd,2019-08-19,0.8,0.8,0.8,0.8,12.5,H3
fttusd,2019-08-19,1.4765,1.4244,1.4804,1.4155,23099.284209,H3
fttust,2019-08-19,1.4229,1.4229,1.4229,1.4229,210.84858527,H3
funbtc,2019-08-19,2.2E-7,2.2E-7,2.2E-7,2.2E-7,50151.5,H3
funeth,2019-08-19,1.187E-5,1.187E-5,1.187E-5,1.187E-5,61559.77,H3
funusd,2019-08-19,0.00237,0.0023515,0.0024,0.0023403,250881.80879941,H3
geneth,2019-08-19,2.9638E-4,2.9638E-4,2.9638E-4,2.9638E-4,1399.0,H3
genusd,2019-08-19,0.058799000000000004,0.058799000000000004,0.058799000000000004,0.058799000000000004,63.14,H3
gnoeth,2019-08-19,0.079467,0.079467,0.079467,0.079467,0.75340599,H3
gnousd,2019-08-19,14.696,14.68,14.696,14.68,1.01001085,H0
gntbtc,2019-08-19,4.86E-6,4.86E-6,4.86E-6,4.86E-6,3361.458205,H3
gnteth,2019-08-19,2.681E-4,2.681E-4,2.681E-4,2.681E-4,122.3,H3
gntusd,2019-08-19,0.052194000000000004,0.052163,0.052194000000000004,0.052163,299.4,H3
goteth,2019-08-19,0.003914,0.003914,0.003914,0.003914,64.39,H0
